*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CH3COOH
* Name: Acetic acid
* Edge: O 1s
* Alpha Formula: C2H4O2
* Data Source: Hitchcock
* Filename:  ai-0ookk.os
* Ref. Code: RI&88
* Write Date: 93/06/10
* Reference: J. El. Spec. 47 (88) 53.
* Source and Purity: N/A
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0aio1.     name2- 0aio.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
   538.5290       4926.000       .6608061    
   538.6690       4972.000       .6721914    
   538.8090       5092.000       .7006888    
   538.9490       5111.000       .7058568    
   539.0890       5285.000       .7468826    
   539.2290       5208.000       .7298499    
   539.3690       5147.000       .7165049    
   539.5090       5262.000       .7439183    
   539.6490       5241.000       .7398397    
   539.7890       5361.000       .7684361    
   539.9300       5275.000       .7492901    
   540.0700       5321.000       .7607496    
   540.2100       5214.000       .7367077    
   540.3500       5318.000       .7616311    
   540.4900       5260.000       .7489545    
   540.6300       5340.000       .7683241    
   540.7700       5317.000       .7637702    
   540.9100       5366.000       .7759525    
   541.0500       5207.000       .7397633    
   541.1900       5377.000       .7801011    
   541.3300       5322.000       .7680925    
   541.4700       5434.000       .7949663    
   541.6100       5344.000       .7748002    
   541.7500       5400.000       .7886407    
   541.8900       5320.000       .7707863    
   542.0300       5308.000       .7687768    
   542.1700       5308.000       .7695641    
   542.3100       5308.000       .7703514    
   542.4500       5362.000       .7837512    
   542.5900       5369.000       .7861769    
   542.7300       5369.000       .7869692    
   542.8700       5292.000       .7697583    
   543.0100       5411.000       .7983794    
   543.1500       5408.000       .7984786    
   543.2900       5312.000       .7767979    
   543.4300       5254.000       .7640023    
   543.5700       5239.000       .7612702    
   543.7100       5202.000       .7533801    
   543.8500       5274.000       .7710370    
   543.9900       5150.000       .7427381    
   544.1300       5313.000       .7817542    
   544.2700       5032.000       .7165828    
   544.4100       5221.000       .7617220    
   544.5500       5168.000       .7500501    
   544.6900       5072.000       .7282654    
   544.8300       5187.000       .7560648    
   544.9700       5101.000       .7366115    
   545.1100       5086.000       .7338497    
   545.2500       5070.000       .7308502    
   545.3900       4968.000       .7075953    
   545.5300       5034.000       .7238960    
   545.6700       5123.000       .7456267    
   545.8100       5085.000       .7374396    
   545.9500       5062.000       .7327769    
   546.0900       5108.000       .7443948    
   546.2300       4861.000       .6868612    
   546.3700       5029.000       .7272732    
   546.5100       5096.000       .7438560    
   546.6500       4940.000       .7077608    
   546.7900       4974.000       .7165473    
   546.9300       5037.000       .7321994    
   547.0700       4959.000       .7145033    
   547.2100       4922.000       .7064995    
   547.3500       4779.000       .6733941    
   547.4900       4872.000       .6961544    
   547.6300       4705.000       .6573268    
   547.7700       4845.000       .6912395    
   547.9100       4778.000       .6760927    
   548.0500       4692.000       .6564267    
   548.1900       4690.000       .6566793    
   548.3300       4683.000       .6557440    
   548.4700       4521.000       .6179955    
   548.6100       4604.000       .6384244    
   548.7500       4305.000       .5680802    
   548.8900       4330.000       .5747134    
   549.0300       4404.000       .5930039    
   549.1700       4379.000       .5877571    
   549.3100       4325.000       .5755953    
   549.4510       4374.000       .5879560    
   549.5910       4325.000       .5769821    
   549.7310       4303.000       .5724283    
   549.8710       4291.000       .5702555    
   550.0110       4105.000       .5265819    
   550.1510       4227.000       .5563613    
   550.2910       4176.000       .5448676    
   550.4310       4167.000       .5433977    
   550.5710       4157.000       .5416852    
   550.7110       4123.000       .5342357    
   550.8510       3999.000       .5052636    
   550.9910       4148.000       .5415573    
   551.1310       4119.000       .5352908    
   551.2710       4091.000       .5292619    
   551.4110       4063.000       .5232232    
   551.5510       4051.000       .5210157    
   551.6910       3967.000       .5015525    
   551.8310       4123.000       .5396034    
   551.9710       4031.000       .5182146    
   552.1110       3990.000       .5090376    
   552.2510       3956.000       .5015385    
   552.3910       3980.000       .5079541    
   552.5310       3973.000       .5069296    
   552.6710       3952.000       .5025391    
   552.8110       4022.000       .5200178    
   552.9510       3858.000       .4812452    
   553.0910       3934.000       .5001688    
   553.2310       3898.000       .4921594    
   553.3710       3959.000       .5074903    
   553.5110       3944.000       .5045353    
   553.6510       3908.000       .4965156    
   553.7910       3910.000       .4976455    
   553.9310       3960.000       .5103474    
   554.0710       3882.000       .4921895    
   554.2110       3923.000       .5027298    
   554.3510       3895.000       .4966207    
   554.4910       3871.000       .4914730    
   554.6310       3767.000       .4669959    
   554.7710       3819.000       .4801958    
   554.9110       3727.000       .4585962    
   555.0510       3797.000       .4761561    
   555.1910       3819.000       .4821171    
   555.3310       3802.000       .4786414    
   555.4710       3740.000       .4642678    
   555.6110       3831.000       .4869396    
   555.7510       3765.000       .4715889    
   555.8910       3863.000       .4959768    
   556.0310       3799.000       .4811018    
   556.1710       3800.000       .4819806    
   556.3110       3775.000       .4765502    
   556.4510       3724.000       .4648036    
   556.5910       3731.000       .4671333    
   556.7310       3868.000       .5010459    
   556.8710       3806.000       .4866224    
   557.0110       3750.000       .4736432    
   557.1510       3648.000       .4494657    
   557.2910       3744.000       .4734457    
   557.4310       3673.000       .4567951    
   557.5710       3821.000       .4934575    
   557.7110       3704.000       .4655957    
   557.8510       3657.000       .4547683    
   557.9910       3686.000       .4624593    
   558.1310       3787.000       .4877144    
   558.2710       3790.000       .4890809    
   558.4110       3718.000       .4721437    
   558.5510       3676.000       .4625167    
   558.6910       3647.000       .4560561    
   558.8310       3666.000       .4613187    
   558.9710       3635.000       .4543637    
   559.1120       3798.000       .4948400    
   559.2520       3691.000       .4693017    
   559.3920       3716.000       .4760429    
   559.5320       3622.000       .4536582    
   559.6720       3590.000       .4464383    
   559.8120       3748.000       .4857604    
   559.9520       3629.000       .4572259    
   560.0920       3704.000       .4762321    
   560.2320       3601.000       .4515942    
   560.3720       3598.000       .4514722    
   560.5120       3687.000       .4739316    
   560.6520       3525.000       .4347768    
   560.7920       3633.000       .4619134    
   560.9320       3610.000       .4568800    
   561.0720       3618.000       .4594602    
   561.2120       3652.000       .4684367    
   561.3520       3604.000       .4572470    
   561.4920       3675.000       .4753345    
   561.6320       3576.000       .4515827    
   561.7720       3592.000       .4561349    
   561.9120       3479.000       .4289061    
   562.0520       3491.000       .4324659    
   562.1920       3622.000       .4653683    
   562.3320       3675.000       .4790568    
   562.4720       3534.000       .4448857    
   562.6120       3603.000       .4625248    
   562.7520       3585.000       .4586922    
   562.8920       3634.000       .4714080    
   563.0320       3632.000       .4715290    
   563.1720       3591.000       .4620094    
   563.3120       3562.000       .4554504    
   563.4520       3525.000       .4469045    
   563.5920       3537.000       .4504786    
   563.7320       3519.000       .4466282    
   563.8720       3604.000       .4682852    
   564.0120       3682.000       .4882240    
   564.1520       3489.000       .4410062    
   564.2920       3472.000       .4373909    
   564.4320       3483.000       .4407191    
   564.5720       3549.000       .4576968    
   564.7120       3512.000       .4491186    
   564.8520       3555.000       .4604004    
   564.9920       3544.000       .4582746    
   565.1320       3570.000       .4653410    
   565.2720       3440.000       .4336291    
   565.4120       3601.000       .4742663    
   565.5520       3565.000       .4659203    
   565.6920       3465.000       .4416388    
   565.8320       3535.000       .4596655    
   565.9720       3457.000       .4408408    
   566.1120       3499.000       .4519019    
   566.2520       3520.000       .4577372    
   566.3920       3515.000       .4570929    
   566.5320       3489.000       .4512095    
   566.6720       3524.000       .4605420    
   566.8120       3497.000       .4544038    
   566.9520       3386.000       .4272830    
   567.0920       3461.000       .4466090    
   567.2320       3508.000       .4589520    
   567.3720       3470.000       .4500531    
   567.5120       3548.000       .4701573    
   567.6520       3394.000       .4322296    
   567.7920       3440.000       .4443321    
   567.9320       3438.000       .4444254    
   568.0720       3545.000       .4718204    
   568.2120       3461.000       .4513762    
   568.3520       3532.000       .4697681    
   568.4920       3490.000       .4598377    
   568.6330       3492.000       .4609372    
   568.7730       3312.000       .4163652    
   568.9130       3444.000       .4500839    
   569.0530       3397.000       .4388738    
   569.1930       3465.000       .4565450    
   569.3330       3342.000       .4262270    
   569.4730       3429.000       .4486834    
   569.6130       3457.000       .4563170    
   569.7530       3450.000       .4551505    
   569.8930       3475.000       .4620357    
   570.0330       3428.000       .4507960    
   570.1730       3368.000       .4362734    
   570.3130       3323.000       .4255198    
   570.4530       3436.000       .4545844    
   570.5930       3476.000       .4652628    
   570.7330       3449.000       .4590458    
   570.8730       3435.000       .4561042    
   571.0130       3345.000       .4339750    
   571.1530       3397.000       .4476887    
   571.2930       3352.000       .4369074    
   571.4330       3306.000       .4258651    
   571.5730       3385.000       .4464153    
   571.7130       3290.000       .4229738    
   571.8530       3428.000       .4584655    
   571.9930       3370.000       .4443746    
   572.1330       3315.000       .4310341    
   572.2730       3382.000       .4485826    
   572.4130       3236.000       .4121731    
   572.5530       3348.000       .4411323    
   572.6930       3333.000       .4379096    
   572.8330       3329.000       .4374752    
   572.9730       3423.000       .4619081    
   573.1130       3271.000       .4239107    
   573.2530       3448.000       .4694316    
   573.3930       3282.000       .4278513    
   573.5330       3360.000       .4482481    
   573.6730       3476.000       .4783200    
   573.8130       3301.000       .4344073    
   573.9530       3232.000       .4174280    
   574.0930       3400.000       .4607536    
   574.2330       3346.000       .4475903    
   574.3730       3397.000       .4611595    
   574.5130       3326.000       .4436541    
   574.6530       3210.000       .4146661    
   574.7930       3245.000       .4241565    
   574.9330       3314.000       .4423252    
   575.0730       3260.000       .4291218    
   575.2130       3364.000       .4562401    
   575.3530       3264.000       .4312859    
   575.4930       3306.000       .4425860    
   575.6330       3275.000       .4352384    
   575.7730       3278.000       .4365771    
   575.9130       3235.000       .4261527    
   576.0530       3199.000       .4175112    
   576.1930       3319.000       .4487860    
   576.3330       3198.000       .4183848    
   576.4730       3276.000       .4389241    
   576.6130       3161.000       .4100322    
   576.7530       3246.000       .4323772    
   576.8930       3276.000       .4406380    
   577.0330       3169.000       .4137661    
   577.1730       3292.000       .4458849    
   577.3130       3324.000       .4546699    
   577.4530       3292.000       .4470283    
   577.5930       3230.000       .4316757    
   577.7330       3326.000       .4569095    
   577.8730       3325.000       .4572280    
   578.0130       3244.000       .4369739    
   578.1540       3192.000       .4241649    
   578.2940       3269.000       .4445408    
   578.4340       3177.000       .4214275    
   578.5740       3231.000       .4358946    
   578.7140       3169.000       .4204890    
   578.8540       3149.000       .4158936    
   578.9940       3313.000       .4587291    
   579.1340       3223.000       .4360920    
   579.2740       3181.000       .4258215    
   579.4140       3175.000       .4248343    
   579.5540       3131.000       .4140345    
   579.6940       3334.000       .4670171    
   579.8340       3188.000       .4298701    
   579.9740       3128.000       .4149233    
   580.1140       3193.000       .4322836    
   580.2540       3125.000       .4152573    
   580.3940       3153.000       .4230563    
   580.5340       3270.000       .4538955    
   580.6740       3131.000       .4184726    
   580.8140       3077.000       .4050400    
   580.9540       3133.000       .4201001    
   581.0940       3066.000       .4032886    
   581.2340       3085.000       .4087626    
   581.3740       3204.000       .4401795    
   581.5140       3086.000       .4101203    
   581.6540       3192.000       .4381856    
   581.7940       3145.000       .4265409    
   581.9340       3119.000       .4203418    
   582.0740       3115.000       .4198540    
   582.2140       3248.000       .4549804    
   582.3540       3100.000       .4170562    
   582.4940       3102.000       .4181271    
   582.6340       3130.000       .4259651    
   582.7740       3130.000       .4265183    
   582.9140       3133.000       .4278516    
   583.0540       3141.000       .4304887    
   583.1940       3140.000       .4307814    
   583.3340       3107.000       .4227315    
   583.4740       3087.000       .4180659    
   583.6140       2993.000       .3940888    
   583.7540       3089.000       .4196840    
   583.8940       3012.000       .4001273    
   584.0340       3175.000       .4432425    
   584.1740       3151.000       .4375279    
   584.3140       3037.000       .4082855    
   584.4540       3120.000       .4305296    
   584.5940       3115.000       .4297720    
   584.7340       3085.000       .4224714    
   584.8740       3053.000       .4146423    
   585.0140       3063.000       .4178050    
   585.1540       3099.000       .4277805    
   585.2940       3050.000       .4154879    
   585.4340       3086.000       .4254673    
   585.5740       3029.000       .4110670    
   585.7140       3051.000       .4173795    
   585.8540       3010.000       .4071639    
   585.9940       3093.000       .4294926    
   586.1340       3111.000       .4347655    
   586.2740       3003.000       .4069414    
   586.4140       2958.000       .3956531    
   586.5540       3054.000       .4214250    
   586.6940       3045.000       .4196012    
   586.8340       3050.000       .4214587    
   586.9740       3045.000       .4206842    
   587.1140       3012.000       .4125377    
   587.2540       2983.000       .4054387    
   587.3940       3063.000       .4270516    
   587.5340       2962.000       .4009762    
   587.6740       2893.000       .3833173    
   587.8150       2941.000       .3965033    
   587.9550       3005.000       .4139201    
   588.0950       2999.000       .4128739    
   588.2350       2913.000       .3907040    
   588.3750       2975.000       .4076085    
   588.5150       2987.000       .4113124    
   588.6550       3068.000       .4332564    
