*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CH3COOH
* Name: Acetic acid
* Edge: C 1s
* Alpha Formula: C2H4O2
* Data Source: Hitchcock
* Filename:  ai-0cckk.os
* Ref. Code: RI&88
* Write Date: 93/06/10
* Reference: J. El. Spec. 47 (88) 53.
* Source and Purity: N/A
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0aic.    name2- 0aic.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
   295.9670       88735.00       1.391636    
   296.1070       89796.20       1.409760    
   296.2460       90903.00       1.428620    
   296.3860       92285.30       1.451857    
   296.5260       94164.40       1.482936    
   296.6660       94629.80       1.491859    
   296.8060       97055.70       1.531647    
   296.9460       96695.70       1.527630    
   297.0850       96565.80       1.527217    
   297.2250       98862.10       1.565115    
   297.3650       98492.90       1.560967    
   297.5050       98271.90       1.559156    
   297.6450       96804.20       1.537597    
   297.7850       95788.10       1.523145    
   297.9240       96132.50       1.530241    
   298.0640       93662.40       1.492651    
   298.2040       93401.50       1.490112    
   298.3440       92239.60       1.473222    
   298.4840       90900.60       1.453478    
   298.6240       91939.80       1.471621    
   298.7630       88118.00       1.412170    
   298.9030       87806.80       1.408718    
   299.0430       85017.40       1.365604    
   299.1830       83632.80       1.344902    
   299.3230       82975.10       1.335808    
   299.4630       81266.90       1.309830    
   299.6020       79556.10       1.283747    
   299.7420       77939.10       1.259124    
   299.8820       77207.90       1.248713    
   300.0220       77200.40       1.249945    
   300.1620       76053.00       1.232781    
   300.3020       75540.10       1.225829    
   300.4410       73968.40       1.201734    
   300.5810       73742.80       1.199383    
   300.7210       72914.60       1.187260    
   300.8610       72858.30       1.187631    
   301.0010       72837.20       1.188575    
   301.1410       72745.10       1.188360    
   301.2800       73718.50       1.205474    
   301.4200       72091.80       1.180280    
   301.5600       72791.00       1.192955    
   301.7000       72400.30       1.187866    
   301.8400       71934.60       1.181538    
   301.9800       71831.00       1.181123    
   302.1190       71571.70       1.178142    
   302.2590       71087.90       1.171485    
   302.3990       72308.20       1.192768    
   302.5390       71820.70       1.186046    
   302.6790       71147.00       1.176250    
   302.8190       70700.10       1.170165    
   302.9580       70640.00       1.170427    
   303.0980       71189.30       1.180746    
   303.2380       70010.60       1.162561    
   303.3780       69388.10       1.153526    
   303.5180       67958.10       1.131118    
   303.6580       68879.00       1.147582    
   303.7970       68018.80       1.134553    
   303.9370       68090.10       1.136958    
   304.0770       67168.70       1.122880    
   304.2170       66019.90       1.104989    
   304.3570       64692.30       1.084085    
   304.4970       64925.00       1.089130    
   304.6360       64264.70       1.079285    
   304.7760       63843.30       1.073412    
   304.9160       61664.70       1.038165    
   305.0560       62333.10       1.050464    
   305.1960       61988.10       1.045818    
   305.3360       61247.00       1.034525    
   305.4750       60158.60       1.017370    
   305.6150       59613.00       1.009303    
   305.7550       59855.80       1.014472    
   305.8950       58363.80       .9904546    
   306.0350       58033.70       .9859625    
   306.1740       57792.60       .9829522    
   306.3140       56239.50       .9577905    
   306.4540       55844.10       .9521430    
   306.5940       56731.30       .9681822    
   306.7340       55439.40       .9473475    
   306.8740       55019.00       .9412434    
   307.0130       54947.00       .9410284    
   307.1530       54243.00       .9300866    
   307.2930       53474.40       .9180194    
   307.4330       53620.50       .9214980    
   307.5730       53643.50       .9228865    
   307.7130       53262.90       .9173895    
   307.8520       51884.00       .8948317    
   307.9920       52373.20       .9041552    
   308.1320       51532.70       .8907552    
   308.2720       51838.00       .8969458    
   308.4120       51056.20       .8845066    
   308.5520       50725.30       .8797836    
   308.6910       51503.10       .8940905    
   308.8310       50823.10       .8833614    
   308.9710       50695.60       .8821175    
   309.1110       50426.90       .8784409    
   309.2510       49875.50       .8698749    
   309.3910       49451.10       .8634886    
   309.5300       48972.20       .8561362    
   309.6700       49192.90       .8608781    
   309.8100       49882.00       .8737386    
