energy	step1_	g1_	g2_
525.29	0.00672586957824416	2.6409735995884723e-27	2.0957276251050587e-16
525.44	0.00685432272419237	7.425385381001009e-26	1.3544858647613033e-15
525.59	0.0069877597796582135	1.899234664520987e-24	8.32459416040683e-15
525.74	0.007126475421445725	4.419192795659113e-23	4.865199089050578e-14
525.89	0.007270787929533055	9.3543143517349e-22	2.703878156668013e-13
526.04	0.007421041588414124	1.8012983969433905e-20	1.4289682250260464e-12
526.19	0.007577609386355235	3.155470000317739e-19	7.1813646588225055e-12
526.34	0.007740896056383969	5.028600561570163e-18	3.4319451817412434e-11
526.49	0.00791134151031563	7.290123981343084e-17	1.5596338709576662e-10
526.64	0.008089424726063665	9.614514969385888e-16	6.739907375318903e-10
526.79	0.008275668159213946	1.1535184265525186e-14	2.7697090618946145e-09
526.94	0.008470642762755195	1.2590018948875462e-13	1.082339054449348e-08
527.09	0.008674973714457712	1.2500659389050285e-12	4.0219943947566716e-08
527.24	0.008889346970315048	1.1291305318524598e-11	1.4212436795350914e-07
527.39	0.009114516785491468	9.278121828369695e-11	4.775783002604292e-07
527.54	0.009351314372382456	6.935546399247788e-10	1.5260528650096556e-06
527.69	0.009600657899964019	4.716349527811229e-09	4.63706864960045e-06
527.84	0.00986356408124062	2.9176686939940808e-08	1.3398816093905073e-05
527.99	0.01014116164842307	1.6419905705773307e-07	3.6816142377258916e-05
528.14	0.01043470708120977	8.406399647355351e-07	9.619645975786715e-05
528.29	0.010745603035803167	3.915201314742567e-06	0.00023901703334564363
528.44	0.01107542002571766	1.6588337151675533e-05	0.0005647387235480364
528.59	0.011425922036188153	6.393759558379238e-05	0.0012688644736444854
528.74	0.011799096920209742	0.000224189071242636	0.002711014633761116
528.89	0.012197192636742049	0.0007151172697218982	0.005508044491587096
529.04	0.012622760664939182	0.002075127497928765	0.010641723516155964
529.19	0.013078708281945163	0.00547793652247847	0.019551291765693885
529.34	0.013568361852358908	0.01315509220098913	0.03415764307592812
529.49	0.014095543881110447	0.028739253822096637	0.05674783396059304
529.64	0.01466466737782119	0.05711652418109051	0.08965192856987203
529.79	0.01528085213830449	0.10326490362932284	0.1346849090575989
529.94	0.0159500689626633	0.16984329566795986	0.19240980177177877
530.09	0.01667931973175255	0.25412580273317	0.2613872507010267
530.24	0.017476863839186705	0.34590258650162053	0.3376685114582382
530.38	0.018291475920488142	0.4235013033686601	0.4097967240371262
530.53	0.019250531389789344	0.4800747519715493	0.48031847193801924
530.68	0.02031246746486392	0.4950712106680147	0.5353515315117943
530.83	0.02149414723383606	0.46444166003210346	0.5674110168318195
530.98	0.0228161590274883	0.3963687035443508	0.5718806893538756
531.13	0.02430384148298025	0.30773169894125313	0.548102842161177
531.28	0.025988636340082152	0.21734507505619807	0.4995369639982296
531.43	0.02790987946543498	0.1396471458095325	0.43293446437755534
531.58	0.030117170591592347	0.08162421444892135	0.35680065543399836
531.73	0.032673485790088025	0.04340209131980975	0.27962634174892026
531.88	0.03565918586790333	0.020994570237734905	0.2083912464876635
532.03	0.03917695677035921	0.00923863932012761	0.1476827659406037
532.18	0.043357323709529265	0.003698398690938995	0.09952429657479048
532.33	0.04836333563055771	0.001346865199954572	0.06377895066944471
532.48	0.054390610983983796	0.0004462099268539921	0.0388664233157991
532.63	0.06165420842469949	0.00013448040695242526	0.02252271478368406
532.78	0.07034688652008389	3.6870879088723214e-05	0.012411259373897136
532.93	0.08055057138738883	9.19629005944965e-06	0.0065036913146149225
533.08	0.09210482705977079	2.0866351562717236e-06	0.0032408053145188357
533.23	0.10450458243667018	4.307101144031542e-07	0.001535659456584392
533.38	0.1169612614784266	8.087761046843934e-08	0.000691967740995499
533.53	0.12866524223323422	1.3815806545875919e-08	0.0002965007063302339
533.68	0.13906516996302326	2.1469842880391777e-09	0.00012081325070376586
533.83	0.1479584233599117	3.035192076688897e-10	4.6811478863554654e-05
533.98	0.15540270953089919	3.903446076839664e-11	1.7248014433910025e-05
534.13	0.16158229500417043	4.56683036051199e-12	6.043309076797608e-06
534.28	0.1667125295049073	4.860559521218758e-13	2.0135362808895555e-06
534.43	0.1709928176230997	4.706112911356349e-14	6.379594373353159e-07
534.58	0.1745907219230748	4.145177294638311e-15	1.922098444218763e-07
534.73	0.1776408810705533	3.321456502468194e-16	5.506899387700385e-08
534.88	0.1802493713558397	2.421133399731319e-17	1.5003328228928972e-08
535.03	0.1824992259447543	1.6055120123462933e-18	3.887022306169593e-09
535.18	0.184455486392343	9.685300291936913e-20	9.576248540994618e-10
535.62	0.18893907270879629	1.4853795592665164e-23	1.1760769067783722e-11
536.02	0.1918945837001576	2.4972910021510462e-27	1.4798816452105135e-13
536.42	0.19415737015186013	2.1422371778517638e-31	1.3020660884278337e-15
536.82	0.19594167548606076	9.376324782019533e-36	8.010393587195428e-18
537.22	0.19738286201294045	2.0939409146431006e-40	3.4457952330849684e-20
537.62	0.19857019866037848	2.3859585466411504e-45	1.0364297228671757e-22
538.02	0.1995647432511725	1.3871647865316574e-50	2.179741715033197e-25
