energy	step1_	g1_	g2_
281.7839	0.03960180238149205	7.574848671307975e-13	7.000387806736938e-14
281.9339	0.0406203889149878	8.391549022036087e-12	3.4791715771729175e-13
282.0339	0.04132886929666983	3.934694514444939e-11	9.877174743962742e-13
282.1839	0.042438843166117575	3.661419552396181e-10	4.547258691269408e-12
282.2839	0.0432123099400146	1.5283820011626889e-09	1.2267291082348997e-11
282.3839	0.04401427926987231	6.090034411535744e-09	3.242533909913391e-11
282.5329	0.04526555524693319	4.3826384950336485e-08	1.3286951835972815e-10
282.6329	0.046145676977353056	1.5553887781940795e-07	3.3380433054158025e-10
282.7829	0.047531384416581494	9.53079394924336e-07	1.27930313495485e-09
282.8829	0.048501940992803014	3.0112438571063143e-06	3.0540925125862612e-09
282.9829	0.04951257757470006	9.081721661701399e-06	7.143774871172575e-09
283.1329	0.05110922963982399	4.3595004696722766e-05	2.4596748789600392e-08
283.2319	0.0522200509791182	0.00011592660804460647	5.424258660660197e-08
283.3819	0.05399718185197249	0.0004677619491667778	1.7305592046848118e-07
283.4819	0.055249884981033705	0.0011186034786148957	3.6559891752368795e-07
283.5819	0.056561358515812184	0.0025534823148664126	7.567635189842255e-07
283.6449	0.05741962752977818	0.004193644943131922	1.1842986466240731e-06
283.7449	0.05883603284052705	0.008874240026343697	2.371207614545609e-06
283.795	0.05957189091692033	0.012695017173693065	3.3319057917197855e-06
283.894	0.061080677638128154	0.024889055765268606	6.427754694437165e-06
283.9439	0.06187007772836166	0.03434589979941737	8.88388383128703e-06
284.0439	0.06351411091088831	0.0632459323088346	1.6734409504984148e-05
284.144	0.0652482055651075	0.11123221068493414	3.090412625493724e-05
284.1939	0.06614790396302417	0.14484526416801977	4.1639284963628383e-05
284.2939	0.06802634125648696	0.23745183760483893	7.45337380649038e-05
284.3439	0.06900539744223504	0.29877082229487856	9.895871343272446e-05
284.4439	0.07104886472807989	0.4567909991151787	0.00017179437943846325
284.5439	0.0732144721248125	0.6666567899879772	0.00029221379125401705
284.5939	0.07434647561401041	0.7914467891357939	0.0003782012027543814
284.6929	0.07669195584320214	1.0741764964542588	0.0006208545051528655
284.743	0.07793487737855657	1.2321511413320536	0.0007918038387035533
284.8429	0.08053444020224013	1.564418884264606	0.0012664846085245903
284.9429	0.0833114686250816	1.8965374359280984	0.0019857642826962667
284.993	0.08477400132329484	2.0523717990741135	0.002468620676467503
285.0929	0.0878444135000858	2.3201129356015895	0.0037523293614584205
285.1429	0.08946358246524885	2.4243448778024494	0.004591914512654938
285.243	0.09288518780419815	2.556418368389362	0.006774799037745976
285.3429	0.09656147530144875	2.573054808299816	0.009786046674389023
285.3929	0.09850875462051249	2.5368283346143565	0.011674040200241645
285.493	0.10264312176734434	2.3811768749232036	0.016366046011570802
285.5419	0.10478614679761653	2.269869467424248	0.01915978117004927
285.6419	0.10944615714452337	1.9881497605468488	0.026047430381378724
285.7419	0.1145179246479171	1.6622744174322805	0.03469573360513187
285.7919	0.11722464873565	1.4936765546720694	0.039738181288032026
285.8919	0.1230173734305375	1.1647113581938453	0.05133628606786572
285.9419	0.12612027989304	1.010709188890589	0.05790405708719269
286.0419	0.1327868251486973	0.7350147954128359	0.07254888205500518
286.1419	0.14014085026762896	0.5102363112276156	0.08906135585456772
286.1919	0.1441066698291405	0.41776882894793943	0.09792529965316867
286.2919	0.1526874609252235	0.2704702075581476	0.11658931697801601
286.3409	0.15723932530554757	0.21489547331034894	0.1260513641702326
286.4409	0.16732792024778356	0.12981376182795606	0.14558120221957915
286.5409	0.17862855352612933	0.0748547935912151	0.16474031807682576
286.8299	0.21998913234071454	0.011740932911976813	0.2099699118592629
286.9299	0.238097535127919	0.005649949262209772	0.2194694122763458
287.0799	0.2698539671677977	0.0017285924448527887	0.22572569111867294
287.1799	0.2944624414918927	0.0007405392572796284	0.22420229011545267
287.3299	0.3369078242751765	0.0001903121214601454	0.21360440892838542
287.4299	0.3687932574877194	7.258309126120591e-05	0.20160968162829473
287.5299	0.4031133554440489	2.6424688981445314e-05	0.18644442526083463
287.6789	0.45711521647219583	5.378953732017647e-06	0.1597733931871899
287.7789	0.49377960982314584	1.7441655840005278e-06	0.14043431071356488
287.9289	0.5466850892031123	2.9516014811204865e-07	0.11138019354138393
288.0289	0.5792818033062498	8.520423039712724e-08	0.09302910758219506
288.1289	0.6091133136445273	2.3478481787755336e-08	0.07613188602736101
288.2789	0.6483155745164817	3.112565069988895e-09	0.05424625715093391
288.3789	0.6708655435545055	7.635558800990064e-10	0.04218515319494281
288.5279	0.6996968355829305	8.631081446143022e-11	0.027925111700233644
288.6279	0.7162505239410569	1.8858323508366103e-11	0.020640276980220338
288.7279	0.7308821749117681	3.933203004584616e-12	0.01494765172120734
288.8779	0.74977665209172	3.433574175898677e-13	0.00886626551744017
288.9779	0.7606575265545598	6.375338503785137e-14	0.006101551770446406
289.1279	0.7748634520483888	4.67491395952806e-15	0.0033525189440746267
289.2279	0.7831431309269568	7.727588216805573e-16	0.0021923653346130477
289.3269	0.7905450711552403	1.2423356282748037e-16	0.0014111349454029843
289.4769	0.80047492392854	7.141519963820706e-18	0.0006967883528356265
289.5769	0.8063583501557454	1.0036490964791655e-18	0.0004243362807861673
289.7269	0.814253176560146	4.8462287961172985e-20	0.00019409112561960786
289.8269	0.8189797623353693	6.063294901547582e-21	0.00011231999615772348
289.9269	0.8233333374045521	7.241339064654614e-22	6.368619884086779e-05
290.0769	0.8292519862981523	2.739172110887426e-23	2.6170335481767283e-05
290.1759	0.8328050894653507	2.9790430077641515e-24	1.418956970233962e-05
290.3259	0.8377246432729586	9.472190668911744e-26	5.402929639504696e-06
290.4259	0.8407290148045875	8.969942057886004e-27	2.7668806649830053e-06
290.5259	0.8435374936857172	8.108383059304875e-28	1.3883162032914856e-06
290.6759	0.8474218992093877	2.0196975482560532e-29	4.749161374608202e-07
290.7759	0.8498152610680239	1.625341006757794e-30	2.2644201414258032e-07
290.9249	0.8531231446495079	3.4907052187546386e-32	7.231728951422272e-08
291.0249	0.8551866557436281	2.5019971453286763e-33	3.2772756574024845e-08
291.1749	0.8580712618697076	4.400301276724284e-35	9.622785582985714e-09
291.2749	0.8598667010299691	2.8078220575063682e-36	4.143942866923745e-09
291.3749	0.8615691304981601	1.710260101064958e-37	1.7484916258512209e-09
291.5249	0.8639633775485694	2.3563304144070486e-39	4.612324364247725e-10
291.6249	0.8654622117864628	1.2777394566773245e-40	1.8493186843336915e-10
291.7739	0.867564422030382	1.5238683648173963e-42	4.562229419178826e-11
291.8739	0.8688943275446512	7.359851482638947e-44	1.7386004444944453e-11
291.9739	0.8701642480635001	3.393095332115338e-45	6.491712819498023e-12
292.1239	0.8719651505734226	3.0783764584177557e-47	1.4255424599529976e-12
292.2239	0.8731015634508864	1.2634622619870917e-48	5.058034514957412e-13
292.3739	0.8747178018768722	9.628491329042726e-51	1.0288826032333712e-13
292.4739	0.8757405243223155	3.518133566569951e-52	3.46904212470215e-14
292.5729	0.8767128340105688	1.2692471163562494e-53	1.158895394451448e-14
