energy	step1_	g1_	g2_
185.706	0.015920838629919946	1.1713700933221263e-64	4.8857741741719217e-54
185.862	0.016242836590336242	8.044887693814224e-61	5.986008017103328e-51
186.019	0.016580310011123745	4.448616467321212e-57	6.209913364418688e-48
186.176	0.016932090665850504	1.8699704695983902e-53	5.2082024410108304e-45
186.332	0.01729671920089793	5.680734005947755e-50	3.390025636536794e-42
186.489	0.01767987538304603	1.38223667873733e-46	1.860808260246447e-39
186.646	0.018080372766209673	2.556614075485176e-43	8.257609404116171e-37
186.802	0.018496684069814605	3.4354112526756395e-40	2.8554902602099275e-34
186.959	0.01893545621279146	3.678151994928339e-37	8.293344795339823e-32
187.116	0.019395524581661383	2.9935423998081784e-34	1.9472998401646374e-29
187.272	0.019875323995663077	1.7792739652647124e-31	3.577423834711052e-27
187.429	0.020382744312217	8.382368354672399e-29	5.497558129203118e-25
187.586	0.020916714193438386	3.0018947599410244e-26	6.83004134132508e-23
187.742	0.02147569065179441	7.892175336078431e-24	6.666104560984046e-21
187.899	0.022069198262401654	1.6360388861018733e-21	5.420282860908912e-19
188.056	0.022696385702856904	2.578073664544145e-19	3.5630822603266113e-17
188.212	0.023355847490891	2.9980608071581776e-17	1.8475060070244717e-15
188.369	0.02405931784256299	2.734703920105676e-15	7.948516577222354e-14
188.525	0.024801487384646624	1.8472935248423622e-13	2.7046748126061202e-12
188.682	0.025596022089804316	9.753802548901295e-12	7.615731236133038e-11
188.839	0.02644302765850727	3.9148652230539467e-10	1.7336532173907371e-09
188.995	0.027341907312101503	1.1697317067770796e-08	3.134024760875466e-08
189.152	0.02831026632602638	2.7176735849934985e-07	4.6692741258495666e-07
189.309	0.029349534333827927	4.799689334179184e-06	5.6240657309065455e-06
189.465	0.030460379807696503	6.343463232590815e-05	5.401343564030724e-05
189.622	0.03166631545272232	0.0006485006824669664	0.0004257936163696911
189.779	0.032971318270417584	0.00503963695239391	0.002713629538966709
189.935	0.03437866126565829	0.02946160501457172	0.01384564504999072
190.092	0.035921231342316486	0.13252975421660265	0.05775118939740264
190.249	0.037608060068261555	0.4531846446118426	0.19474339669088103
190.405	0.03944789506501488	1.171861238138726	0.5278816888157137
190.562	0.0414896013300249	2.3195629244787517	1.1650236250402655
190.719	0.04375278415340821	3.490124595915602	2.078676640169348
190.875	0.0462582960502549	3.991956375264383	2.9934500343721364
191.032	0.04908487142997173	3.476872260810134	3.4955904481946902
191.188	0.052254422442877375	2.310011120464207	3.303502075500518
191.345	0.055881749844734305	1.1646225496508948	2.52475616761362
191.502	0.060043813757431334	0.44633518358591295	1.559977620178857
191.658	0.06483333665060818	0.1311687289602499	0.7832197477937333
191.815	0.07047863880777588	0.029098755385394533	0.316722474962761
191.972	0.07717971453518979	0.004907082063302679	0.1035447786829304
192.128	0.08519861194169104	0.0006378761445538914	0.0276187924524029
192.285	0.09509184981953184	6.226635501218759e-05	0.005909494536415396
192.442	0.10748580273735076	4.6203548368421734e-06	0.0010222333670282546
192.598	0.12329335748575393	2.6566370298185475e-07	0.00014485642279668453
192.755	0.14433599156699034	1.1410962654343477e-08	1.6399620595780552e-05
192.912	0.17319209140583144	3.7257795100224655e-10	1.5010111340526262e-06
193.068	0.21401298681445796	9.47584381381051e-12	1.13001143481638e-07
193.225	0.2744745404181866	1.7909395835295881e-13	6.769074258435321e-09
193.382	0.3633657455591092	2.5730532887871947e-15	3.278157284481293e-10
193.538	0.48059813796011536	2.894632118245065e-17	1.3111124235335784e-11
193.695	0.6038081785345477	2.407295464263401e-19	4.1556290009506176e-13
193.851	0.7017307389562896	1.5730932724304292e-21	1.0907265286694907e-14
194.008	0.7699767105773464	7.572838067527183e-24	2.262606546209249e-16
194.165	0.8160484625713529	2.7711987250558626e-26	3.794514971793697e-18
194.321	0.847833429747108	8.010075300939701e-29	5.291107675151995e-20
194.478	0.8709168794838611	1.6967340474783457e-31	5.807512568040908e-22
194.635	0.8881770046366578	2.7320947346356723e-34	5.1533279997189614e-24
194.791	0.9014232153770323	3.493080020424503e-37	3.817590448134634e-26
194.948	0.9119965721594723	3.255807280028006e-40	2.2170898293650555e-28
195.105	0.920564442319878	2.3068196857341173e-43	1.0409534582601953e-30
195.261	0.9275972920190376	1.3045786936908591e-46	4.096793591178417e-33
195.418	0.9335376669927368	5.350488266026833e-50	1.2588918831125796e-35
195.575	0.9385884203306686	1.6680972035225194e-53	3.127424626490649e-38
195.731	0.9429076628902283	4.172744936980149e-57	6.538992569321077e-41
195.888	0.9466870970439595	7.53039838952545e-61	1.0631770405602877e-43
196.045	0.9500010847641879	1.0330441209625508e-64	1.397508323675101e-46
196.201	0.9529124397547184	1.1430446812277966e-68	1.5523498948427627e-49
196.358	0.9555212026027957	9.076790265288316e-73	1.33547191040113e-52
196.514	0.9578435702291671	5.833874971786013e-77	9.735066739479523e-56
196.671	0.9599494266634291	2.681602403765698e-81	5.4812599824563765e-59
196.828	0.9618558641048808	9.369932426879708e-86	2.495030956560923e-62
196.984	0.9635792618691248	2.6638215493792283e-90	9.66254067216623e-66
197.141	0.9651639157649929	5.387848509690577e-95	2.8786124477110644e-69
197.298	0.9666169088313672	8.283815701853543e-100	6.933126613575516e-73
197.454	0.9679457631752728	1.0417006837918743e-104	1.4264473584433436e-76
197.611	0.9691807585492583	9.27099137104828e-110	2.248526491973526e-80
197.768	0.9703243855868018	6.272117825220577e-115	2.8654599101023796e-84
197.924	0.9713798711458799	3.488755879480724e-120	3.132075162340051e-88
198.081	0.9723691209874575	1.366239346153085e-125	2.612310709122182e-92
