*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: (C6H5)CH2CHO
* Name: Phenylacetaldehyde
* Edge: O1s
* Alpha Formula: C8H8O
* Data Source: Hitchcock
* Filename: aq-0ookk.os
* Ref. Code: HH13
* Write Date: 15 / 08 / 2013
* Reference: Hitchcock (unpublished)
* Source and Purity: Sigma Aldrich, <90% in alcohol
* Acquisition Mode:EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2 files         0aqo      0aqo.os
* E (eV)    Raw data   Osc. Str. per atom (E-2)
*--------------------------------------------------------------
 5.4021E+02 1.1703E+04 3.9034E-01
 5.4041E+02 1.1640E+04 3.8291E-01
 5.4061E+02 1.1589E+04 3.7767E-01
 5.4081E+02 1.1738E+04 4.1341E-01
 5.4101E+02 1.1760E+04 4.2340E-01
 5.4121E+02 1.1810E+04 4.3914E-01
 5.4141E+02 1.1877E+04 4.5893E-01
 5.4161E+02 1.1993E+04 4.8907E-01
 5.4181E+02 1.1924E+04 4.8054E-01
 5.4201E+02 1.1846E+04 4.6975E-01
 5.4221E+02 1.1869E+04 4.8071E-01
 5.4241E+02 1.1817E+04 4.7540E-01
 5.4261E+02 1.1902E+04 4.9984E-01
 5.4281E+02 1.1814E+04 4.8692E-01
 5.4301E+02 1.1870E+04 5.0529E-01
 5.4321E+02 1.1845E+04 5.0592E-01
 5.4341E+02 1.1954E+04 5.3640E-01
 5.4361E+02 1.1948E+04 5.4170E-01
 5.4381E+02 1.2084E+04 5.7882E-01
 5.4401E+02 1.2104E+04 5.9009E-01
 5.4421E+02 1.2117E+04 6.0007E-01
 5.4441E+02 1.2198E+04 6.2549E-01
 5.4461E+02 1.2178E+04 6.2799E-01
 5.4481E+02 1.2242E+04 6.5014E-01
 5.4501E+02 1.2253E+04 6.6004E-01
 5.4521E+02 1.2157E+04 6.4482E-01
 5.4540E+02 1.2131E+04 6.4580E-01
 5.4560E+02 1.2016E+04 6.2567E-01
 5.4580E+02 1.1844E+04 5.9127E-01
 5.4600E+02 1.1773E+04 5.8087E-01
 5.4620E+02 1.1824E+04 6.0048E-01
 5.4640E+02 1.1759E+04 5.9148E-01
 5.4660E+02 1.1618E+04 5.6350E-01
 5.4680E+02 1.1593E+04 5.6409E-01
 5.4700E+02 1.1524E+04 5.5369E-01
 5.4720E+02 1.1511E+04 5.5714E-01
 5.4740E+02 1.1419E+04 5.4061E-01
 5.4760E+02 1.1404E+04 5.4339E-01
 5.4780E+02 1.1551E+04 5.8832E-01
 5.4800E+02 1.1524E+04 5.8816E-01
 5.4820E+02 1.1423E+04 5.6895E-01
 5.4840E+02 1.1367E+04 5.6121E-01
 5.4860E+02 1.1492E+04 6.0146E-01
 5.4880E+02 1.1243E+04 5.4196E-01
 5.4900E+02 1.1206E+04 5.3893E-01
 5.4920E+02 1.1338E+04 5.8169E-01
 5.4940E+02 1.1212E+04 5.5448E-01
 5.4960E+02 1.1115E+04 5.3477E-01
 5.4980E+02 1.1102E+04 5.3812E-01
 5.5000E+02 1.1045E+04 5.2910E-01
 5.5020E+02 1.1114E+04 5.5521E-01
 5.5040E+02 1.1121E+04 5.6443E-01
 5.5060E+02 1.1131E+04 5.7424E-01
 5.5080E+02 1.0934E+04 5.2536E-01
 5.5100E+02 1.0884E+04 5.1782E-01
 5.5120E+02 1.0800E+04 5.0043E-01
 5.5136E+02 1.0789E+04 5.0271E-01
 5.5196E+02 1.0711E+04 5.0018E-01
 5.5256E+02 1.0520E+04 4.6304E-01
 5.5316E+02 1.0651E+04 5.2352E-01
 5.5376E+02 1.0505E+04 4.9906E-01
 5.5436E+02 1.0478E+04 5.1151E-01
 5.5496E+02 1.0344E+04 4.8905E-01
 5.5556E+02 1.0271E+04 4.8572E-01
 5.5616E+02 1.0164E+04 4.7050E-01
 5.5676E+02 9.9338E+03 4.1162E-01
 5.5736E+02 1.0074E+04 4.8140E-01
 5.5796E+02 9.9499E+03 4.5825E-01
 5.5856E+02 9.9565E+03 4.8211E-01
 5.5915E+02 9.8363E+03 4.5889E-01
 5.5975E+02 9.6531E+03 4.1029E-01
 5.6035E+02 9.7590E+03 4.7270E-01
 5.6095E+02 9.7308E+03 4.8385E-01
 5.6155E+02 9.6183E+03 4.6081E-01
 5.6215E+02 9.6275E+03 4.8707E-01
 5.6275E+02 9.5487E+03 4.7697E-01
 5.6335E+02 9.3962E+03 4.3431E-01
 5.6395E+02 9.3787E+03 4.4914E-01
 5.6455E+02 9.4632E+03 5.1005E-01
