# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                C
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     286.1819
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              11035.0802344
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -8.364 -1.499
# Athena.pre_edge_line:          4248.942429 - 7.2978 * E
# Athena.normalization_range:    21.451 37.864
# Athena.post_edge_polynomial:   61847.451050 - 170.004 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 38.795
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 3.191
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                1.191 3.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        flat        fbkg        nder        nsec
  284.64270       0.96748476E-02   0.96748476E-02  -0.19678050      -0.37781490E-01   -1.1167494
  284.70960       0.20014077E-01   0.20014077E-01  -0.19673625      -0.42085214E-01  -0.12800708
  284.77650       0.40438460E-02   0.40438460E-02  -0.19669201      -0.54908837E-01    1.0218088
  284.84340       0.12667274E-01   0.12667274E-01  -0.19664777       0.94632807E-01    1.5155720
  284.91040       0.16715179E-01   0.16715179E-01  -0.19660346       0.14802625      -0.12716734
  284.97730       0.32487989E-01   0.32487989E-01  -0.19655922       0.77605101E-01   -1.5646306
  285.04420       0.27098741E-01   0.27098741E-01  -0.19651497      -0.61321327E-01  -0.19197990
  285.11110       0.24283195E-01   0.24283195E-01  -0.19647073       0.51918191E-01    1.1328081
  285.17810       0.34050587E-01   0.34050587E-01  -0.19642642       0.90361684E-01   0.44723035
  285.24500       0.36382625E-01   0.36382625E-01  -0.19638218       0.11180233       0.35192748
  285.31190       0.49009739E-01   0.49009739E-01  -0.19633794       0.13744958      -0.89449873
  285.37880       0.54773379E-01   0.54773379E-01  -0.19629369      -0.78815961E-02  -0.19216020
  285.44580       0.47954394E-01   0.47954394E-01  -0.19624939       0.11171933        3.6233307
  285.51270       0.69732597E-01   0.69732597E-01  -0.19620514       0.47728238        4.2656584
  285.57960       0.11181478       0.11181478      -0.19616090       0.68246442        1.9766367
  285.64650       0.16104634       0.16104634      -0.19611666       0.74175638        3.6806805
  285.71350       0.21113595       0.21113595      -0.19607235        1.1753075        8.0809181
  285.78040       0.31842002       0.31842002      -0.19602811        1.8237913        6.0127714
  285.84730       0.45515923       0.45515923      -0.19598386        1.9798164        4.3793736
  285.91420       0.58331944       0.58331944      -0.19593962        2.4097515        11.935596
  285.98120       0.77782496       0.77782496      -0.19589531        3.5779927        12.000978
  286.04810        1.0624127        1.0624127      -0.19585107        4.0166824        4.1891787
  286.11500        1.3152571        1.3152571      -0.19580683        4.1385048        3.0263060
  286.18190        1.6161446        1.6161446      -0.19576258        4.4216022       -2.8621954
  286.24890        1.9073096        1.9082975      -0.19473040        3.7552569       -9.9675591
  286.31580        2.1189735        2.1209478      -0.19369976        3.0869460       -13.109608
  286.38270        2.3203430        2.3233037      -0.19266911        2.0011913       -11.589715
  286.44960        2.3867329        2.3906800      -0.19163847        1.5362422       -8.7997231
  286.51660        2.5260458        2.5309808      -0.19060628       0.82290839       -7.1743422
  286.58350        2.4969203        2.5028417      -0.18957564       0.57559773       -1.3691014
  286.65040        2.6030608        2.6099685      -0.18854500       0.63972262       -5.2866018
  286.71730        2.5825152        2.5904094      -0.18751435      -0.13174959       -6.7185918
  286.78430        2.5854195        2.5943015      -0.18648217      -0.25989682       -2.9218451
  286.85120        2.5477150        2.5575835      -0.18545153      -0.52298465       -4.7776477
  286.91810        2.5154442        2.5262990      -0.18442088      -0.89914608       -10.116979
  286.98500        2.4274093        2.4392505      -0.18339024       -1.8766364       -6.4229230
  287.05200        2.2641625        2.2769916      -0.18235805       -1.7591755      -0.13819558
  287.11890        2.1918557        2.2056712      -0.18132741       -1.8951408       -5.5208056
  287.18580        2.0105927        2.0253946      -0.18029677       -2.4978593       -4.5385765
  287.25270        1.8576421        1.8734304      -0.17926612       -2.5024024      -0.20936470
  287.31970        1.6755210        1.6922972      -0.17823394       -2.5258932        2.1888333
  287.38660        1.5194250        1.5371876      -0.17720330       -2.2093176        4.9058369
  287.45350        1.3799143        1.3986633      -0.17617265       -1.8694922        2.2469554
  287.52040        1.2692870        1.2890224      -0.17514201       -1.9086749      -0.73922704
  287.58740        1.1243428        1.1450660      -0.17410982       -1.9684747        3.4850495
  287.65430        1.0057082        1.0274179      -0.17307918       -1.4420268        5.8354780
  287.72120       0.93139957       0.95409564      -0.17204854       -1.1876878        5.1318621
  287.78810       0.84679558       0.87047805      -0.17101789      -0.75538367        4.6640894
  287.85510       0.83025370       0.85492404      -0.16998571      -0.56316620       0.15541380
  287.92200       0.77138763       0.79704437      -0.16895507      -0.73457376      -0.51095620E-01
  287.98890       0.73196773       0.75861087      -0.16792442      -0.57000279        2.1749159
  288.05580       0.69512126       0.72275080      -0.16689378      -0.44357001        2.7625625
  288.12280       0.67257370       0.70119112      -0.16586159      -0.20009568        3.3814835
  288.18970       0.66832844       0.69793226      -0.16483095       0.92106354E-02   0.47808726
  288.25660       0.67380609       0.70439631      -0.16380031      -0.13612760       -3.3680373
  288.32350       0.65011457       0.68169119      -0.16276966      -0.44143276      -0.11088715
  288.39050       0.61469824       0.64726274      -0.16173748      -0.15097539        3.0143580
  288.45740       0.62989897       0.66344986      -0.16070684      -0.37810221E-01   -2.1732967
  288.52430       0.60963923       0.64417653      -0.15967619      -0.44176249       -1.9790773
  288.59120       0.57079114       0.60631484      -0.15864555      -0.30261076        1.8207719
