*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H4SN2
* Name: 2,1,3-benzotrithiadiazole
* Edge: N 1s
* Alpha Formula: C6H4N2S
* Data Source: Hitchcock
* Filename:  bw-0nnkk.os
* Ref. Code: HD&91
* Write Date: 93/06/10
* Reference: J. El. Spec. 57 (91) 165.
* Source and Purity: Aldrich
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bwn     name2- 0bwn.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  3.998540E+02,  1.356400E+04,  1.419908E-01,
  3.999794E+02,  1.341300E+04,  1.183003E-01,
  4.001048E+02,  1.358000E+04,  1.516040E-01,
  4.002303E+02,  1.383600E+04,  2.009465E-01,
  4.003557E+02,  1.436700E+04,  2.998058E-01,
  4.004811E+02,  1.494100E+04,  4.065852E-01,
  4.006065E+02,  1.564000E+04,  5.360748E-01,
  4.007320E+02,  1.624000E+04,  6.479613E-01,
  4.008574E+02,  1.742700E+04,  8.659720E-01,
  4.009828E+02,  1.779600E+04,  9.366570E-01,
  4.011082E+02,  1.835900E+04,  1.042543E+00,
  4.012337E+02,  1.860900E+04,  1.091985E+00,
  4.013591E+02,  1.891000E+04,  1.150752E+00,
  4.014845E+02,  1.842800E+04,  1.067660E+00,
  4.016100E+02,  1.825600E+04,  1.040659E+00,
  4.017354E+02,  1.768300E+04,  9.407537E-01,
  4.018608E+02,  1.695900E+04,  8.131911E-01,
  4.019862E+02,  1.657000E+04,  7.463476E-01,
  4.021117E+02,  1.614700E+04,  6.731732E-01,
  4.022371E+02,  1.598400E+04,  6.472636E-01,
  4.023625E+02,  1.601000E+04,  6.557953E-01,
  4.024879E+02,  1.579700E+04,  6.206686E-01,
  4.026134E+02,  1.600700E+04,  6.628269E-01,
  4.027388E+02,  1.598400E+04,  6.624058E-01,
  4.028642E+02,  1.583600E+04,  6.390720E-01,
  4.029897E+02,  1.581000E+04,  6.380618E-01,
  4.031151E+02,  1.532400E+04,  5.525921E-01,
  4.032405E+02,  1.530800E+04,  5.533198E-01,
  4.033659E+02,  1.494700E+04,  4.905823E-01,
  4.034914E+02,  1.461600E+04,  4.332404E-01,
  4.036168E+02,  1.481600E+04,  4.736416E-01,
  4.037422E+02,  1.489600E+04,  4.919766E-01,
  4.038676E+02,  1.485100E+04,  4.872587E-01,
  4.039931E+02,  1.486600E+04,  4.936141E-01,
  4.041185E+02,  1.491400E+04,  5.060794E-01,
  4.042439E+02,  1.486500E+04,  5.005993E-01,
  4.043694E+02,  1.482500E+04,  4.967697E-01,
  4.044948E+02,  1.484800E+04,  5.046142E-01,
  4.046202E+02,  1.513800E+04,  5.620514E-01,
  4.047456E+02,  1.481800E+04,  5.061994E-01,
  4.048711E+02,  1.499000E+04,  5.417781E-01,
  4.049965E+02,  1.509500E+04,  5.649393E-01,
  4.051219E+02,  1.520200E+04,  5.885106E-01,
  4.052473E+02,  1.509300E+04,  5.718140E-01,
  4.053728E+02,  1.530300E+04,  6.146604E-01,
  4.054982E+02,  1.522700E+04,  6.041123E-01,
  4.056236E+02,  1.554000E+04,  6.663325E-01,
  4.057491E+02,  1.540700E+04,  6.451222E-01,
  4.058745E+02,  1.549700E+04,  6.656749E-01,
  4.059999E+02,  1.561600E+04,  6.917025E-01,
  4.061253E+02,  1.547900E+04,  6.696825E-01,
  4.062508E+02,  1.586800E+04,  7.465171E-01,
  4.063762E+02,  1.565600E+04,  7.103773E-01,
  4.065016E+02,  1.578000E+04,  7.374600E-01,
  4.066270E+02,  1.600100E+04,  7.828781E-01,
  4.067525E+02,  1.615700E+04,  8.161068E-01,
  4.068779E+02,  1.613200E+04,  8.151959E-01,
  4.070033E+02,  1.625500E+04,  8.422635E-01,
  4.071288E+02,  1.608400E+04,  8.137254E-01,
  4.072542E+02,  1.640400E+04,  8.781536E-01,
  4.073796E+02,  1.631000E+04,  8.641834E-01,
  4.075050E+02,  1.641100E+04,  8.871956E-01,
  4.076305E+02,  1.627400E+04,  8.650227E-01,
  4.077559E+02,  1.657400E+04,  9.259120E-01,
  4.078813E+02,  1.651100E+04,  9.178061E-01,
  4.080067E+02,  1.651100E+04,  9.216823E-01,
  4.081322E+02,  1.682700E+04,  9.858288E-01,
  4.082576E+02,  1.676500E+04,  9.779257E-01,
  4.083830E+02,  1.668500E+04,  9.665610E-01,
  4.085085E+02,  1.668300E+04,  9.700862E-01,
  4.086339E+02,  1.682800E+04,  1.001755E+00,
  4.087593E+02,  1.659300E+04,  9.606544E-01,
  4.088847E+02,  1.683500E+04,  1.010965E+00,
  4.090102E+02,  1.669700E+04,  9.884056E-01,
  4.091356E+02,  1.663700E+04,  9.807851E-01,
  4.092610E+02,  1.695900E+04,  1.046625E+00,
  4.093864E+02,  1.649500E+04,  9.612437E-01,
  4.095119E+02,  1.678700E+04,  1.021394E+00,
  4.096373E+02,  1.666200E+04,  1.001208E+00,
  4.097627E+02,  1.672900E+04,  1.018050E+00,
  4.098882E+02,  1.675200E+04,  1.026412E+00,
  4.100136E+02,  1.645700E+04,  9.732647E-01,
  4.101390E+02,  1.677100E+04,  1.037935E+00,
  4.102644E+02,  1.684200E+04,  1.055621E+00,
  4.103899E+02,  1.656300E+04,  1.005433E+00,
  4.105153E+02,  1.634400E+04,  9.667943E-01,
  4.106407E+02,  1.643700E+04,  9.887178E-01,
  4.107661E+02,  1.647500E+04,  9.999758E-01,
  4.108916E+02,  1.661300E+04,  1.030721E+00,
  4.110170E+02,  1.653900E+04,  1.020195E+00,
  4.111424E+02,  1.661100E+04,  1.038126E+00,
  4.112679E+02,  1.627800E+04,  9.769931E-01,
  4.113933E+02,  1.630000E+04,  9.851301E-01,
  4.115187E+02,  1.637500E+04,  1.003645E+00,
  4.116441E+02,  1.593400E+04,  9.211345E-01,
  4.117696E+02,  1.605600E+04,  9.488228E-01,
  4.118950E+02,  1.588000E+04,  9.180866E-01,
  4.120204E+02,  1.587600E+04,  9.210646E-01,
  4.121458E+02,  1.588800E+04,  9.271868E-01,
  4.122713E+02,  1.580900E+04,  9.154082E-01,
