energy	step1_	g1_
530.0016	0.011973796388508484	3.6132571813222507e-20
530.1011	0.012124998486098382	1.3839565166391297e-19
530.2005	0.012279908350174062	5.187980585345562e-19
530.2999	0.012438825678293075	1.905974673491289e-18
530.3994	0.012602074152186726	6.871223979644673e-18
530.4988	0.012769491595089832	2.4245427763238176e-17
530.5982	0.012941414696008069	8.384332294762246e-17
530.6976	0.013118027720644576	2.8415153067986243e-16
530.7971	0.013299710235754825	9.449187468228187e-16
530.8965	0.013486302567893016	3.0757635436768305e-15
530.9959	0.013678201840206461	9.811927054258694e-15
531.0953	0.013875637578042166	3.067598824592985e-14
531.1948	0.014079060164594037	9.409585951804764e-14
531.2942	0.014288318295428981	2.825476683134596e-13
531.3936	0.014503886344301165	8.314876973025319e-13
531.493	0.014726053874610012	2.3980752891272924e-12
531.5925	0.014955362472449385	6.78519370431357e-12
531.6919	0.015191678439133327	1.8795167427455192e-11
531.7913	0.015435576616672664	5.102382744072138e-11
531.8907	0.0156874275674298	1.3575091126595202e-10
531.9902	0.015947892492230442	3.542987953120878e-10
532.0896	0.01621686988791976	9.053496921548087e-10
532.189	0.016495067828258936	2.267284019145764e-09
532.2885	0.01678326294802207	5.56962888700946e-09
532.3879	0.017081392501775816	1.3396544444973967e-08
532.4873	0.017390294523564276	3.157927870467688e-08
532.5867	0.017710563012062364	7.295490716057818e-08
532.6862	0.018043176957202978	1.6531121815847382e-07
532.7856	0.0183881555017672	3.668019123991168e-07
532.885	0.018746567343044418	7.976341552340798e-07
532.9844	0.019119211725581564	1.6998820178579693e-06
533.0839	0.019507350489598174	3.55299079485805e-06
533.1833	0.0199111393880248	7.272539382590069e-06
533.2827	0.020331974708559408	1.4588846918105965e-05
533.3821	0.020770957610673768	2.868129383437612e-05
533.4816	0.021229757304285835	5.52969944610989e-05
533.581	0.02170875831838892	0.0001044134054656548
533.6804	0.02220983751957667	0.0001932208019931691
533.7798	0.022734554698331633	0.0003504244385886422
533.8793	0.023285186611902153	0.0006231960039164571
533.9787	0.023862506815561957	0.001085530743975988
534.0781	0.0244691245238442	0.001853115471501357
534.1776	0.025107981972986915	0.0031018883740316764
534.277	0.025780323826192275	0.005085849228904067
534.3764	0.026489578949545844	0.0081722883830838
534.4758	0.027238865435538717	0.012869651062617683
534.5753	0.028032482550318538	0.019870918429408226
534.6747	0.028872730971568672	0.030055087113961376
534.7741	0.029764755854671032	0.04455135606106321
534.8735	0.03071347966413346	0.0647212282256025
534.973	0.03172551759734066	0.09217760173396806
535.0724	0.03280515594851979	0.12861398341165275
535.1718	0.03396057572546013	0.17587084904921663
535.2712	0.035200012022667204	0.2356906842247465
535.3707	0.03653432402223372	0.30963393843187115
535.4701	0.03797177819167169	0.39854198174335115
535.5695	0.0395263737433843	0.5027388891375193
535.6689	0.04121295394021923	0.6215180880377889
535.7684	0.04305089302532128	0.7531602616721141
535.8678	0.045057155241514435	0.8942843920332305
535.9672	0.04725810761834798	1.0406550367548033
536.0667	0.04968585410415982	1.1869538274492453
536.1661	0.05237132395402733	1.3266059072851712
536.2655	0.05536057736902994	1.453091340148642
536.3649	0.05870762162361587	1.5598641910657847
536.4644	0.06248392575285555	1.6411236668109068
536.5638	0.06676721743203984	1.6920459176395017
536.6632	0.07167030475101904	1.7097234424821102
536.7626	0.07733528093767839	1.6930994729921602
536.8621	0.08395730690826164	1.6431018334952785
536.9615	0.09177660675771615	1.5627807408424326
537.0609	0.1011478885525191	1.4567147133747727
537.1603	0.11256175474628666	1.3307419544591397
537.2598	0.1267418828305507	1.1912511706225464
537.3592	0.1447081555361417	1.045200586951941
537.4586	0.16806053696358708	0.8987498595641221
537.558	0.19923805072122486	0.7573923464161474
537.6575	0.24198576741789568	0.6254000174019224
537.7569	0.3012974265184094	0.5061939239087776
537.8563	0.3819109161961627	0.4015307894691834
537.9557	0.48166443663375536	0.31215023314114426
538.0552	0.5851276118592575	0.23775416077979938
538.1546	0.6732662063650081	0.17752106679790214
538.254	0.7395942620232643	0.12990161733209732
538.3535	0.7874804019282453	0.09312631751903377
538.4529	0.8221625059913467	0.06545066317676697
538.5523	0.847899329456814	0.045081520850141756
538.6517	0.8675196674293109	0.030431681663256736
538.7512	0.8828783265745301	0.02012386103157792
538.8506	0.8951524923362848	0.013047150294757868
538.95	0.9051680253234888	0.00829015989295728
539.0494	0.913480470368852	0.005162416434410727
539.1489	0.9204877312912308	0.0031489508171022394
539.2483	0.9264582501527064	0.0018833583741529828
539.3477	0.931607666918185	0.0011039335782360303
539.4471	0.9360922491317683	0.0006341555614338721
539.5466	0.9400351822446514	0.00035680927406454637
539.646	0.9435213744796661	0.00019686384270102222
539.7454	0.94662808473303	0.00010644828488255314
539.8448	0.9494135698105899	5.6409761655961576e-05
539.9443	0.951927235402935	2.9276697044651805e-05
540.0437	0.9542023805120893	1.4900973321991338e-05
540.1431	0.956273201036367	7.432759518548698e-06
540.2426	0.9581677069898594	3.630875061802194e-06
540.342	0.9599040263907763	1.7394971112534912e-06
540.4414	0.9615026281402026	8.167309334237007e-07
540.5408	0.9629792001480789	3.7581765949462597e-07
540.6403	0.9643484701126743	1.6934247094210387e-07
540.7397	0.965619211035849	7.484125017073812e-08
540.8391	0.9668028001304401	3.241597289743992e-08
540.9385	0.9679078762843247	1.3760048787678238e-08
541.038	0.968942983607511	5.719211642953309e-09
541.1374	0.9699126518101537	2.3317073597485874e-09
541.2368	0.9708237675168319	9.31654326018473e-10
541.3362	0.9716814650855501	3.648198432073806e-10
541.4357	0.9724910876085991	1.398692133490678e-10
