# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                N
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     400
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.0002820
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -20.206 -1.606
# Athena.pre_edge_line:          0.002421 - 4.14502e-006 * E
# Athena.normalization_range:    19.827 50.632
# Athena.post_edge_polynomial:   0.003208 - 5.40903e-006 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 185.624
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 6.980
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 4.980
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        nbkg        flat        fbkg        nder        nsec
  400.67783       0.53955909      -0.27108967       0.54263427      -0.26797122      -0.59302243        11.632638
  400.79131       0.60566497      -0.20797359       0.60924348      -0.20434650       0.72442838        5.0405168
  400.89463       0.69661292      -0.15175881       0.70064725      -0.14766861       0.49974600       0.96624592
  401.01611       0.71801022      -0.87172336E-01   0.72258737      -0.82537607E-01   0.94164500        4.1600662
  401.12949       0.91777077      -0.28353057E-01   0.92284010      -0.23210128E-01    1.4767929        2.0304090
  401.24883        1.0616818       0.32052944E-01    1.0672745       0.37730774E-01    1.4141512      -0.60096321
  401.35303        1.2338832       0.83549247E-01    1.2399291       0.89694131E-01    1.3424565      -0.21712454
  401.46768        1.3554753       0.13888015        1.3620254       0.14553893        1.3666340       -4.2963517
  401.56416        1.5224246       0.18437635        1.5293938       0.19146760       0.43535531       -8.2943454
  401.67637        1.4463302       0.23607112        1.4538084       0.24366532      -0.36432454       -6.9979858
  401.76611        1.4488481       0.27648660        1.4567284       0.28448307      -0.97790961       -5.5996893
  401.87646        1.2506528       0.32505847        1.2590436       0.33354957       -1.4848089       0.69764531
  401.96494        1.1536264       0.36311610        1.1624216       0.37200378      -0.83919812       0.39259088
  402.06582        1.0917461       0.40555635        1.1009984       0.41489620       -1.4104697       -4.6352516
  402.16250       0.87497598       0.44528729       0.88467900       0.45506048       -1.7549319       0.21088070
  402.26445       0.74315902       0.48619621       0.75332960       0.49642640       -1.3685819        3.8014637
  402.35410       0.61275350       0.52133740       0.62333638       0.53196941       -1.0265654        4.4547954
  402.44941       0.55328445       0.55785509       0.56429931       0.56891433      -0.54461846        4.9778547
  402.54268       0.51005251       0.59275375       0.52148887       0.60423101      -0.87870455E-01    2.4631324
  402.64023       0.53651698       0.62838734       0.54838851       0.64030189      -0.74602801E-01   -1.0759523
  402.72539       0.49642148       0.65876864       0.50867792       0.67106489      -0.28446286       -1.8521331
  402.82734       0.48329134       0.69426634       0.49600582       0.70701958      -0.42115413      -0.41747096
  402.91592       0.41618008       0.72433865       0.42929695       0.73748890      -0.36400251        4.6978266
  403.01592       0.41464982       0.75744224       0.42821505       0.77104072       0.46473523        5.2207054
  403.10225       0.50277331       0.78530423       0.51671842       0.79928967       0.60876160       -1.1572645
  403.20928       0.53235953       0.81893761       0.54678202       0.83340279       0.24096738       -2.5651355
  403.30459       0.55153154       0.84804961       0.56637971       0.86294202       0.89722581E-01   0.42289526
  403.43604       0.55270484       0.88691846       0.56814210       0.90240004       0.33686222       0.17747364
  403.56797       0.64025394       0.92446132       0.65627555       0.94053427       0.13646539       -1.2055896
  403.66895       0.58448901       0.95221463       0.60096769       0.96874020       0.56068219E-01  -0.83028952
  403.80166       0.65335661       0.98741761       0.67042464        1.0045380      -0.57566211E-01  -0.76835461
  403.90283       0.57102504        1.0132956       0.58855316        1.0308695      -0.12363970        3.6082341
  404.01074       0.62750577        1.0399967       0.64551305        1.0580543       0.69685058        4.9597640
  404.11289       0.71740449        1.0644274       0.73586242        1.0829428       0.91820137       -2.3038520
  404.22080       0.82038186        1.0893559       0.83931522        1.1083550       0.21290665       -5.2375451
  404.31631       0.76071354        1.1106750       0.78007978        1.1301023      -0.14720957       0.80256039
  404.42188       0.79078182        1.1334376       0.81061883        1.1533380       0.37428084        2.9026929
  404.50811       0.83249944        1.1514142       0.85271962        1.1717012       0.40951793      -0.45028142
  404.60811       0.86704655        1.1715763       0.88771219        1.1923115       0.29042471       -1.6951063
  404.68740       0.88457166        1.1870477       0.90559133        1.2081383       0.10559080        1.3510064
  404.77939       0.88513309        1.2044308       0.90656505        1.2259337       0.52183723        1.3483574
  404.86025       0.97477206        1.2192149       0.99655927        1.2410803       0.33865654       -1.9260383
  404.95684       0.94522478        1.2362744       0.96744727        1.2585727       0.18007829        3.1109884
  405.04199        1.0074992        1.2507813        1.0300984        1.2734613       0.90404228        2.1398037
  405.14648        1.1166750        1.2679078        1.1397338        1.2910561       0.58588886       -4.3459084
  405.23496        1.1205574        1.2818363        1.1440125        1.3053812       0.65417987E-01   -1.6392280
  405.34863        1.1298992        1.2989720        1.1538630        1.3230265       0.25452154       0.99478535
  405.43838        1.1723317        1.3119071        1.1966944        1.3363638       0.26777523        1.0094843
