*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CH2CN
* Name: Acetonitrile
* Edge: C 1s
* Alpha Formula: C2H3N
* Data Source: Hitchcock
* Filename:  an-0cckk.os
* Ref. Code: HTM89
* Write Date: 93/06/10
* Reference: J. Phys. Chem. 93 (89) 3068.
* Source and Purity: N/A
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0anc4    name2- 0anc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
   303.3860       54668.00       .9920335    
   303.5130       54841.00       .9969852    
   303.6390       55083.00       1.003338    
   303.7660       55673.00       1.016750    
   303.8930       55451.00       1.013744    
   304.0200       55386.00       1.013911    
   304.1470       55636.00       1.020473    
   304.2740       56200.00       1.033437    
   304.4010       56400.00       1.039019    
   304.5280       56567.00       1.043937    
   304.6550       56559.00       1.045297    
   304.7820       57320.00       1.062374    
   304.9090       57059.00       1.058575    
   305.0360       57400.00       1.067101    
   305.1630       57694.00       1.074681    
   305.2900       57595.00       1.074203    
   305.4170       58238.00       1.088987    
   305.5440       57855.00       1.082671    
   305.6710       58192.00       1.091189    
   305.7980       58233.00       1.093611    
   305.9250       58355.00       1.097707    
   306.0520       58618.00       1.104737    
   306.1790       58230.00       1.098288    
   306.3050       58782.00       1.111316    
   306.4320       58413.00       1.105246    
   306.5590       58747.00       1.113784    
   306.6860       59044.00       1.121572    
   306.8130       58488.00       1.111585    
   306.9400       58597.00       1.115457    
   307.0670       58757.00       1.120402    
   307.1940       58489.00       1.116400    
   307.3210       58291.00       1.113851    
   307.4480       57995.00       1.109232    
   307.5750       58271.00       1.116621    
   307.7020       58162.00       1.115929    
   307.8290       58178.00       1.117861    
   307.9560       57992.00       1.115536    
   308.0830       58023.00       1.117788    
   308.2100       58046.00       1.119874    
   308.3370       58011.00       1.120728    
   308.4640       57150.00       1.104079    
   308.5910       57617.00       1.115567    
   308.7180       57306.00       1.110555    
   308.8450       57632.00       1.119074    
   308.9710       57068.00       1.108650    
   309.0980       57173.00       1.112474    
   309.2250       56883.00       1.107866    
   309.3520       56995.00       1.111841    
   309.4790       56962.00       1.112714    
   309.6060       56910.00       1.113185    
   309.7330       56652.00       1.109235    
   309.8600       56864.00       1.115366    
   309.9870       56190.00       1.102452    
   310.1140       55751.00       1.094565    
   310.2410       55845.00       1.098151    
   310.3680       55081.00       1.083216    
   310.4950       54614.00       1.074658    
   310.6220       55048.00       1.085587    
   310.7490       55181.00       1.090019    
   310.8760       54468.00       1.076092    
   311.0030       54342.00       1.074886    
   311.1300       53845.00       1.065606    
   311.2570       54187.00       1.074572    
   311.3840       53404.00       1.059020    
   311.5110       53332.00       1.058955    
   311.6380       53529.00       1.064773    
   311.7640       53095.00       1.056784    
   311.8910       52829.00       1.052456    
   312.0180       52633.00       1.049652    
   312.1450       52199.00       1.041610    
   312.2720       52561.00       1.051056    
   312.3990       51974.00       1.039618    
   312.5260       51743.00       1.036008    
   312.6530       51662.00       1.035692    
   312.7800       51667.00       1.037275    
   312.9070       51306.00       1.030760    
   313.0340       50927.00       1.023828    
   313.1610       51047.00       1.027948    
   313.2880       50730.00       1.022366    
   313.4150       50540.00       1.019592    
   313.5420       50133.00       1.011982    
   313.6690       49799.00       1.005973    
   313.7960       49089.00       .9915528    
   313.9230       49111.00       .9934567    
   314.0500       48986.00       .9920735    
   314.1770       48931.00       .9922550    
   314.3040       48690.00       .9882616    
   314.4300       47905.00       .9720302    
