energy	step1_	g1_	g2_	g3_
525.6215	0.010409952172319445	2.68798639483358e-23	2.2833074776636543e-52	5.253456159000426e-55
525.8715	0.010659429393056677	2.8351845024925552e-21	1.546445124267519e-48	1.853999904294556e-52
526.1205	0.010920070904023598	2.369600025665049e-19	7.177803335068212e-45	5.541840559510837e-50
526.3705	0.011194888752140806	1.6260980489458283e-17	2.4433550688946996e-41	1.4687976222549763e-47
526.6205	0.011483877473158129	8.996841434192394e-16	5.892433565900092e-38	3.372616484179385e-45
526.8694	0.011786786484768297	3.948684996187163e-14	9.750350286935063e-35	6.5567887838122725e-43
527.1194	0.012107533659148538	1.4215124286973152e-12	1.181988138162708e-31	1.130744415308203e-40
527.3694	0.012446198268069995	4.125917003950823e-11	1.0151240128843091e-28	1.68940888032911e-38
527.6185	0.01280299613528637	9.549935628336228e-10	6.039256077731198e-26	2.14936640515239e-36
527.8685	0.013182223774425279	1.8032265037561855e-08	2.606480420883256e-23	2.4115662403067908e-34
528.1185	0.013584560488858876	2.7451859941192287e-07	7.969637574364582e-21	2.344147839665724e-32
528.3685	0.014012180717114244	3.3694958175105636e-06	1.7263774712869656e-18	1.974094162466847e-30
528.6175	0.014465659684381913	3.30547725206916e-05	2.598365051464858e-16	1.4161836684714582e-28
528.8675	0.014951413147635874	0.0002639640254158939	2.8289304346464312e-14	8.95665378008134e-27
529.1175	0.015470843141914034	0.0016995226906250597	2.1820135981541194e-12	4.907598844680344e-25
529.3665	0.016025261774363198	0.00876811302772197	1.1742314383864702e-10	2.2946043573057285e-23
529.6165	0.016623261979625083	0.03672871945568864	4.552121050156736e-09	9.442226662793625e-22
529.7875	0.017058595087741806	0.08642837605880288	4.5552437714528394e-08	1.1051447772178517e-20
529.9374	0.0174593489180212	0.16844433015460317	3.0045391804463333e-07	9.035731419151575e-20
530.0865	0.01787702955210309	0.30293760503897926	1.7349476135185814e-06	6.940921527850035e-19
530.2365	0.01831782574334017	0.506080259003689	8.946761546769161e-06	5.126889736748668e-18
530.3865	0.018780831171730256	0.782375787519192	4.0752857788349905e-05	3.596348442354963e-17
530.5364	0.019267428346634922	1.1190480488153893	0.00016382412834232716	2.3927587354991955e-16
530.6865	0.019780512413882484	1.4818245939722412	0.0005827477584334621	1.515619425873484e-15
530.8354	0.020317113416732042	1.8132515177846509	0.0018149458124101614	8.988387691971182e-15
530.9855	0.020888202966152465	2.0570527530754363	0.005040567873297688	5.1361140168576576e-14
531.1355	0.021491761282476866	2.1593094264046453	0.01235647149467297	2.783855464514823e-13
531.2855	0.022131062479843554	2.0975587209618967	0.02675606153403974	1.4329454355626005e-12
531.4355	0.022809361502903275	1.8855722169709668	0.05117556078906783	7.004603655176754e-12
531.5854	0.023529822865523353	1.5687961645595476	0.08643345227511555	3.2484142760694246e-11
531.7345	0.0242927808642304	1.209928029618463	0.12873626650594805	1.4196561915979138e-10
531.8845	0.025111632439839996	0.8623874657425387	0.169839503893209	5.945651497900783e-10
532.0345	0.025987230624780786	0.568820355215595	0.19791979163835585	2.364757770563198e-09
532.1844	0.026924993605454858	0.3473215784091966	0.2037333012469184	8.924163429943394e-09
532.3345	0.027933821092969675	0.19611458954416405	0.18523727339761856	3.203862824033429e-08
532.4835	0.029012264926650738	0.10298209497873934	0.14904938593633815	1.0826785972898618e-07
532.6335	0.030184669404739288	0.04984000380420273	0.105825612752429	3.5036447269480534e-07
532.7834	0.0314539695628406	0.022334076118448707	0.06639221183802048	1.0759545473309827e-06
532.9335	0.0328354372248528	0.009251244147691417	0.03676631661500093	3.142490047977052e-06
533.0835	0.03434129571842413	0.003548181881400349	0.017990732789617294	8.709781295069017e-06
533.2335	0.03599005466661972	0.0012593353691165996	0.007776072362857052	2.2925115463729552e-05
533.3824	0.03778881175883957	0.00041713362223732767	0.002991212067275179	5.693123978947086e-05
533.5325	0.039790693813416	0.00012675390868395754	0.001008896970545089	0.00013527084863709907
533.6825	0.04201106264384486	3.567062695186068e-05	0.00030078462743691786	0.0003050498755548375
533.8325	0.04448872603250992	9.289448266923413e-06	7.920948048604568e-05	0.0006532936435313273
533.9825	0.04727007417564346	2.238715437437835e-06	1.8425165740440307e-05	0.0013286694697969318
534.1315	0.05039073541689165	5.044214628147111e-07	3.827528782096112e-06	0.002555434913854632
534.2815	0.053965293976643784	1.0415655095212506e-07	6.95244195761932e-07	0.0046888329490368105
534.4315	0.05806746270703656	1.9902581859143406e-08	1.1154984943189557e-07	0.008170255523959878
534.5815	0.06281818638682857	3.5193466250751146e-09	1.5809324538571424e-08	0.013520023957934345
534.7314	0.06837227291671534	5.766067969849809e-10	1.9819373874968647e-09	0.02124060204241014
534.8815	0.07495334917818489	8.720807073799406e-11	2.188467479810913e-10	0.031708371201532366
535.0305	0.08277755629227376	1.2385110793907376e-11	2.1718796896798227e-11	0.04484284434649263
535.1805	0.09234244492526454	1.6069270858425876e-12	1.875383879901485e-12	0.06037654709350955
535.3304	0.10413004635073937	1.9321781821765403e-13	1.4329147137423787e-13	0.07718815194072064
535.4805	0.11890919486127277	2.1437696019207128e-14	9.636895232509126e-15	0.09374137987661997
535.6305	0.13765510563896632	2.204264826395388e-15	5.734950607523436e-16	0.10809840632640083
535.7805	0.161635727483742	2.097390171383836e-16	3.014636381713111e-17	0.11837995850197666
535.9294	0.19190188565165686	1.880552961965575e-17	1.4322726739054976e-18	0.12310190387806164
536.0795	0.22954875359945467	1.5306310420038425e-18	5.866905997128609e-20	0.1216239366286435
536.2295	0.2729802246612064	1.1547815320788648e-19	2.127216839110486e-21	0.11411436135188911
536.3795	0.31816509700075907	8.062299705462789e-21	6.8128229787677e-23	0.10167928760759876
536.5295	0.3600272968231478	5.208921863047817e-22	1.9273258964471687e-24	0.086039054341183
536.6785	0.3951349685377889	3.174197198235691e-23	4.9380567195296175e-26	0.0692527583583934
536.8285	0.42340125732879674	1.757142033020273e-24	1.0908594410016166e-27	0.05286784677329392
536.9785	0.44552937866379533	9.00139100645235e-26	2.1286008202428295e-29	0.03832808420342187
537.1285	0.46285466022994337	4.267191982202927e-27	3.6688703549533103e-31	0.026388429507256148
537.2784	0.4765527384928553	1.8759487702718177e-28	5.601609102004666e-33	0.017258832443524722
537.4285	0.4875607901259543	7.599704041423686e-30	7.511847732720478e-35	0.010713200609367394
537.5775	0.49646979019388593	2.918981178934784e-31	9.194673196086558e-37	0.006340624507050918
537.7275	0.5038900235106788	1.0153306597154666e-32	9.655716953208292e-39	0.003551908469932493
537.8774	0.5101044811403826	3.275816611634455e-34	8.98500882567245e-41	0.0018903953650228292
538.0275	0.5153833854739507	9.735299113707356e-36	7.338699641268509e-43	0.0009546277532877932
538.1775	0.5199077376001319	2.6835821384563702e-37	5.3113567335556524e-45	0.0004580117457976608
538.3265	0.5238020898533639	7.0168759345437e-39	3.5132709065236895e-47	0.00020981681646039843
538.4764	0.5272270672628676	1.6614572316931139e-40	1.992503849149513e-49	9.087076432307571e-05
