energy	step1_	g1_	g2_	g3_
395.7192	0.010127365596243887	4.676619297026247e-36	6.417841517052519e-22	3.7349232245459096e-35
395.9692	0.010403091123805719	6.129918723385841e-33	2.0374506178363126e-20	3.13637404599723e-33
396.2182	0.010693047671894496	5.5872074996442865e-30	5.619732231620286e-19	2.2793691177353113e-31
396.4682	0.011000891118153111	3.740462311995001e-27	1.383075525003158e-17	1.4838602553304558e-29
396.7182	0.01132697736108268	1.7884107872414797e-24	2.9962735810139505e-16	8.503087358062372e-28
396.9672	0.01167155068707132	5.970058497334122e-22	5.648216203716407e-15	4.2234247967063586e-26
397.2172	0.012039252637074671	1.4579021210083107e-19	9.485911127371709e-14	1.8762062310004797e-24
397.4672	0.012430864317019508	2.542668038094512e-17	1.402336009951316e-12	7.33671549354724e-23
397.7162	0.012847067209336926	3.1086525992682937e-15	1.8066883727627173e-11	2.490526221996462e-21
397.9662	0.013293938283377549	2.769116777581848e-13	2.070563025835109e-10	7.54995551962258e-20
398.2162	0.01377299741664395	1.7616590761293953e-11	2.0888100825267376e-09	2.014665562985507e-18
398.3492	0.014042192608028414	1.3991142506462315e-10	6.781911757819978e-09	1.0974848037779847e-17
398.4492	0.014251624080021619	6.240849830105775e-10	1.6053799129952693e-08	3.833570313256914e-17
398.5992	0.014577744279761662	5.314629766713225e-09	5.627272525342565e-08	2.4087537209262757e-16
398.6992	0.014803571923225511	2.071992475950684e-08	1.2658019386844676e-07	7.995385984206559e-16
398.8492	0.015155734162070555	1.4417978250460997e-07	4.1100684761030505e-07	4.653627071558819e-15
398.9492	0.015399960044229444	4.912970205586368e-07	8.78534830010315e-07	1.4678468037052827e-14
399.0482	0.015649616460670146	1.568263455153962e-06	1.8265819541537498e-06	4.485907825470383e-14
399.1982	0.016043682366877865	8.231665973898337e-06	5.329958890705532e-06	2.3464099088029545e-13
399.2982	0.016317596717407734	2.3243196483325084e-05	1.0609657956958915e-05	6.892243862908082e-13
399.4482	0.016746449615662573	9.968997321675483e-05	2.8678026193112812e-05	3.339468498662863e-12
399.5482	0.017045085974181196	0.0002460278092825843	5.424614730364338e-05	9.321294313426683e-12
399.6482	0.017354556027389334	0.0005753429053579715	0.00010053687644506149	2.5492471220560223e-11
399.7982	0.017840398546919656	0.0018598763005087805	0.00024414155736207443	1.1096783214801186e-10
399.8972	0.018176220105410035	0.0037753944981782092	0.0004275886853137078	2.856742075057196e-10
400.0472	0.018709809093175156	0.009980617186479798	0.0009621408448201805	1.1522648664780046e-09
400.1472	0.01908326598350496	0.01783951628194257	0.0016105269960156477	2.8461704484415335e-09
400.2472	0.019471916304127368	0.030214721306460045	0.002641400243305026	6.888209341546808e-09
400.3972	0.02008546871569089	0.06020261069691002	0.005339678499080055	2.4960660574101573e-08
400.4972	0.020516415067469596	0.0891200557148105	0.008321917994218322	5.740419422444893e-08
400.6462	0.021193910063493526	0.1446845383208544	0.015520912174686406	1.9116856676598817e-07
400.7462	0.021674225861599172	0.187301284075724	0.022990918084579294	4.17863833852193e-07
400.8462	0.02217678115113919	0.22975725245232065	0.0333681580576706	8.94931783335098e-07
400.9962	0.02297580738705063	0.2821664635155697	0.05615361274091755	2.6996299803288214e-06
401.0962	0.023541206577783302	0.30252305353800113	0.07744542025385444	5.494162602676707e-06
401.2462	0.024443374630211845	0.303585867331111	0.12072699388380535	1.5352496113117728e-05
401.3462	0.02508416080877013	0.28448491098066836	0.1582211523590905	2.9690559408077182e-05
