energy	step1_	g1_	g2_	g3_
524.0402	0.006280682593340658	2.1037644611418305e-16	6.0311035584954634e-21	4.500281308149555e-37
524.1872	0.006367265218907065	1.3055672653023987e-15	4.2668906457198023e-20	6.540317488881338e-36
524.3342	0.006456263702084374	7.730454516693451e-15	2.88850985081013e-19	9.095060939094649e-35
524.4811	0.006547717244263194	4.362242520500459e-14	1.868694627771421e-18	1.2080971397480666e-33
524.6281	0.006641858481874121	2.351455347052112e-13	1.1582676662238614e-17	1.5382144753987014e-32
524.7751	0.006738740485927063	1.2093925927754316e-12	6.869531860407495e-17	1.8740429724507046e-31
524.9221	0.006838484448877725	5.934737457728166e-12	3.898458941888818e-16	2.184689944474484e-30
525.069	0.006941147864781016	2.7758130274711973e-11	2.1145260383409356e-15	2.4329973799945196e-29
525.216	0.0070470066377130765	1.2400681957662727e-10	1.0987202161905275e-14	2.5969295091738005e-28
525.363	0.007156136497933982	5.285725038323831e-10	5.4627183177979224e-14	2.6523222879811337e-27
525.5099	0.00726861329414615	2.1476310438471885e-09	2.596114400752475e-13	2.5880524452179473e-26
525.6569	0.007384753427833668	8.33373763822647e-09	1.1818266341067695e-12	2.4201788523695504e-25
525.8039	0.007504655401383635	3.085486237162948e-08	5.147914597716115e-12	2.165556225495367e-24
525.9509	0.0076285044908618194	1.0899612090716455e-07	2.1456382719634727e-11	1.85412529859812e-23
526.0978	0.007756409780790963	3.6707099451453924e-07	8.549232245588707e-11	1.516845845402661e-22
526.2448	0.007888756272668414	1.1804800432484986e-06	3.26257530278891e-10	1.1891025694444782e-21
526.3918	0.0080256838294077	3.6221870137743618e-06	1.1913560835434728e-09	8.919588153763308e-21
526.5388	0.008167433740587697	1.0604415302042864e-05	4.162653318600914e-09	6.402032874410259e-20
526.6857	0.008314162814190703	2.9601224395766007e-05	1.3905814747116378e-08	4.391125557942221e-19
526.8327	0.008466347880665616	7.88944923914335e-05	4.4487023655689036e-08	2.8857400619589024e-18
526.9797	0.008624188497446261	0.00020062605620293743	1.361814253981949e-07	1.814622014916285e-17
527.1266	0.008787891186300936	0.00048649310637766363	3.986015827229268e-07	1.0905336661029962e-16
527.2736	0.008958023211489769	0.0011262595670353678	1.1172022433572479e-06	6.278794939447997e-16
527.4206	0.009134846685757803	0.002487733957591961	2.99620961067175e-06	3.4590842123827317e-15
527.5676	0.009318762663460937	0.005242917383676562	7.688828954540183e-06	1.823448844884361e-14
527.7145	0.009510071867038394	0.010537711147520005	1.8868480686477563e-05	9.18759990729021e-14
527.8615	0.009709504017861742	0.020217922262815685	4.4333619968604344e-05	4.4344808029812115e-13
528.0085	0.009917440707964766	0.03701096371410928	9.967289442118548e-05	2.04800539790683e-12
528.1555	0.010134435113413246	0.06464395268608034	0.000214421613255993	9.050384454022823e-12
