energy	step1_	g1_	g2_
393.779	0.01037291476388551	2.061608791403643e-59	1.0759518885598164e-42
396.83936	0.01530104809690883	1.2465358528224144e-15	2.169539802450066e-16
396.99805	0.015687409487788583	3.828716283530816e-14	2.2675449412407875e-15
397.08193	0.01589961397554234	2.1779612404646349e-13	7.59526246337693e-15
397.18975	0.016180957708739296	1.8917024002370457e-12	3.47867678742584e-14
397.27812	0.01641907607643565	1.0464817553576654e-11	1.1786004076350523e-13
397.38604	0.01671954359947447	7.843176868062924e-11	5.061295937135576e-13
397.48682	0.017010224951687955	4.776881590578814e-10	1.9102406274711497e-12
397.57979	0.017287479774918776	2.3734729926500265e-09	6.324917522663681e-12
397.68525	0.017613117969863624	1.3585931114874641e-08	2.3809577870777116e-11
397.7749	0.017899731901301726	5.628553331297131e-08	7.150508321472984e-11
397.8792	0.018245134798651894	2.7389153453337763e-07	2.4906463037580357e-10
397.95742	0.018513035966545292	8.532029874737007e-07	6.210565680908764e-10
398.05957	0.01887496003680815	3.5258087932198104e-06	1.9902784298542075e-09
398.14238	0.019178901538259917	1.0551784400875385e-05	4.995728832565751e-09
398.23662	0.01953691075362976	3.4636366808119874e-05	1.3873601489841853e-08
398.32383	0.019880314598957616	9.839659732129803e-05	3.483440177789539e-08
398.41562	0.020255020584678658	0.00027865138748465193	8.948182312143134e-08
398.50195	0.020620541632395937	0.0007025623474421171	2.1218285576070064e-07
398.59727	0.021039739658986516	0.0018348304936527309	5.358546601262825e-07
398.67666	0.021402094192494087	0.00388665156678554	1.1344433111049088e-06
398.79912	0.02198613298296259	0.011337591596955191	3.47176167371045e-06
398.89443	0.022463187122037997	0.024242443342101683	8.028060962432691e-06
399.00654	0.023051474051786335	0.054597446863736965	2.0756195988359943e-05
399.01455	0.023094685341833336	0.05766203239952705	2.2180593328261652e-05
399.12119	0.023685774234047673	0.11426513101901321	5.2660343815101695e-05
399.24492	0.02441059296044545	0.22848362698614277	0.0001373833575111686
399.34912	0.025056251361157977	0.3766139521365562	0.00029690661755905223
399.46377	0.025807220393149817	0.5973805742511132	0.0006667068684928053
399.5627	0.02649227657261754	0.8255678285388087	0.0012966372639409544
399.66816	0.02726366624089124	1.0801759804031017	0.0025481286916978108
399.76104	0.027981123614023884	1.2825617680142065	0.004489428082029482
399.86895	0.02886346323385012	1.4505254882172416	0.008381838507504402
399.95625	0.02961894714344721	1.5088536615064794	0.013526880246588402
400.04697	0.030446970550330806	1.4848723144362108	0.021691932738532243
400.13096	0.03125579990619426	1.3891812532947787	0.03283063274767668
400.21943	0.03215541991299954	1.2271644700582447	0.04960918514844939
400.29873	0.03300681022207721	1.047706610190249	0.07035294181151032
400.39531	0.03410640430252768	0.8139204045898623	0.10485713661658479
400.47822	0.035110280767289274	0.6217827523190844	0.14432381643568723
400.58145	0.03644555502999797	0.41551452310068404	0.20850262088566163
400.67783	0.0377868310036627	0.2664808268980525	0.28529735827893304
400.79131	0.03949768391679262	0.14521782837933295	0.3977152961007972
400.89463	0.04119510808525464	0.07720578639838792	0.5197694090742113
401.01611	0.043386205427963426	0.03335826622777837	0.6824130708577245
401.12949	0.045650959486736344	0.013875489972741002	0.844164296207641
401.24883	0.048302946816497425	0.004996946246081168	1.0113862677063294
401.35303	0.050881659404271716	0.0018868337367117319	1.1421619087380102
401.46768	0.05405372749412086	0.0005914124425285037	1.2557376773023219
401.56416	0.05704303311691812	0.00020733848160920575	1.3176387474519975
401.67637	0.06095874707154684	5.6411105425320626e-05	1.3436779021322642
401.76611	0.06449409587511844	1.868440104026574e-05	1.326965812129455
401.87646	0.06943709541702771	4.44163810200379e-06	1.2626204060252437
401.96494	0.07397310364437114	1.3191747056484628e-06	1.1805648265165056
402.06582	0.07990960016617114	3.089554572948361e-07	1.0615084118778455
402.1625	0.08654369998818498	7.1856129608991e-08	0.9306518129946122
402.26445	0.0948084338386355	1.4370407486641943e-08	0.784997523203885
402.3541	0.10344979521971699	3.2845951036459153e-09	0.6580723588015427
402.44941	0.11446714000032215	6.427021744302548e-10	0.5308167523175814
402.54268	0.1276489285087137	1.2239003403722102e-10	0.41854421163056893
402.64023	0.14487392708308192	2.0225682489911892e-11	0.3171305791820932
402.72539	0.16383963172025182	3.976654481699487e-12	0.242961839215877
402.82734	0.193343772057866	5.304301977509708e-13	0.17145543599637555
402.91592	0.22748736047750034	8.681786158565054e-14	0.1233747415408507
403.01592	0.27960399113026135	1.0528179823517332e-14	0.0826316555001029
403.10225	0.3398375358981556	1.6095237804763271e-15	0.057017211350538
403.20928	0.43576547353468736	1.4579715106144195e-16	0.034854512297380194
403.30459	0.5327913500203291	1.604909335683956e-17	0.02182232728774682
403.43604	0.6546648131241178	6.88809870425249e-19	0.010922298202583454
403.56797	0.7425776284854606	2.5852519728365618e-20	0.0051662557590006885
403.66895	0.7889810538678607	1.9288509856681553e-21	0.002808268354307919
403.80166	0.8315226908182931	5.706567029701598e-23	0.001201109821490888
403.90283	0.8547016578356011	3.585538219209127e-24	0.0006059248311625439
404.01074	0.8736287628514313	1.7301784937013587e-25	0.0002819870296342434
404.11289	0.8876732253450212	9.099398461241521e-27	0.00013221719412206698
404.2208	0.8995777282235053	3.7417193321921877e-28	5.734541621859814e-05
404.31631	0.9082438128272269	2.0730694208693176e-29	2.6563430335392154e-05
404.42188	0.9162709659914786	7.857454927218675e-31	1.097839552691012e-05
404.50811	0.921874662079418	5.11664954899558e-32	5.199133945284197e-06
404.60811	0.9275167294477503	2.0170200418139143e-33	2.1228382606083515e-06
404.6874	0.9314509743168621	1.4773171164036495e-34	1.020639561492686e-06
404.77939	0.935518824223933	6.733763868742666e-36	4.2584489643205195e-07
404.86025	0.9387202632499777	4.245196801594908e-37	1.9325361615201462e-07
404.95684	0.9421554896975723	1.471497753900963e-38	7.322945905531334e-08
405.04199	0.9448825247370722	7.191872923116718e-40	3.0388823463363803e-08
405.14648	0.9478997761502862	1.6512372132911823e-41	1.0014066031894313e-08
405.23496	0.9502098877608574	6.364196117372216e-43	3.809349032471099e-09
405.34863	0.9528953195835251	8.95121140140686e-45	1.061884107145632e-09
405.43838	0.9548206717162226	2.8955740428689647e-46	3.76464271341188e-10
405.54961	0.957000213572183	3.807925402576388e-48	1.0057680717610744e-10
405.65654	0.9589070848958104	5.452679325128547e-50	2.7270091152388687e-11
405.77002	0.9607549913164087	5.511125071769384e-52	6.56557855646897e-12
405.87461	0.9623174742609116	7.366026864579017e-54	1.7057338227845042e-12
405.98809	0.9638784450570835	6.251917546305809e-56	3.802695493718584e-13
406.08584	0.9651233381456387	9.555453002293037e-58	1.01085106135675e-13
406.19941	0.9664664764407215	6.820926742072634e-60	2.0891019827374852e-14
406.2959	0.9675291823095333	9.531803414821474e-62	5.303088731638358e-15
406.40068	0.9686096833051505	8.567258388855293e-64	1.1579957419527448e-15
406.49502	0.969522979009488	1.1524207436151594e-65	2.8579088619440034e-16
406.59834	0.9704642886011611	9.57115463618987e-68	5.980864117252107e-17
406.68242	0.9711885636287669	1.8349445685374333e-69	1.6343273935355843e-17
406.78682	0.9720400261379656	1.2620817024345805e-71	3.165681525075222e-18
406.87217	0.9726997032425719	2.0339150265670642e-73	8.067572029720122e-19
