*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H4S3N2
* Name: 1,3,5,2,4-benzotrithiadiazepine
* Edge: N 1s
* Alpha Formula: C6H4N2S3
* Data Source: Hitchcock
* Filename:  bv-0nnkk.os
* Ref. Code: HD&91
* Write Date: 93/06/10
* Reference: J. El. Spec. 57 (91) 165.
* Source and Purity: Oakley, U. Guelph
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 3    name1- 0bncs    name2- 0bncs-n.     name3- 0bnc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  3.976600E+02,  1.082011E+04,  1.079951E+04,  2.049318E-01,
  3.978000E+02,  1.113623E+04,  1.111525E+04,  3.108302E-01,
  3.979400E+02,  1.174659E+04,  1.172533E+04,  5.112730E-01,
  3.980790E+02,  1.255025E+04,  1.252862E+04,  7.737495E-01,
  3.982190E+02,  1.353271E+04,  1.351047E+04,  1.093609E+00,
  3.983590E+02,  1.442504E+04,  1.440188E+04,  1.384412E+00,
  3.984990E+02,  1.517202E+04,  1.514768E+04,  1.628434E+00,
  3.986390E+02,  1.572261E+04,  1.569686E+04,  1.809292E+00,
  3.987790E+02,  1.507248E+04,  1.504504E+04,  1.604340E+00,
  3.989180E+02,  1.410822E+04,  1.407864E+04,  1.298298E+00,
  3.990580E+02,  1.290148E+04,  1.286891E+04,  9.141159E-01,
  3.991980E+02,  1.209565E+04,  1.205856E+04,  6.582239E-01,
  3.993380E+02,  1.130995E+04,  1.126564E+04,  4.079233E-01,
  3.994780E+02,  1.083300E+04,  1.077684E+04,  2.553161E-01,
  3.996180E+02,  1.055691E+04,  1.048112E+04,  1.647263E-01,
  3.997570E+02,  1.059995E+04,  1.049148E+04,  1.724227E-01,
  3.998970E+02,  1.078237E+04,  1.061874E+04,  2.177000E-01,
  4.000370E+02,  1.073520E+04,  1.048271E+04,  1.783932E-01,
  4.001770E+02,  1.090472E+04,  1.051440E+04,  1.929606E-01,
  4.003170E+02,  1.130488E+04,  1.071347E+04,  2.612907E-01,
  4.004570E+02,  1.198881E+04,  1.112733E+04,  3.986113E-01,
  4.005960E+02,  1.271417E+04,  1.152660E+04,  5.312144E-01,
  4.007360E+02,  1.344926E+04,  1.191844E+04,  6.614507E-01,
  4.008760E+02,  1.405822E+04,  1.224086E+04,  7.693859E-01,
  4.010160E+02,  1.435383E+04,  1.238909E+04,  8.213619E-01,
  4.011560E+02,  1.480873E+04,  1.287885E+04,  9.830419E-01,
  4.012960E+02,  1.447952E+04,  1.275664E+04,  9.481300E-01,
  4.014350E+02,  1.435606E+04,  1.294677E+04,  1.013519E+00,
  4.015750E+02,  1.405356E+04,  1.298476E+04,  1.030060E+00,
  4.017150E+02,  1.364228E+04,  1.288094E+04,  1.001042E+00,
  4.018550E+02,  1.298985E+04,  1.247220E+04,  8.740696E-01,
  4.019950E+02,  1.252761E+04,  1.218679E+04,  7.867081E-01,
  4.021350E+02,  1.248814E+04,  1.226636E+04,  8.165892E-01,
  4.022740E+02,  1.245621E+04,  1.230940E+04,  8.346978E-01,
  4.024140E+02,  1.231768E+04,  1.221676E+04,  8.092481E-01,
  4.025540E+02,  1.196030E+04,  1.188667E+04,  7.075151E-01,
  4.026940E+02,  1.187436E+04,  1.181691E+04,  6.894046E-01,
  4.028340E+02,  1.177671E+04,  1.172891E+04,  6.654328E-01,
  4.029740E+02,  1.183509E+04,  1.179317E+04,  6.903636E-01,
  4.031130E+02,  1.190375E+04,  1.186563E+04,  7.178971E-01,
  4.032530E+02,  1.160688E+04,  1.157152E+04,  6.276973E-01,
  4.033930E+02,  1.163876E+04,  1.160550E+04,  6.428924E-01,
  4.035330E+02,  1.175046E+04,  1.171888E+04,  6.835836E-01,
  4.036730E+02,  1.163028E+04,  1.160010E+04,  6.496946E-01,
  4.038130E+02,  1.182387E+04,  1.179485E+04,  7.165161E-01,
  4.039520E+02,  1.178585E+04,  1.175761E+04,  7.087811E-01,
  4.040920E+02,  1.175126E+04,  1.172350E+04,  7.020770E-01,
  4.042320E+02,  1.171446E+04,  1.168720E+04,  6.946629E-01,
  4.043720E+02,  1.176708E+04,  1.174050E+04,  7.160276E-01,
  4.045120E+02,  1.165894E+04,  1.163312E+04,  6.857731E-01,
  4.046520E+02,  1.179860E+04,  1.177352E+04,  7.351078E-01,
  4.047910E+02,  1.181863E+04,  1.179403E+04,  7.458964E-01,
  4.049310E+02,  1.175490E+04,  1.173026E+04,  7.296373E-01,
  4.050710E+02,  1.179601E+04,  1.177071E+04,  7.468513E-01,
  4.052110E+02,  1.182665E+04,  1.180008E+04,  7.605017E-01,
  4.053510E+02,  1.182051E+04,  1.179194E+04,  7.620971E-01,
  4.054910E+02,  1.177711E+04,  1.174546E+04,  7.513735E-01,
  4.056300E+02,  1.189886E+04,  1.186269E+04,  7.932026E-01,
  4.057700E+02,  1.171232E+04,  1.166984E+04,  7.354501E-01,
  4.059100E+02,  1.155206E+04,  1.150172E+04,  6.856362E-01,
  4.060500E+02,  1.154709E+04,  1.148844E+04,  6.855592E-01,
  4.061900E+02,  1.164836E+04,  1.158278E+04,  7.200473E-01,
  4.063300E+02,  1.158226E+04,  1.151197E+04,  7.014812E-01,
  4.064690E+02,  1.145449E+04,  1.138054E+04,  6.634068E-01,
  4.066090E+02,  1.148986E+04,  1.141078E+04,  6.772889E-01,
  4.067490E+02,  1.149275E+04,  1.140526E+04,  6.796818E-01,
  4.068890E+02,  1.141547E+04,  1.131698E+04,  6.554853E-01,
  4.070290E+02,  1.141865E+04,  1.131020E+04,  6.574639E-01,
