energy	step1_	g1_
525.4163	0.020384788019459664	3.067893473545977e-23
525.6221	0.02076709986731527	1.4663743636172064e-21
525.8163	0.02114122547554609	4.9214430504575255e-20
526.022	0.021552464047743167	1.761683467587237e-18
526.2164	0.02195606171032136	4.523059134704994e-17
526.4221	0.02239987678471777	1.2146964452256758e-15
526.6163	0.022835629640974145	2.369892874506295e-14
526.8221	0.023316261091905398	4.782391748470953e-13
527.0164	0.023788935202703875	7.123637125553064e-12
527.222	0.02431037296299396	1.0755782444999963e-10
527.4163	0.024824550937741264	1.2214456082632316e-09
527.6221	0.02539335989607825	1.3871767414357445e-08
527.8163	0.025954472060360743	1.19953459620909e-07
528.022	0.026576422965256797	1.0209501884799555e-06
528.2164	0.027192153297928807	6.7442825858396856e-06
528.4221	0.02787541989872392	4.306531363595234e-05
528.6163	0.028552655993828276	0.0002164820760575755
528.8221	0.029307077573449324	0.0010379859132860771
529.0164	0.0300567261478791	0.003980871843924236
529.222	0.03089272630837116	0.014301383620321212
529.4163	0.03172649197050451	0.04181578711317511
529.6221	0.032659907065411393	0.1128368683963625
529.8163	0.03359227392822291	0.25140006130518494
530.022	0.03463942281242801	0.5087606523132728
530.2164	0.035690546792538975	0.864712105869927
530.4221	0.036874133855638855	1.3128640470577913
530.5215	0.03747450119690734	1.5235563722333159
530.613	0.03804459228935935	1.6947917433832178
530.7159	0.038706663005233725	1.8448907331310327
530.8187	0.03939135726175611	1.9353359415929787
530.9216	0.04010124985240739	1.956653466637071
531.013	0.0407534623372899	1.915468235970002
531.1158	0.041512661237992826	1.806122516377744
531.2187	0.042301251363308034	1.6411423367665114
531.3216	0.043120147985112475	1.43710702391718
531.413	0.04387436424447791	1.2382571972310057
531.5159	0.04475541671903204	1.0111970344235888
531.6187	0.045671359597646385	0.7960006598608885
531.7216	0.04662617990581406	0.6037283900498764
531.813	0.047508086244026596	0.4578508859197978
531.9158	0.04854032245284234	0.32395764934775306
532.0187	0.04961901618379058	0.22082991119867054
532.1216	0.05074622101601691	0.145067917658151
532.213	0.0517907978278832	0.09683102927490704
532.3159	0.053018873561647056	0.05932122230701401
532.4187	0.05430459745421315	0.035041255592517015
532.5215	0.05565341201240912	0.019949142858132332
532.613	0.05691082564368334	0.011713382600773257
532.7159	0.05839356806434259	0.006215315515351489
532.8187	0.05995290461842675	0.00318037779314745
532.9216	0.06159810758542539	0.0015673385231794222
533.013	0.06313577886230384	0.0008104521924671196
533.1158	0.06495797223290542	0.0003727601461838245
533.2187	0.06688840218836818	0.00016510303503960923
533.3216	0.06893476132961467	7.047327606435173e-05
533.413	0.07085811699729191	3.207375188569443e-05
533.5159	0.07315313474674084	1.2767363776378874e-05
533.6187	0.07559571074807017	4.902399426451568e-06
533.7216	0.07820538944546822	1.812439026314262e-06
533.813	0.08067509625562683	7.260213975952163e-07
533.9158	0.08364049364821466	2.505782779570161e-07
534.0187	0.08682836262435452	8.32606161109281e-08
534.1216	0.09026034700055958	2.6661196804404247e-08
534.213	0.09353603224477085	9.399967831628946e-09
534.3159	0.09750882066900046	2.8070390304140886e-09
534.4187	0.10181455607451141	8.0881247135722e-10
534.5215	0.10649942631215085	2.2460645830388997e-10
534.613	0.11102814492379588	6.961143805152195e-11
534.7159	0.11657710205508928	1.8004787408367304e-11
534.8187	0.12266724455927719	4.494002912751276e-12
534.9216	0.12938902381877862	1.079553044463782e-12
535.013	0.13595912914015584	2.948574703858353e-13
535.1158	0.14412132364913088	6.615215961604507e-14
535.2187	0.15323385064466133	1.4282234235757656e-14
535.3216	0.1634399984495196	2.9716119531969356e-15
535.413	0.17356549251647543	7.143662965558106e-16
535.5159	0.18634576838202863	1.386114048557434e-16
535.6187	0.20080214404767963	2.5961886371782787e-17
535.7216	0.2172300754926963	4.678617039631106e-18
535.813	0.2336994801476502	9.8993588869317e-19
535.9158	0.2546045831914206	1.6665981236388085e-19
536.0187	0.27831895624429626	2.6993153826525353e-20
536.1216	0.3050205770068783	4.21327873365767e-21
536.213	0.33128011112028277	7.846400528552755e-22
536.3159	0.36352832499874355	1.1421393606212399e-22
536.4187	0.3980932824042616	1.605270800069825e-23
536.5215	0.43416306254584525	2.174465522576644e-24
536.613	0.4666452126587865	3.5572236338487504e-25
536.7159	0.5025236058053609	4.4848208803929657e-26
536.8187	0.5366625117395687	5.460347391327929e-27
536.9216	0.5683521803244378	6.393776511169381e-28
537.013	0.5940622392974066	9.224209459664113e-29
537.1158	0.6201144365475006	1.009464073585855e-29
537.2187	0.6432367069191782	1.0623546739938135e-30
537.3216	0.6636210418826438	1.0774373320640845e-31
537.413	0.679659750042318	1.3681207656968521e-32
537.5159	0.6956607461048939	1.293984233108975e-33
537.6187	0.7097479904035459	1.182213961025013e-34
537.7216	0.7222101380052204	1.0384937288078734e-35
537.813	0.7320907762810188	1.1606385861499515e-36
537.9158	0.7420487348510078	9.531267176625766e-38
538.0187	0.7509563493099675	7.52488601852628e-39
538.1216	0.7589490976075952	5.725231192238739e-40
538.213	0.7653812658315862	5.631795369759057e-41
538.3159	0.7719669126867353	3.995968285012648e-42
