*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H5CN
* Name: Benzonitrile
* Edge: C 1s
* Alpha Formula: C7H5N
* Data Source: Hitchcock
* Filename:  bq-0cckk.os
* Ref. Code: H92a
* Write Date: 93/06/10
* Reference: Hitchcock (unpublished)
* Source and Purity: Aldrich (99.9%)
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.55 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bqc.     name2- 0bqc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  2.867186E+02   1.925188E+04   8.707477E-01 
  2.867791E+02   1.842644E+04   8.293636E-01 
  2.868395E+02   1.762143E+04   7.889671E-01 
  2.869000E+02   1.684527E+04   7.499892E-01 
  2.869604E+02   1.544354E+04   6.790690E-01 
  2.870209E+02   1.412490E+04   6.122982E-01 
  2.870813E+02   1.305902E+04   5.583446E-01 
  2.871418E+02   1.177949E+04   4.934104E-01 
  2.872022E+02   1.088999E+04   4.483283E-01 
  2.872627E+02   1.023471E+04   4.151682E-01 
  2.873232E+02   1.064031E+04   4.362556E-01 
  2.873836E+02   1.054845E+04   4.318956E-01 
  2.874441E+02   1.079659E+04   4.449515E-01 
  2.875045E+02   1.112036E+04   4.619014E-01 
  2.875650E+02   1.164821E+04   4.893416E-01 
  2.876254E+02   1.200259E+04   5.079113E-01 
  2.876859E+02   1.192152E+04   5.041358E-01 
  2.877463E+02   1.134933E+04   4.751120E-01 
  2.878068E+02   1.113480E+04   4.644462E-01 
  2.878672E+02   1.097034E+04   4.563441E-01 
  2.879277E+02   1.058794E+04   4.370079E-01 
  2.879882E+02   1.069795E+04   4.430203E-01 
  2.880486E+02   1.106641E+04   4.623671E-01 
  2.881091E+02   1.185275E+04   5.032967E-01 
  2.881695E+02   1.252494E+04   5.383852E-01 
  2.882300E+02   1.409121E+04   6.197042E-01 
  2.882904E+02   1.541580E+04   6.886322E-01 
  2.883509E+02   1.710677E+04   7.765964E-01 
  2.884113E+02   1.841873E+04   8.450550E-01 
  2.884718E+02   1.958118E+04   9.058555E-01 
  2.885323E+02   2.033248E+04   9.454263E-01 
  2.885927E+02   2.094969E+04   9.780927E-01 
  2.886532E+02   2.065751E+04   9.636152E-01 
  2.887136E+02   2.038749E+04   9.502697E-01 
  2.887741E+02   1.960120E+04   9.100857E-01 
  2.888345E+02   1.859117E+04   8.582203E-01 
  2.888950E+02   1.853127E+04   8.557115E-01 
  2.889554E+02   1.752244E+04   8.038084E-01 
  2.890159E+02   1.648456E+04   7.503273E-01 
  2.890764E+02   1.604559E+04   7.279896E-01 
  2.891368E+02   1.624297E+04   7.388076E-01 
  2.891973E+02   1.553991E+04   7.026542E-01 
  2.892577E+02   1.540297E+04   6.960135E-01 
  2.893182E+02   1.517821E+04   6.847751E-01 
  2.893786E+02   1.505539E+04   6.788523E-01 
  2.894391E+02   1.474018E+04   6.628577E-01 
  2.894995E+02   1.453863E+04   6.527913E-01 
  2.895600E+02   1.466048E+04   6.596507E-01 
  2.896205E+02   1.477212E+04   6.659831E-01 
  2.896809E+02   1.458179E+04   6.564869E-01 
  2.897414E+02   1.413219E+04   6.333747E-01 
  2.898018E+02   1.457233E+04   6.569494E-01 
  2.898623E+02   1.498514E+04   6.791174E-01 
  2.899227E+02   1.549545E+04   7.064384E-01 
  2.899832E+02   1.560063E+04   7.124814E-01 
  2.900436E+02   1.661182E+04   7.662218E-01 
  2.901041E+02   1.674031E+04   7.735366E-01 
  2.901646E+02   1.696596E+04   7.859808E-01 
  2.902250E+02   1.740299E+04   8.095871E-01 
  2.902855E+02   1.764159E+04   8.227519E-01 
  2.903459E+02   1.755392E+04   8.187050E-01 
  2.904064E+02   1.828614E+04   8.579708E-01 
  2.904668E+02   1.814630E+04   8.511818E-01 
  2.905273E+02   1.797128E+04   8.425226E-01 
  2.905877E+02   1.798390E+04   8.437849E-01 
  2.906482E+02   1.793985E+04   8.420460E-01 
  2.907086E+02   1.819880E+04   8.563636E-01 
  2.907691E+02   1.809950E+04   8.516999E-01 
  2.908296E+02   1.738395E+04   8.143284E-01 
  2.908900E+02   1.702434E+04   7.958094E-01 
  2.909505E+02   1.690100E+04   7.898207E-01 
