*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H6
* Name: Benzene
* Edge: C 1s
* Alpha Formula: C6H6
* Data Source: Hitchcock
* Filename:  bz-0cckk.os
* Ref. Code: HF&87
* Write Date: 93/06/10
* Reference: J. Phys. Chem. 91 (87) 531.
* Source and Purity: BDH
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bzc     name2- 0bzc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  2.965860E+02,  2.468505E+05,  1.270987E+00,
  2.967460E+02,  2.474938E+05,  1.276063E+00,
  2.969060E+02,  2.487949E+05,  1.285010E+00,
  2.970660E+02,  2.483825E+05,  1.283897E+00,
  2.972250E+02,  2.500382E+05,  1.294937E+00,
  2.973850E+02,  2.513613E+05,  1.304045E+00,
  2.975450E+02,  2.520635E+05,  1.309506E+00,
  2.977050E+02,  2.529008E+05,  1.315771E+00,
  2.978640E+02,  2.557902E+05,  1.334148E+00,
  2.980240E+02,  2.586523E+05,  1.352399E+00,
  2.981840E+02,  2.600735E+05,  1.362160E+00,
  2.983440E+02,  2.609483E+05,  1.368702E+00,
  2.985030E+02,  2.629772E+05,  1.382078E+00,
  2.986630E+02,  2.648766E+05,  1.394715E+00,
  2.988230E+02,  2.659126E+05,  1.402249E+00,
  2.989830E+02,  2.664595E+05,  1.406890E+00,
  2.991420E+02,  2.678577E+05,  1.416585E+00,
  2.993020E+02,  2.690627E+05,  1.425154E+00,
  2.994620E+02,  2.684846E+05,  1.423126E+00,
  2.996220E+02,  2.683724E+05,  1.423867E+00,
  2.997810E+02,  2.677337E+05,  1.421461E+00,
  2.999410E+02,  2.668922E+05,  1.417848E+00,
  3.001010E+02,  2.655016E+05,  1.410950E+00,
  3.002610E+02,  2.644982E+05,  1.406352E+00,
  3.004200E+02,  2.634291E+05,  1.401343E+00,
  3.005800E+02,  2.629213E+05,  1.399691E+00,
  3.007400E+02,  2.617524E+05,  1.394076E+00,
  3.009000E+02,  2.610693E+05,  1.391361E+00,
  3.010600E+02,  2.609131E+05,  1.391800E+00,
  3.012190E+02,  2.604604E+05,  1.390450E+00,
  3.013790E+02,  2.603253E+05,  1.391012E+00,
  3.015390E+02,  2.603480E+05,  1.392522E+00,
  3.016990E+02,  2.596259E+05,  1.389550E+00,
  3.018580E+02,  2.589713E+05,  1.386970E+00,
  3.020180E+02,  2.585794E+05,  1.385976E+00,
  3.021780E+02,  2.576350E+05,  1.381646E+00,
  3.023380E+02,  2.558207E+05,  1.372057E+00,
  3.024970E+02,  2.550427E+05,  1.368702E+00,
  3.026570E+02,  2.538055E+05,  1.362572E+00,
  3.028170E+02,  2.522810E+05,  1.354692E+00,
  3.029770E+02,  2.502615E+05,  1.343801E+00,
  3.031360E+02,  2.491323E+05,  1.338277E+00,
  3.032960E+02,  2.480892E+05,  1.333273E+00,
  3.034560E+02,  2.458575E+05,  1.321045E+00,
