*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: (CH3)2CO
* Name: Acetone
* Edge: O1s
* Alpha Formula: C3H6O
* Data Source:Hitchcock
* Filename:at-1ookk.os
* Ref. Code: HH13
* Write Date: 17 / 06 / 2013
* Reference: Hitchcock (unpublished)
* Source and Purity: Aldrich (solvent grade)
* Acquisition Mode:EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2 files         0ato-2013      0ato-2013.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
 5.5656E+02 6.8590E+04 4.9534E-01
 5.5735E+02 6.7208E+04 4.6398E-01
 5.5815E+02 6.7565E+04 4.8302E-01
 5.5895E+02 6.7081E+04 4.7742E-01
 5.5975E+02 6.6361E+04 4.6465E-01
 5.6055E+02 6.5708E+04 4.5361E-01
 5.6135E+02 6.5576E+04 4.5811E-01
 5.6215E+02 6.5105E+04 4.5226E-01
 5.6295E+02 6.4608E+04 4.4547E-01
 5.6375E+02 6.4458E+04 4.4930E-01
 5.6455E+02 6.4202E+04 4.4979E-01
 5.6534E+02 6.4145E+04 4.5657E-01
 5.6614E+02 6.3564E+04 4.4662E-01
 5.6694E+02 6.2961E+04 4.3575E-01
 5.6774E+02 6.2993E+04 4.4528E-01
 5.6854E+02 6.2957E+04 4.5269E-01
 5.6934E+02 6.2389E+04 4.4256E-01
 5.7014E+02 6.1742E+04 4.2956E-01
 5.7094E+02 6.1183E+04 4.1925E-01
