# XDI/1.0 Athena/0.9.24
# Element.edge:                  L3
# Element.symbol:                Sc
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     399.5223
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              5289.7061253
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -6.740 -1.903
# Athena.pre_edge_line:          36409.214605 - 70.5725 * E
# Athena.normalization_range:    24.560 35.552
# Athena.post_edge_polynomial:   61063.567509 - 119.042 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 36.520
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 3.096
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                1.096 3.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        flat        fbkg        nder        nsec
  399.07300       0.23383638       0.23383638       -1.5588050        1.1982301        5.2210469
  399.18530       0.42110752       0.42110752       -1.5573067        1.8384087        4.8562348
  399.29760       0.64674298       0.64674298       -1.5558085        2.2889404        5.5226265
  399.41000       0.93543243       0.93543243       -1.5543089        3.0793429        5.1902515
  399.52230        1.3386713        1.3386713       -1.5528107        3.4551899       -1.7768280
  399.63460        1.7114681        1.7124971       -1.5502834        2.6802674       -9.5382365
  399.74700        1.9409274        1.9429863       -1.5477539        1.3119482       -11.661231
  399.85930        2.0062629        2.0093508       -1.5452266       0.59988647E-01   -11.553165
  399.97160        1.9544009        1.9585178       -1.5426994       -1.2828927       -11.096974
  400.08400        1.7179969        1.7231437       -1.5401699       -2.4335014       -6.2460092
  400.19630        1.4075931        1.4137690       -1.5376426       -2.6863709       0.20140203
  400.30870        1.1143693        1.1215751       -1.5351131       -2.3882463        2.8420180
  400.42100       0.87095415       0.87918893       -1.5325859       -2.0477695        5.3021649
  400.53330       0.65444029       0.66370407       -1.5300586       -1.1973801        7.3025190
  400.64570       0.60190284       0.61219654       -1.5275291      -0.40689348        4.8427292
  400.75800       0.56301132       0.57433403       -1.5250019      -0.10921884        3.4243102
  400.87030       0.57737229       0.58972400       -1.5224746       0.36220659        3.4936451
  400.98270       0.64439914       0.65778077       -1.5199451       0.67580321       0.83310411
  401.09500       0.72922527       0.74363590       -1.5174179       0.54940508       -2.0953040
  401.20730       0.76779552       0.78323516       -1.5148906       0.20519794       -1.8687576
  401.31970       0.77533325       0.79180280       -1.5123611       0.12949524       0.65763494
  401.43200       0.79689310       0.81439166       -1.5098339       0.35296851        3.2091834
  401.54430       0.85460998       0.87313753       -1.5073066       0.85027783        4.5758975
  401.65670       0.98795053        1.0075080       -1.5047771        1.3811727        3.8296262
  401.76900        1.1649595        1.1855460       -1.5022499        1.7107948        3.2246539
  401.88130        1.3721951        1.3938105       -1.4997226        2.1054299        1.6203600
  401.99370        1.6380496        1.6606950       -1.4971931        2.0748897       -3.2867210
  402.10600        1.8384228        1.8620972       -1.4946659        1.3669037       -6.5853111
  402.21840        1.9451929        1.9698972       -1.4921364       0.59517033       -7.5241701
  402.33070        1.9721576        1.9978909       -1.4896091      -0.32377727       -6.8597831
  402.44300        1.8724725        1.8992348       -1.4870818      -0.94553695       -4.8918030
  402.55540        1.7596954        1.7874877       -1.4845523       -1.4229654       -4.5181386
  402.66770        1.5527322        1.5815534       -1.4820251       -1.9607627       -2.9195133
  402.78000        1.3193081        1.3491584       -1.4794978       -2.0786881       0.19703718
  402.89240        1.0856509        1.1165311       -1.4769683       -1.9164884        1.4986704
  403.00470       0.88867314       0.92058232       -1.4744411       -1.7419368        2.2685891
  403.11700       0.69441193       0.72735012       -1.4719138       -1.4069633        2.5599232
  403.22940       0.57252848       0.60649659       -1.4693843       -1.1667221        2.7677997
  403.34170       0.43224948       0.46724659       -1.4668571      -0.78503874        4.5981614
  403.45400       0.39620878       0.43223489       -1.4643298      -0.13397506        4.0679629
  403.56640       0.40214528       0.43920131       -1.4618003       0.12903251       0.97933463
  403.67870       0.42520238       0.46328742       -1.4592731       0.86081430E-01   0.11121563
  403.79100       0.42147917       0.46059321       -1.4567458       0.15401154       0.54258181
  403.90340       0.45980878       0.49995273       -1.4542163       0.20799956        1.5194827
  404.01570       0.46821667       0.50938963       -1.4516891       0.49543930        1.5434457
  404.12810       0.57113399       0.61333687       -1.4491596       0.55481182       -1.1094405
  404.24040       0.59288289       0.63611477       -1.4466323       0.24614803      -0.44186581
  404.35270       0.62641883       0.67067972       -1.4441051       0.45556876        1.3470118
  404.46510       0.69524919       0.74054000       -1.4415756       0.54882157      -0.15839921
  404.57740       0.74973904       0.79605885       -1.4390483       0.41997646       -1.4043736
  404.68970       0.78957590       0.83692472       -1.4365211       0.23339926      -0.99205235
  404.80210       0.80218385       0.85056259       -1.4339915       0.19706230      -0.43903240
  404.91440       0.83385580       0.88326354       -1.4314643       0.13474868      -0.18014010
  405.02670       0.83244841       0.88288515       -1.4289370       0.15660283        1.4288566
  405.13910       0.86904446       0.92051112       -1.4264075       0.45581275        1.4627563
  405.25140       0.93486953       0.98736519       -1.4238803       0.48528417       -1.2229599
  405.36370       0.97803928        1.0315639       -1.4213530       0.18113596       -1.7907132
  405.47610       0.97557078        1.0301254       -1.4188235       0.82910904E-01   0.68732967
  405.58840       0.99666936        1.0522530       -1.4162963       0.33557893        1.0252141
  405.70070        1.0509418        1.1075544       -1.4137690       0.31317399      -0.20406214
  405.81310        1.0670396        1.1246821       -1.4112395       0.28972617      -0.10334070
  405.92540        1.1160433        1.1747148       -1.4087123       0.28995333      -0.19803223
  406.03780        1.1321921        1.1918935       -1.4061828       0.24522833       0.66138724E-01
  406.15010        1.1711461        1.2318765       -1.4036555       0.30481470      -0.14050853
  406.26240        1.2006535        1.2624129       -1.4011283       0.21367011      -0.36346789
  406.37480        1.2191578        1.2819471       -1.3985988       0.22314347       0.24845013
  406.48710        1.2507938        1.3146122       -1.3960715       0.26949686       0.72198385
  406.59940        1.2796868        1.3445341       -1.3935443       0.38530104       0.87672789
  406.71180        1.3373709        1.4032482       -1.3910148       0.46649761      -0.92828246
  406.82410        1.3845088        1.4514151       -1.3884875       0.17671597       -2.7501614
  406.93640        1.3770613        1.4449966       -1.3859603      -0.15118863       -1.2067513
  407.04880        1.3505367        1.4195019       -1.3834308      -0.94441054E-01   0.53814643
  407.16110        1.3558404        1.4258347       -1.3809035      -0.30267130E-01   0.20924571
  407.27340        1.3437387        1.4147619       -1.3783762      -0.47444468E-01  -0.11298932
  407.38580        1.3451797        1.4172328       -1.3758467      -0.55655830E-01  -0.37294940
  407.49810        1.3312328        1.4043150       -1.3733195      -0.13124620      -0.85222863
  407.61040        1.3157018        1.3898129       -1.3707922      -0.24706638        1.1981024
  407.72280        1.2757170        1.3508581       -1.3682627       0.13796741        1.8715701
  407.83510        1.3467030        1.4228731       -1.3657355       0.17347542       -2.2359249
  407.94740        1.3146796        1.3918787       -1.3632082      -0.36422132       -1.0070652
  408.05980        1.2648625        1.3430915       -1.3606787      -0.52812141E-01    1.7843868
  408.17210        1.3028127        1.3820707       -1.3581515       0.36730406E-01  -0.50809177
  408.28450        1.2731158        1.3534038       -1.3556220      -0.16698036      -0.69107133
  408.39680        1.2652922        1.3466091       -1.3530947      -0.11855332       0.68643531
  408.50910        1.2464888        1.3288347       -1.3505675      -0.12806991E-01    1.2394884
  408.62150        1.2624145        1.3457903       -1.3480380       0.15995973      -0.32751798
  408.73380        1.2824317        1.3668366       -1.3455107      -0.86400280E-01   -2.1617187
  408.84610        1.2430090        1.3284428       -1.3429835      -0.32556229       0.36458584
  408.95850        1.2092779        1.2957416       -1.3404540      -0.44778432E-02    1.4057249
  409.07080        1.2420028        1.3294956       -1.3379267      -0.96959165E-02  -0.55521660
  409.18310        1.2071002        1.2956219       -1.3353995      -0.12917949       0.57100299
  409.29550        1.2129762        1.3025279       -1.3328700       0.11860845       0.64955551
  409.40780        1.2337515        1.3243322       -1.3303427       0.16775632E-01   -1.1875237
  409.52010        1.2167440        1.3083537       -1.3278155      -0.14810937       0.63757405E-01
  409.63250        1.2004713        1.2931109       -1.3252860       0.31101921E-01    1.5417153
  409.74480        1.2237326        1.3174012       -1.3227587       0.19831406       0.39444277E-01
  409.85710        1.2450126        1.3397103       -1.3202314       0.39961106E-01  -0.53826218
  409.96950        1.2327118        1.3284394       -1.3177019       0.77366552E-01   0.45432465
  410.08180        1.2623969        1.3591535       -1.3151747       0.14204785       0.50696850E-01
  410.19420        1.2646300        1.3624165       -1.3126452       0.88758134E-01   0.63866796
  410.30650        1.2823409        1.3811563       -1.3101179       0.28555654       0.50483431
  410.41880        1.3287660        1.4286105       -1.3075907       0.20214392      -0.81112711
  410.53120        1.3277626        1.4286370       -1.3050612       0.10329628      -0.24685498
  410.64350        1.3519767        1.4538801       -1.3025339       0.14667560      -0.15777711
  410.75580        1.3607059        1.4636383       -1.3000067       0.67859545E-01  -0.14381779
  410.86820        1.3672247        1.4711870       -1.2974772       0.11435975       0.25831259
  410.98050        1.3864026        1.4913939       -1.2949499       0.12590238      -0.48258369
  411.09280        1.3955024        1.5015227       -1.2924227       0.59714516E-02   -1.1553173
  411.20520        1.3877444        1.4947946       -1.2898932      -0.13369742       0.47395352
  411.31750        1.3654606        1.4735398       -1.2873659       0.11246881       0.45632496
  411.42980        1.4130049        1.5221131       -1.2848387      -0.31206836E-01   -1.7553033
  411.54220        1.3584484        1.4685866       -1.2823092      -0.28194784        1.1087342
  411.65450        1.3496512        1.4608184       -1.2797819       0.21792574       0.98899127
  411.76680        1.4073945        1.5195907       -1.2772547      -0.59820404E-01   -1.8970440
  411.87920        1.3362095        1.4494356       -1.2747252      -0.20834005        1.2405751
  411.99150        1.3605805        1.4748356       -1.2721979       0.21893683       0.82170832
  412.10390        1.3854046        1.5006897       -1.2696684      -0.23702190E-01   -1.9806093
  412.21620        1.3552546        1.4715687       -1.2671411      -0.22610609       0.95554042
  412.32850        1.3346212        1.4519642       -1.2646139       0.19091219        1.1602115
  412.44090        1.3981526        1.5165255       -1.2620844       0.34593433E-01   -2.7721351
  412.55320        1.3423944        1.4617963       -1.2595571      -0.43198656      -0.13788640
  412.66550        1.3011284        1.4215594       -1.2570299       0.36241462E-02    2.2465578
  412.77790        1.3432087        1.4646696       -1.2545004       0.72814967E-01  -0.23305140
  412.89020        1.3174899        1.4399798       -1.2519731      -0.48742503E-01   -1.0025889
  413.00250        1.3322611        1.4557800       -1.2494459      -0.15236649      -0.78534123
  413.11490        1.2832532        1.4078020       -1.2469164      -0.22520868       0.85587094
  413.22720        1.2816567        1.4072345       -1.2443891       0.39947707E-01    1.4881318
  413.33950        1.2922254        1.4188322       -1.2418619       0.10902573      -0.58684814
  413.45190        1.3061548        1.4337916       -1.2393324      -0.91917070E-01   -1.5760457
  413.56420        1.2715717        1.4002374       -1.2368051      -0.24511174       0.52030485E-01
  413.67650        1.2511027        1.3807975       -1.2342779      -0.80231023E-01    1.5636523
  413.78890        1.2535438        1.3842684       -1.2317484       0.10624093       0.93224284
  413.90120        1.2749751        1.4067287       -1.2292211       0.12924394      -0.37998362
  414.01350        1.2825720        1.4153546       -1.2266939       0.20896612E-01   -1.3497617
  414.12590        1.2796705        1.4134831       -1.2241644      -0.17404752      -0.64022558
  414.23820        1.2434635        1.3783051       -1.2216371      -0.12296208        1.4405169
  414.35060        1.2520410        1.3879125       -1.2191076       0.14963663       0.68594047
  414.46290        1.2770868        1.4139873       -1.2165804       0.31168748E-01   -1.0428572
  414.57520        1.2590415        1.3969710       -1.2140531      -0.84589103E-01  -0.75146447
  414.68760        1.2580797        1.3970391       -1.2115236      -0.13768532      -0.94838666E-02
  414.79990        1.2281036        1.3680920       -1.2089963      -0.86720127E-01   0.31098423
  414.91220        1.2386023        1.3796198       -1.2064691      -0.67838261E-01  -0.60383432E-01
  415.02460        1.2128603        1.3549077       -1.2039396      -0.10028828        1.2645283
  415.13690        1.2160675        1.3591439       -1.2014123       0.21630125       0.59080260
  415.24920        1.2614416        1.4055469       -1.1988851       0.32405980E-01   -2.4642539
  415.36160        1.2233492        1.3684844       -1.1963556      -0.33741660      -0.73056164
  415.47390        1.1856241        1.3317883       -1.1938283      -0.13175122        1.4826628
  415.58620        1.1937578        1.3409511       -1.1913011      -0.44105369E-02   0.50572073
  415.69860        1.1846330        1.3328562       -1.1887716      -0.18115771E-01  -0.86297707
  415.81090        1.1896872        1.3389394       -1.1862443      -0.19832148      -0.55682733
  415.92320        1.1400900        1.2903712       -1.1837171      -0.14317919        1.6127213
  416.03560        1.1575149        1.3088260       -1.1811876       0.16405700       0.88558485
  416.14790        1.1769536        1.3292937       -1.1786603       0.55811727E-01   -1.2849817
  416.26030        1.1700558        1.3234258       -1.1761308      -0.12467839      -0.73781976
  416.37260        1.1489384        1.3033374       -1.1736036      -0.10997637      -0.55266939
  416.48490        1.1453551        1.3007831       -1.1710763      -0.24880793      -0.11063327E-01
  416.59730        1.0930312        1.2494892       -1.1685468      -0.11246230        1.2676159
  416.70960        1.1200848        1.2775718       -1.1660196       0.36025372E-01  -0.22396708
  416.82190        1.1011225        1.2596385       -1.1634923      -0.16276531       0.40804602E-01
  416.93430        1.0835114        1.2430573       -1.1609628       0.45194167E-01  -0.15127107
  417.04660        1.1112777        1.2718526       -1.1584356      -0.19675592       -1.9948765
  417.15890        1.0393200        1.2009240       -1.1559083      -0.40285510       0.50349062
  417.27130        1.0207561        1.1833900       -1.1533788      -0.83621575E-01    2.2018741
  417.38360        1.0205303        1.1841931       -1.1508515       0.91906012E-01   0.71984869
  417.49590        1.0413982        1.2060901       -1.1483243       0.78056441E-01  -0.63682417
  417.60830        1.0380696        1.2037913       -1.1457948      -0.51188378E-01   -1.2733263
  417.72060        1.0298962        1.1966470       -1.1432675      -0.20805998       0.18444788
  417.83290       0.99133928        1.1591190       -1.1407403      -0.97613835E-02    1.5969400
  417.94530        1.0277028        1.1965125       -1.1382108       0.15077243       -1.3452263
  418.05760        1.0252178        1.1950565       -1.1356835      -0.31203373       -1.3299124
  418.17000       0.95758883        1.1284574       -1.1331540      -0.14805889        2.4084529
  418.28230       0.99194901        1.1638466       -1.1306268       0.22914563        1.0367514
  418.39460        1.0090549        1.1819815       -1.1280995       0.84795479E-01   -1.2199974
  418.50700        1.0110026        1.1849591       -1.1255700      -0.44987790E-01   -1.4625181
  418.61930       0.99894618        1.1739317       -1.1230428      -0.24383235      -0.89968913
  418.73160       0.95623781        1.1322524       -1.1205155      -0.24705797       0.39114468
  418.84400       0.94343225        1.1204767       -1.1179860      -0.15594214        1.1315310
  418.95630       0.92119761        1.0992711       -1.1154588       0.71970561E-02   0.58600786
  419.06860       0.94504871        1.1241512       -1.1129315      -0.24324772E-01  -0.64313671E-01
  419.18100       0.91573184        1.0958642       -1.1104020      -0.72542258E-02   0.85481613E-01
  419.29330       0.94341869        1.1245801       -1.1078748      -0.51170540E-02  -0.82829236
  419.40560       0.91458255        1.0967729       -1.1053475      -0.19328869       0.56511548
  419.51800       0.89998672        1.0832070       -1.1028180       0.12186439        1.2288436
  419.63030       0.94196548        1.1262148       -1.1002907       0.82832458E-01   -1.0307580
  419.74260       0.91859089        1.1038692       -1.0977635      -0.10964385      -0.91496801E-01
  419.85500       0.91732850        1.1036367       -1.0952340       0.62273126E-01   0.54014236
  419.96730       0.93258366        1.1199209       -1.0927067       0.11726136E-01  -0.88161597
  420.07970       0.91996337        1.1083305       -1.0901772      -0.13582598      -0.30315850
  420.19200       0.90206356        1.0914597       -1.0876500      -0.56393580E-01   0.38931090
  420.30430       0.90729737        1.0977225       -1.0851227      -0.48386755E-01   0.14092110
  420.41670       0.89119106        1.0826461       -1.0825932      -0.24728610E-01   0.36446567
  420.52900       0.90174085        1.0942249       -1.0800660       0.33508681E-01   -1.0142386
  420.64130       0.89871711        1.0922302       -1.0775387      -0.25252660      -0.57365570
  420.75370       0.84499812        1.0395411       -1.0750092      -0.95391755E-01    1.6215582
  420.86600       0.87728258        1.0728546       -1.0724820       0.11183753       0.58173753
  420.97830       0.87011683        1.0667179       -1.0699547       0.35266495E-01  -0.81145294E-01
  421.09070       0.88520696        1.0828379       -1.0674252       0.93604184E-01  -0.73063089
  421.20300       0.89114969        1.0898096       -1.0648980      -0.12890627      -0.96715270
  421.31530       0.85625461        1.0559436       -1.0623707      -0.12361831       0.11159764
  421.42770       0.86337266        1.0640915       -1.0598412      -0.10383028      -0.70806589E-01
  421.54000       0.83292395        1.0346718       -1.0573140      -0.13952855       0.90437149
  421.65230       0.83203454        1.0348114       -1.0547867       0.99291562E-01   0.74124809
  421.76470       0.85523476        1.0590416       -1.0522572       0.27029893E-01   -1.2781539
  421.87700       0.83810816        1.0429440       -1.0497300      -0.18790962      -0.54469063
  421.98930       0.81303026        1.0188951       -1.0472027      -0.95307622E-01   0.58105350
  422.10170       0.81669254        1.0235873       -1.0446732      -0.57346900E-01   0.79999180
  422.21400       0.80014442        1.0080681       -1.0421459       0.84450535E-01    1.2337606
  422.32640       0.83566857        1.0446222       -1.0396164       0.21987912       -1.0451137
