# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                C
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     285.910
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              12141.2629102
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -8.364 -1.857
# Athena.pre_edge_line:          7714.253195 - 19.6686 * E
# Athena.normalization_range:    18.789 37.283
# Athena.post_edge_polynomial:   71811.074595 - 201.389 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 38.795
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 3.191
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                1.191 3.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        flat        fbkg        nder        nsec
  284.70960       0.22867114E-01   0.22867114E-01  -0.17415078      -0.37231950E-01  -0.11634444
  284.77650       0.84200855E-02   0.84200855E-02  -0.17404240      -0.48887222E-01   0.92871248
  284.84340       0.16326004E-01   0.16326004E-01  -0.17393402       0.87029780E-01    1.3774892
  284.91040       0.20073373E-01   0.20073373E-01  -0.17382548       0.13555858      -0.11558120
  284.97730       0.34477297E-01   0.34477297E-01  -0.17371711       0.71553457E-01   -1.4220781
  285.04420       0.29647226E-01   0.29647226E-01  -0.17360873      -0.54715473E-01  -0.17448873
  285.11110       0.27156367E-01   0.27156367E-01  -0.17350035       0.48206864E-01    1.0295987
  285.17810       0.36102125E-01   0.36102125E-01  -0.17339182       0.83147796E-01   0.40648348
  285.24500       0.38289857E-01   0.38289857E-01  -0.17328344       0.10263500       0.31986359
  285.31190       0.49834688E-01   0.49834688E-01  -0.17317506       0.12594554      -0.81300152
  285.37880       0.55141371E-01   0.55141371E-01  -0.17306668      -0.61446023E-02  -0.17465260
  285.44580       0.49011926E-01   0.49011926E-01  -0.17295815       0.10255956        3.2932113
  285.51270       0.68874096E-01   0.68874096E-01  -0.17284977       0.43481640        3.8770170
  285.57960       0.10719036       0.10719036      -0.17274139       0.62130443        1.7965466
  285.64650       0.15200463       0.15200463      -0.17263302       0.67519433        3.3453360
  285.71350       0.19759888       0.19759888      -0.17252448        1.0692449        7.3446709
  285.78040       0.29517652       0.29517652      -0.17241610        1.6586458        5.4649517
  285.84730       0.41952568       0.41952568      -0.17230772        1.8004555        3.9803717
  285.91420       0.53607747       0.53614033      -0.17213649        2.1912195        10.848152
  285.98120       0.71292997       0.71399563      -0.17102515        3.2530230        10.907576
  286.04810       0.97165725       0.97372421      -0.16991547        3.6517440        3.8075053
  286.11500        1.2015333        1.2046016      -0.16880579        3.7624672        2.7505812
  286.18190        1.4750754        1.4791449      -0.16769611        4.0197717       -2.6014227
  286.24890        1.7397808        1.7448531      -0.16658478        3.4141367       -9.0594211
  286.31580        1.9322283        1.9383019      -0.16547510        2.8067152       -11.915200
  286.38270        2.1153193        2.1223942      -0.16436542        1.8198830       -10.533783
  286.44960        2.1757286        2.1838049      -0.16325574        1.3972950       -7.9979860
  286.51660        2.3024171        2.3114961      -0.16214440       0.74895265       -6.5206925
  286.58350        2.2760134        2.2860937      -0.16103473       0.52417430       -1.2443635
  286.65040        2.3725516        2.3836332      -0.15992505       0.58245681       -4.8049429
  286.71730        2.3539461        2.3660291      -0.15881537      -0.11872706       -6.1064652
  286.78430        2.3566540        2.3697398      -0.15770403      -0.23519888       -2.6556377
  286.85120        2.3224530        2.3365400      -0.15659435      -0.47431694       -4.3423593
  286.91810        2.2931904        2.3082788      -0.15548468      -0.81620655       -9.1952275
  286.98500        2.2132445        2.2293342      -0.15437500       -1.7046384       -5.8377346
  287.05200        2.0649393        2.0820318      -0.15326366       -1.5978792      -0.12560467
  287.11890        1.9992885        2.0173823      -0.15215398       -1.7214569       -5.0178086
  287.18580        1.8346084        1.8537035      -0.15104430       -2.2692620       -4.1250697
  287.25270        1.6956612        1.7157576      -0.14993462       -2.2733912      -0.19028962
  287.31970        1.5302013        1.5513005      -0.14882329       -2.2947418        1.9894101
  287.38660        1.3883953        1.4104958      -0.14771361       -2.0070092        4.4588692
  287.45350        1.2616635        1.2847653      -0.14660393       -1.6981451        2.0422368
  287.52040        1.1611835        1.1852866      -0.14549425       -1.7337579      -0.67187654
  287.58740        1.0295133        1.0546192      -0.14438292       -1.7881093        3.1675288
  287.65430       0.92175566       0.94786284      -0.14327324       -1.3096258        5.3038113
  287.72120       0.85428540       0.88139388      -0.14216356       -1.0784594        4.6643014
  287.78810       0.77745779       0.80556758      -0.14105388      -0.68554224        4.2391472
  287.85510       0.76249129       0.79160388      -0.13994254      -0.51083758       0.14125415
  287.92200       0.70905664       0.73917053      -0.13883286      -0.66662831      -0.46440331E-01
  287.98890       0.67329643       0.70441161      -0.13772319      -0.51705130        1.9767607
  288.05580       0.63987518       0.67199167      -0.13661351      -0.40213772        2.5108672
  288.12280       0.61945018       0.65256947      -0.13550217      -0.18084618        3.0733987
  288.18970       0.61565987       0.64978046      -0.13439249       0.93903670E-02   0.43452904
  288.25660       0.62070662       0.65582851      -0.13328281      -0.12270620       -3.0611776
  288.32350       0.59924178       0.63536497      -0.13217314      -0.40019519      -0.10078429
  288.39050       0.56712048       0.60424647      -0.13106180      -0.13620122        2.7397218
  288.45740       0.58100444       0.61913173      -0.12995212      -0.33346449E-01   -1.9752890
  288.52430       0.56265872       0.60178732      -0.12884244      -0.40049489       -1.7987648
  288.59120       0.52741822       0.56754812      -0.12773276      -0.27402118        1.6548826
  288.65820       0.52596729       0.56709998      -0.12662143      -0.17890611        1.4057116
  288.72510       0.50346270       0.54559669      -0.12551175      -0.85796402E-01  -0.16070328
