% Z refers to proton number
Element	Z	Edge	FWHM,eV	Energy,eV
Ir	77	K	46.8	76111.0
Pt	78	K	49.3	78395.0
Au	79	K	52	80725.0
Hg	80	K	54.6	83102.0
Tl	81	K	57.4	85530.0
Pb	82	K	60.4	88005.0
Bi	83	K	63.4	90526.0
Po	84	K	66.6	93105.0
At	85	K	69.8	95730.0
Rn	86	K	73.3	98404.0
Fr	87	K	76.8	101137.0
Ra	88	K	80.4	103922.0
Ac	89	K	84.1	106755.0
Th	90	K	88	109651.0
Pa	91	K	91.9	112601.0
U	92	K	96.1	115606.0
Np	93	K	100	118669.0
Pu	94	K	105	121791.0
Am	95	K	109	124982.0
Cm	96	K	114	128241.0
Bk	97	K	119	131556.0
Cf	98	K	124	134939.0
