*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: (C2H5)2O
* Name: Diethylether
* Edge: C 1s
* Alpha Formula: C4H10O
* Data Source: Hitchcock
* Filename:  de-0cckk.os
* Ref. Code: UH&95b
* Write Date: 98/08/07
* Reference: J. Pol. Sci. B. Pol. Phys. 33 (1995) 1603.
* Source and Purity: Aldrich
* Acquisition Mode: EELS, 2 deg, 2500eV CRE mode, 0.7eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2	name1- 0decs2	name2- 0dec.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  2.925417E+02,  2.218517E+04,  1.959810E+00,
  2.926863E+02,  2.209705E+04,  1.951730E+00,
  2.928310E+02,  2.212093E+04,  1.956363E+00,
  2.929756E+02,  2.213102E+04,  1.959435E+00,
  2.931202E+02,  2.173647E+04,  1.916462E+00,
  2.932648E+02,  2.171772E+04,  1.916221E+00,
  2.934095E+02,  2.190536E+04,  1.939500E+00,
  2.935541E+02,  2.174061E+04,  1.922622E+00,
  2.936987E+02,  2.125148E+04,  1.868695E+00,
  2.938433E+02,  2.132317E+04,  1.878742E+00,
  2.939879E+02,  2.114682E+04,  1.860453E+00,
  2.941326E+02,  2.075254E+04,  1.817205E+00,
  2.942772E+02,  2.082650E+04,  1.827494E+00,
  2.944218E+02,  2.049551E+04,  1.791406E+00,
  2.945664E+02,  2.011238E+04,  1.749287E+00,
  2.947111E+02,  2.016952E+04,  1.757615E+00,
  2.948557E+02,  1.969498E+04,  1.704913E+00,
  2.950003E+02,  1.965492E+04,  1.702050E+00,
  2.951449E+02,  1.945604E+04,  1.680921E+00,
  2.952896E+02,  1.896943E+04,  1.626653E+00,
  2.954342E+02,  1.901754E+04,  1.633876E+00,
  2.955788E+02,  1.894869E+04,  1.627631E+00,
  2.957234E+02,  1.875435E+04,  1.606903E+00,
  2.958680E+02,  1.874783E+04,  1.607821E+00,
  2.960127E+02,  1.836999E+04,  1.565854E+00,
  2.961573E+02,  1.842814E+04,  1.574214E+00,
  2.963019E+02,  1.819829E+04,  1.549276E+00,
  2.964465E+02,  1.808465E+04,  1.537750E+00,
  2.965912E+02,  1.775951E+04,  1.501711E+00,
  2.967358E+02,  1.761443E+04,  1.486487E+00,
  2.968804E+02,  1.749345E+04,  1.474036E+00,
  2.970250E+02,  1.758463E+04,  1.486193E+00,
  2.971696E+02,  1.747348E+04,  1.474864E+00,
  2.973143E+02,  1.720869E+04,  1.445655E+00,
  2.974589E+02,  1.690487E+04,  1.411863E+00,
  2.976035E+02,  1.674214E+04,  1.394446E+00,
  2.977481E+02,  1.695942E+04,  1.421276E+00,
  2.978928E+02,  1.669523E+04,  1.392010E+00,
  2.980374E+02,  1.663831E+04,  1.386882E+00,
  2.981820E+02,  1.656916E+04,  1.380318E+00,
  2.983266E+02,  1.602120E+04,  1.317798E+00,
  2.984713E+02,  1.617709E+04,  1.337486E+00,
  2.986159E+02,  1.601574E+04,  1.320081E+00,
  2.987605E+02,  1.623601E+04,  1.347338E+00,
  2.989051E+02,  1.615553E+04,  1.339389E+00,
  2.990497E+02,  1.606969E+04,  1.330799E+00,
  2.991944E+02,  1.612480E+04,  1.338737E+00,
  2.993390E+02,  1.597307E+04,  1.322394E+00,
  2.994836E+02,  1.564660E+04,  1.285489E+00,
  2.996282E+02,  1.554914E+04,  1.275466E+00,
  2.997729E+02,  1.525505E+04,  1.242282E+00,
  2.999175E+02,  1.533300E+04,  1.252872E+00,
  3.000621E+02,  1.527020E+04,  1.246884E+00,
  3.002067E+02,  1.534317E+04,  1.256902E+00,
  3.003513E+02,  1.539776E+04,  1.264764E+00,
  3.004960E+02,  1.529129E+04,  1.253611E+00,
  3.006406E+02,  1.515342E+04,  1.238729E+00,
  3.007852E+02,  1.495773E+04,  1.216986E+00,
  3.009298E+02,  1.480065E+04,  1.199779E+00,
  3.010745E+02,  1.470789E+04,  1.190168E+00,
  3.012191E+02,  1.483746E+04,  1.206900E+00,
  3.013637E+02,  1.477150E+04,  1.200458E+00,
  3.015083E+02,  1.490749E+04,  1.217981E+00,
  3.016530E+02,  1.468587E+04,  1.193041E+00,
  3.017976E+02,  1.462212E+04,  1.186835E+00,
  3.019422E+02,  1.451309E+04,  1.175231E+00,
  3.020868E+02,  1.452297E+04,  1.177768E+00,
  3.022314E+02,  1.465844E+04,  1.195273E+00,
  3.023761E+02,  1.458589E+04,  1.187997E+00,
  3.025207E+02,  1.416700E+04,  1.139383E+00,
  3.026653E+02,  1.427494E+04,  1.153607E+00,
  3.028099E+02,  1.402121E+04,  1.124634E+00,
  3.029546E+02,  1.400329E+04,  1.123814E+00,
  3.030992E+02,  1.411121E+04,  1.138054E+00,
  3.032438E+02,  1.413876E+04,  1.142688E+00,
  3.033884E+02,  1.402804E+04,  1.130758E+00,
  3.035331E+02,  1.390988E+04,  1.117916E+00,
  3.036777E+02,  1.370061E+04,  1.094121E+00,
  3.038223E+02,  1.381989E+04,  1.109751E+00,
  3.039669E+02,  1.373191E+04,  1.100491E+00,
  3.041115E+02,  1.371784E+04,  1.100107E+00,
  3.042562E+02,  1.355341E+04,  1.081625E+00,
  3.044008E+02,  1.364718E+04,  1.094214E+00,
  3.045454E+02,  1.349123E+04,  1.076721E+00,
  3.046900E+02,  1.353686E+04,  1.083516E+00,
  3.048347E+02,  1.348127E+04,  1.078103E+00,
  3.049793E+02,  1.331099E+04,  1.058827E+00,
  3.051239E+02,  1.317179E+04,  1.043280E+00,
  3.052685E+02,  1.319794E+04,  1.047712E+00,
  3.054131E+02,  1.315439E+04,  1.043711E+00,
  3.055578E+02,  1.314243E+04,  1.043531E+00,
  3.057024E+02,  1.300666E+04,  1.028341E+00,
  3.058470E+02,  1.298978E+04,  1.027551E+00,
  3.059916E+02,  1.300759E+04,  1.030971E+00,
  3.061363E+02,  1.307391E+04,  1.040286E+00,
  3.062809E+02,  1.288365E+04,  1.018424E+00,
  3.064255E+02,  1.290002E+04,  1.021666E+00,
  3.065701E+02,  1.305001E+04,  1.041179E+00,
  3.067148E+02,  1.279826E+04,  1.011776E+00,
  3.068594E+02,  1.285788E+04,  1.020291E+00,
  3.070040E+02,  1.263685E+04,  9.945767E-01,
  3.071486E+02,  1.272589E+04,  1.006681E+00,
  3.072932E+02,  1.256554E+04,  9.883336E-01,
  3.074379E+02,  1.279628E+04,  1.017774E+00,
  3.075825E+02,  1.264939E+04,  1.001053E+00,
  3.077271E+02,  1.236213E+04,  9.671217E-01,
  3.078717E+02,  1.239514E+04,  9.723811E-01,
  3.080164E+02,  1.238488E+04,  9.723412E-01,
  3.081610E+02,  1.224413E+04,  9.562908E-01,
  3.083056E+02,  1.223373E+04,  9.562206E-01,
  3.084502E+02,  1.216459E+04,  9.489335E-01,
  3.085948E+02,  1.223916E+04,  9.593036E-01,
  3.087395E+02,  1.212209E+04,  9.461085E-01,
  3.088841E+02,  1.223941E+04,  9.617554E-01,
  3.090287E+02,  1.214146E+04,  9.508975E-01,
  3.091733E+02,  1.214892E+04,  9.530210E-01,
  3.093180E+02,  1.195422E+04,  9.302016E-01,
  3.094626E+02,  1.202669E+04,  9.403394E-01,
  3.096072E+02,  1.187435E+04,  9.227114E-01,
  3.097518E+02,  1.177387E+04,  9.114709E-01,
  3.098965E+02,  1.187510E+04,  9.251733E-01,
  3.100411E+02,  1.186977E+04,  9.256981E-01,
  3.101857E+02,  1.185865E+04,  9.255065E-01,
  3.103303E+02,  1.170900E+04,  9.081355E-01,
  3.104749E+02,  1.170824E+04,  9.092152E-01,
  3.106196E+02,  1.191191E+04,  9.356810E-01,
  3.107642E+02,  1.181199E+04,  9.244571E-01,
