energy	step1_	g1_	g2_	g3_	g4_
393.046	0.0066432697655133075	2.766697570236603e-38	1.1657320437588967e-31	7.687476433227721e-107	5.4812081132489565e-65
393.185	0.006737880378144897	2.027357221576346e-36	1.2218189377139973e-30	8.643159384588513e-104	1.5955956367209716e-63
393.325	0.006835934345702057	1.3728129793396019e-34	1.2515443389616676e-29	9.211471466212582e-101	4.572906902955931e-62
393.465	0.006936883379609961	8.325627174629034e-33	1.2317250967540032e-28	8.843872782149017e-98	1.2591866208516017e-60
393.605	0.007040857572497378	4.522171471437161e-31	1.16468773748347e-27	7.64914596268293e-95	3.3313177735997783e-59
393.745	0.007147994927160035	2.1998930970508285e-29	1.0581162349627051e-26	5.959919530068056e-92	8.467793216168663e-58
393.885	0.0072584419668303216	9.584746087795502e-28	9.236031708407609e-26	4.183356053366505e-89	2.068010058580189e-56
394.024	0.007371528070555171	3.644915302430689e-26	7.630099696435902e-25	2.527087664576085e-86	4.745000056268224e-55
394.164	0.007489044985622149	1.2748450820811916e-24	6.1498236051442e-24	1.4405972866565057e-83	1.0700378751934786e-53
394.304	0.007610367980594531	3.993483268272619e-23	4.7623714722587186e-23	7.398128376195341e-81	2.3184103098046628e-52
394.444	0.007735684925085485	1.1203940911383356e-21	3.543333573782044e-22	3.4226155561163075e-78	4.826248384295673e-51
394.584	0.007865196254565027	2.815232286507585e-20	2.5329637404201034e-21	1.426432951593272e-75	9.652887835240191e-50
394.724	0.007999116038351694	6.335518212401259e-19	1.7396988197142835e-20	5.355519336832653e-73	1.854953687469954e-48
394.863	0.008136666453989291	1.2503373692547577e-17	1.1328060135558197e-19	1.738216321550877e-70	3.3546998803356963e-47
395.003	0.008280070124855708	2.258843054479858e-16	7.184243620906498e-19	5.300195674478402e-68	5.9526453688606796e-46
395.143	0.008428616744720755	3.654848563835822e-15	4.377586320503881e-18	1.4559181803385332e-65	1.0148329687568683e-44
395.283	0.008582587886858376	5.296356393912018e-14	2.5628108176471684e-17	3.602790601410008e-63	1.6622921193476974e-43
395.423	0.008742286050116352	6.873999557589886e-13	1.4415394788664724e-16	8.03152580651029e-61	2.6160638827797358e-42
395.563	0.008908036638518092	7.990358825262102e-12	7.790488581092061e-16	1.612924665069926e-58	3.955647330974781e-41
395.702	0.009078936924087462	8.183697903138754e-11	3.998368819194863e-15	2.812697769927048e-56	5.6386507244742725e-40
395.842	0.009257821652148876	7.636551917858868e-10	1.9952688197975794e-14	4.5875091532378506e-54	7.872722421077881e-39
395.982	0.009443892840145681	6.3821868154087515e-09	9.566391320896493e-14	6.740433134227017e-52	1.0560948025390025e-37
396.122	0.009637592139889996	4.777120546676022e-08	4.406796852976137e-13	8.92186509086329e-50	1.3611597303256047e-36
396.262	0.009839398124753108	3.202486980468214e-07	1.9504107480149168e-12	1.0638502135466311e-47	1.68555721768473e-35
396.401	0.010048295251864821	1.899076527751891e-06	8.209726154644721e-12	1.1056441176904493e-45	1.9705427033786405e-34
396.541	0.010267850450082116	1.022008657868253e-05	3.355151467766016e-11	1.0707252483463867e-43	2.2532054029021473e-33
396.681	0.01049720702898357	4.925963257140356e-05	1.3174184873530702e-10	9.341093384587153e-42	2.475391741947332e-32
396.821	0.010737035764717445	0.00021264356545466602	4.970081821137452e-10	7.3413236361282785e-40	2.61285501828981e-31
396.961	0.010988070017424878	0.0008221249101215912	1.8014884650452342e-09	5.197661736975332e-38	2.649811054803825e-30
397.101	0.011251113197869452	0.002846740326013564	6.273755583909908e-09	3.3151153214370645e-36	2.581919654865978e-29
397.24	0.011525028430150549	0.008760747947973256	2.081454224609803e-08	1.851144278213136e-34	2.379151521038455e-28
397.38	0.01181472131077835	0.024352422407056852	6.693347656781452e-08	9.588899087168171e-33	2.1405749727400338e-27
397.52	0.012119337892356145	0.06062721729718826	2.0679882378654396e-07	4.4745999498593e-31	1.8504059051956904e-26
397.66	0.012440060595393914	0.1351816012517218	6.138763578862742e-07	1.8810340832037464e-29	1.5368510874734705e-25
397.8	0.012778199995324606	0.2699554017154216	1.7508216715993063e-06	7.123543853165617e-28	1.2263792464770976e-24
397.94	0.013135212646843544	0.48282632592500024	4.797677837329161e-06	2.4302588073689954e-26	9.402557911995477e-24
398.079	0.01350994863809055	0.7711209687730416	1.2546050479568521e-05	7.291231841620765e-25	6.829083488986181e-23
398.219	0.013909603157135153	1.1071650534851898	3.174509331829947e-05	2.0202037931005597e-23	4.834640349229734e-22
398.359	0.014333589077544649	1.4237269631526572	7.717459301523409e-05	5.04250622031016e-22	3.288471959908411e-21
398.499	0.014784194658826365	1.639704297697189	0.00018026036663238625	1.133847610425031e-20	2.1490787732071995e-20
398.639	0.015264003898406176	1.691331916098655	0.0004045333347283202	2.2967827710673245e-19	1.3493939132136504e-19
398.779	0.015775945817468683	1.5624878101032795	0.0008722410892404261	4.191236237582154e-18	8.140543095897241e-19
398.918	0.01631930944266149	1.2950497364441569	0.001797832263127755	6.756118779312412e-17	4.660224213065222e-18
399.058	0.016905698576822916	0.9604288074928835	0.003579412957734407	1.0012841599593893e-15	2.5959837556911534e-17
399.198	0.01753570556464647	0.6379231934872079	0.0068470358915199	1.3368245157194028e-14	1.389393778447854e-16
399.338	0.018214373409367945	0.37948629066218675	0.012584082743470528	1.6078607848580041e-13	7.144584051802672e-16
399.478	0.018947551656520532	0.20218469359729088	0.02222126038458134	1.7421256328083074e-12	3.529854226264717e-15
399.618	0.019742063887168062	0.09647725572307891	0.03770022775659699	1.7004641667293247e-11	1.675578626750146e-14
399.757	0.020599481039879863	0.041498556514942116	0.06124819323840639	1.472751162846341e-10	7.560582751802029e-14
399.897	0.021541539329103826	0.015896466325202432	0.0959508832193499	1.1674955636759377e-09	3.313933873389726e-13
400.037	0.02257357215357976	0.005453718060556576	0.14442182671345588	8.337543057025219e-09	1.3955989240744554e-12
400.177	0.02370906280334599	0.0016757501041931655	0.208854988726029	5.363866083737246e-08	5.64684197651348e-12
400.317	0.0249643178396095	0.0004611585997756238	0.2901917323733482	3.108670911851322e-07	2.195224108764487e-11
400.457	0.026359242992074552	0.00011366214638024217	0.38739443642617094	1.6230375157767625e-06	8.199366771270816e-11
400.596	0.027906601304304574	2.5372434545713496e-05	0.49606589171307436	7.552612480561517e-06	2.9161361706946327e-10
400.736	0.029659072371142237	5.020172246942307e-06	0.6114882558342938	3.2024979597796784e-05	1.0057493840401392e-09
400.876	0.03164476073684316	8.896098449140544e-07	0.7242108652808646	0.0001223312765349938	3.332728777034532e-09
401.016	0.0339131370775899	1.4119035384843414e-07	0.8240814044898858	0.00042096223801328767	1.0610562025948653e-08
401.156	0.03652858480950115	2.0069426261364416e-08	0.9009555289849343	0.0013049857150284326	3.2456749685131136e-08
401.296	0.039576407135113914	2.55499098445792e-09	0.9463782652491423	0.003644394326508034	9.538934892397738e-08
401.435	0.04314397922019833	2.959878600537973e-10	0.9551848487566427	0.00911172825646167	2.674018439391478e-07
401.575	0.04744111316386772	3.024957311521799e-11	0.926465469107989	0.02066608513124314	7.25671023400845e-07
401.715	0.05267061366235587	2.768784059231728e-12	0.8633744880802064	0.04222529138001932	1.8920969534231725e-06
401.855	0.0591643811385379	2.2697781235988539e-13	0.7730317796002888	0.0777220205165973	4.73996584062655e-06
401.995	0.06742697808338156	1.6664880746279598e-14	0.6650030656568814	0.12887613275563914	1.1408676300591941e-05
