# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                C
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     286.008
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.0012555
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -10.039 -2.599
# Athena.pre_edge_line:          0.002669 - 4.98651e-006 * E
# Athena.normalization_range:    20.381 29.514
# Athena.post_edge_polynomial:   0.011799 - 3.25196e-005 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 183.185
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 6.934
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 4.937
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        nbkg        flat        fbkg        nder        nsec
  289.08350       0.48725132       0.71303839       0.55470926       0.78050799       0.87570631E-01  -0.42935792
  289.21094       0.51992473       0.71168741       0.59017668       0.78195180       0.13291269E-01   -1.0914367
  289.30469       0.49019123       0.71089761       0.56249983       0.78321794      -0.15384578        1.0178776
  289.41064       0.48920065       0.71020702       0.56383291       0.78485099       0.21656855       0.60853884
  289.52148       0.53714262       0.70970740       0.61420446       0.78678209      -0.21916444E-01  -0.46460004
  289.60986       0.48483448       0.70946748       0.56383572       0.78848031       0.12401149       0.89376359
  289.70947       0.56045533       0.70936061       0.64163919       0.79055788       0.14610065      -0.33019036
  289.80420       0.51322709       0.70941511       0.59648943       0.79268974       0.59843651E-01  -0.68819357
  289.89258       0.57141303       0.70959915       0.65661213       0.79481192       0.20088694E-01   -1.5779015
  289.98730       0.51690544       0.70993486       0.60418320       0.79722499      -0.22907878       -1.2126259
  290.08105       0.52823704       0.71040380       0.61757047       0.79974987      -0.20846291        2.3969440
  290.16992       0.47883652       0.71096986       0.57011999       0.80226479       0.20864441        3.4005140
  290.26953       0.56756163       0.71174022       0.66102741       0.80521958       0.43245440      -0.69372340
  290.35303       0.55802126       0.71249291       0.65331834       0.80780334       0.81619915E-01   -2.1142866
  290.45264       0.58250667       0.71351386       0.67998761       0.81100872       0.45317107E-01   0.36920856
  290.55225       0.56704928       0.71466363       0.66671501       0.81434293       0.15517320        1.9931902
  290.63525       0.61084397       0.71571637       0.71232902       0.81721603       0.40930791        1.0435353
  290.72412       0.63739908       0.71693505       0.74083235       0.82038357       0.33453082       0.61426942
  290.81299       0.67030161       0.71824481       0.77568295       0.82364219       0.51848472       -1.2582247
  290.90723       0.73233648       0.71972905       0.83978299       0.82719308       0.10414296       -3.7760031
  291.01807       0.69165905       0.72159439       0.80153725       0.83148914      -0.25589082       0.50552943
  291.11768       0.67848446       0.72337536       0.79054741       0.83545454       0.21053122        2.5638662
  291.23975       0.73832954       0.72568497       0.85306807       0.84044116       0.31246628      -0.14830838
  291.36182       0.75477017       0.72812538       0.87218530       0.84555857       0.17432313      -0.88988664
  291.46729       0.77799487       0.73033175       0.89772238       0.85007787       0.10998227      -0.19400784
  291.58350       0.77915100       0.73286000       0.90142699       0.85515463       0.13131553        1.9204208
  291.69434       0.80781015       0.73535886       0.93251618       0.86008420       0.54601516       0.83281552
  291.79443       0.89432607       0.73768276        1.0212252       0.86460325       0.30698755       -3.0479986
  291.89404       0.86911775       0.74005317       0.99820188       0.86915809      -0.62691809E-01   -1.1286585
  291.97705       0.88287747       0.74206876        1.0137816       0.87299405       0.10087509       0.77298425
  292.07178       0.88704671       0.74440945        1.0200281       0.87741209       0.74694005E-01   0.64153658
  292.17139       0.89739320       0.74691265        1.0325588       0.88209972       0.22554868       0.51497684
  292.26025       0.92955736       0.74917787        1.0666711       0.88631381       0.17175509      -0.95832610
  292.35986       0.92976501       0.75174794        1.0690631       0.89106831       0.44926633E-01   0.26629007
  292.44873       0.93802498       0.75406439        1.0792718       0.89533363       0.22194454      -0.40645073
  292.53174       0.96791173       0.75624472        1.1109782       0.89933431      -0.24932086E-01   -1.3282131
  292.62061       0.93373978       0.75859319        1.0787559       0.90363164      -0.63420961E-02  -0.85636221
  292.71484       0.96675046       0.76109558        1.1138324       0.90820068      -0.18173663       0.55894102
  292.79834       0.90143894       0.76331951        1.0503535       0.91225568       0.93000895E-01    2.5421476
  292.90869       0.98477847       0.76626305        1.1361111       0.91761923       0.31105284       -2.9289889
  293.00342       0.96522910       0.76878870        1.1186395       0.92222224      -0.50767088       -2.6277165
  293.11426       0.88041839       0.77173629        1.0362616       0.92760055      -0.22911739        2.5339560
  293.23633       0.91186535       0.77496464        1.0703848       0.93350590       0.82513052E-01  -0.29731506
  293.35254       0.90007971       0.77801200        1.0611479       0.93910177      -0.29996201       -1.0574844
  293.46338       0.84375873       0.78088702        1.0072590       0.94440751      -0.15758963      -0.12332363
  293.58008       0.86422192       0.78387268        1.0302809       0.94995238      -0.32802294      -0.47095938
  293.68018       0.77264438       0.78639347       0.94090073       0.95466831      -0.25969216        2.4351067
  293.79102       0.80944311       0.78913473       0.98012930       0.95984029       0.18563239        1.6936686
  293.89600       0.81270761       0.79167620       0.98569595       0.96468398       0.10583591      -0.39983624
  293.99072       0.83057929       0.79391838        1.0056446       0.96900352       0.10578225       -2.6721897
  294.09033       0.83326490       0.79621873        1.0105145       0.97348830      -0.41346647       -1.4987265
  294.17920       0.75265058       0.79821711       0.93185100       0.97743554      -0.17669247        2.6924553
  294.27881       0.79996251       0.80039183       0.98134623       0.98179470       0.93998344E-01   0.16084820
  294.37891       0.77142271       0.80250262       0.95500226       0.98610064      -0.14456996      -0.43497399
  294.46777       0.77264387       0.80430963       0.95817226       0.98985650       0.11803571E-01  -0.19560936
  294.56787       0.77365317       0.80626469       0.96137667       0.99400671      -0.18153327        1.0891900
  294.66748       0.73639039       0.80812240       0.92629922       0.99804885       0.22932255        2.6753490
  294.75635       0.81687510       0.80970598        1.0087309        1.0015813       0.32270743       -1.8665479
  294.85059       0.79547986       0.81130984       0.98940278        1.0052518      -0.11245244       -1.7946676
  294.93945       0.79628445       0.81275170       0.99215621        1.0086425      -0.59059056E-02   0.59574991
  295.04492       0.79433213       0.81437470       0.99251687        1.0125784       0.33232106E-02  -0.37479529
  295.14453       0.79696597       0.81582034       0.99733508        1.0162085      -0.82768211E-01   -1.6236062
  295.23340       0.77873227       0.81703917       0.98105067        1.0193762      -0.30268841        1.2897845
  295.33350       0.73976848       0.81833263       0.94428297        1.0228648       0.16095578        2.6675285
  295.43311       0.81087628       0.81953694        1.0175735        1.0262536       0.23003597       -1.7780134
  295.54980       0.78952724       0.82084374       0.99878418        1.0301196      -0.22364381      -0.38868001
  295.66650       0.75867817       0.82203927       0.97049507        1.0338743       0.13931867        1.3709230
  295.79932       0.82428888       0.82326594        1.0390168        1.0380136       0.11841751       -1.5784598
  295.90479       0.78689485       0.82413956        1.0039366        1.0412001      -0.23679877       -1.1871659
  296.02148       0.77167977       0.82500365       0.99128108        1.0446234      -0.14533275       0.82691971
  296.12158       0.75538718       0.82565981       0.97718402        1.0474747      -0.57525222E-01    1.5177973
  296.23242       0.75954555       0.82629572       0.98377301        1.0505414       0.17482761        1.1884983
  296.33252       0.79226488       0.82678891        1.0186867        1.0532297       0.19317363        2.1500200
  296.42676       0.79708612       0.82718357        1.0255745        1.0556910       0.59265368       0.18836282
  296.53223       0.91062202       0.82754591        1.1414206        1.0583663       0.23079102       -5.4793991
  296.62109       0.84193710       0.82778675        1.0746862        1.0605560      -0.47219028       -1.1338692
  296.70947       0.82692814       0.82796833        1.0616157        1.0626757       0.29817133E-01    3.6605242
  296.79297       0.84706192       0.82808724        1.0835801        1.0646257       0.15696231       -1.0086135
  296.87646       0.85313961       0.82815544        1.0914887        1.0665249      -0.13861336      -0.13606623E-01
  296.96533       0.82317006       0.82817280        1.0634687        1.0684912       0.15461703        2.7726688
  297.05420       0.88062037       0.82813370        1.1228665        1.0704009       0.35418527       -1.0786555
  297.14258       0.88594802       0.82803932        1.1301322        1.0722447      -0.36570451E-01   -2.2473568
  297.23730       0.87392412       0.82787729        1.1201859        1.0741600      -0.57318118E-01   0.26349283
  297.34229       0.87450118       0.82762486        1.1230652        1.0762098       0.16050937E-01    1.3941487
  297.44238       0.87721582       0.82731357        1.1279749        1.0780937       0.22859124       0.68701516
  297.54834       0.92160346       0.82690980        1.1746851        1.0800135       0.15761357       -1.8728436
  297.64209       0.90869235       0.82648953        1.1638303        1.0816492      -0.14542873      -0.98741089
  297.77002       0.88936486       0.82582172        1.1473088        1.0837869      -0.61275380E-01   0.46166251
  297.88672       0.89370262       0.82511874        1.1542056        1.0856431      -0.32492741E-01   0.38946917
  297.98682       0.88232054       0.82444536        1.1450190        1.0871649       0.23160328E-01   0.71920668
  298.10303       0.89871240       0.82358306        1.1639589        1.0888511       0.12307785       -1.0682944
  298.21973       0.91098662       0.82263114        1.1787921        1.0904584      -0.22565634       -2.4187062
  298.30859       0.85232504       0.82184916        1.1220808        1.0916253      -0.37412689        1.2023812
  298.40869       0.84028981       0.82090994        1.1122410        1.0928812       0.15513714E-02    1.1567039
  298.51953       0.85265228       0.81979857        1.1270339        1.0942005      -0.13013465       -1.2273501
  298.60840       0.81430101       0.81885399        1.0906324        1.0952048      -0.24355904       0.26808174
  298.70313       0.80793635       0.81779528        1.0863452        1.0962235      -0.80916503E-01    2.1074902
  298.78613       0.79991937       0.81682405        1.0801488        1.0970726       0.13101447        2.1597726
  298.88623       0.83192582       0.81559943        1.1143496        1.0980431       0.31454974      -0.78876178
  298.98584       0.86273715       0.81432347        1.1473446        1.0989516      -0.26506782E-01   -1.3782117
  299.06396       0.82721465       0.81328317        1.1135363        1.0996246       0.69594252E-01  -0.33084210
  299.16357       0.87510644       0.81190697        1.1636114        1.1004328      -0.85308803E-01   -1.2184859
  299.26367       0.81017788       0.81046843        1.1008795        1.1011894      -0.17374603        1.0228045
  299.34131       0.84422580       0.80931477        1.1366292        1.1017383       0.96478747E-01   0.77829298E-01
  299.44141       0.82732546       0.80777906        1.1219244        1.1023978      -0.15991310      -0.95464004
  299.53027       0.81400785       0.80637061        1.1105559        1.1029382      -0.83914618E-01   0.71774330
  299.61914       0.81241095       0.80492032        1.1109079        1.1034367      -0.32345423E-01   0.54415773
  299.71387       0.80806943       0.80332892        1.1086439        1.1039227       0.15989367E-01  -0.19391684
