*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: (C6H5)CO(CH3)
* Name: Phenyl methyl ketone
* Edge: C1s
* Alpha Formula: C8H8O
* Data Source: Hitchcock
* Filename: pt-0cckk.os
* Ref. Code: HH13
* Write Date: 05 / 07 / 2013
* Reference: Hitchcock (unpublished)
* Source and Purity: Leigh Group, purity unknown
* Acquisition Mode:EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2 files         0ptc      0ptc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
 2.9060E+02 2.9894E+03 7.4586E-01
 2.9065E+02 3.0996E+03 7.7756E-01
 2.9075E+02 3.2264E+03 8.1464E-01
 2.9080E+02 3.2523E+03 8.2260E-01
 2.9090E+02 3.1843E+03 8.0463E-01
 2.9100E+02 3.1909E+03 8.0777E-01
 2.9121E+02 3.2661E+03 8.3182E-01
 2.9141E+02 3.3149E+03 8.4839E-01
 2.9161E+02 3.3839E+03 8.7081E-01
 2.9181E+02 3.4852E+03 9.0265E-01
 2.9206E+02 3.6996E+03 9.6815E-01
 2.9236E+02 3.9293E+03 1.0393E+00
 2.9266E+02 4.1016E+03 1.0943E+00
 2.9296E+02 4.2567E+03 1.1448E+00
 2.9326E+02 4.3215E+03 1.1691E+00
 2.9356E+02 4.3128E+03 1.1721E+00
 2.9386E+02 4.2477E+03 1.1582E+00
 2.9416E+02 4.1576E+03 1.1367E+00
 2.9446E+02 4.0746E+03 1.1172E+00
 2.9476E+02 4.0294E+03 1.1087E+00
 2.9506E+02 3.9571E+03 1.0921E+00
 2.9536E+02 3.9203E+03 1.0860E+00
 2.9566E+02 3.8988E+03 1.0844E+00
 2.9596E+02 3.8986E+03 1.0894E+00
 2.9626E+02 3.8357E+03 1.0751E+00
 2.9656E+02 3.7951E+03 1.0675E+00
 2.9686E+02 3.7535E+03 1.0595E+00
 2.9716E+02 3.7470E+03 1.0624E+00
 2.9746E+02 3.7046E+03 1.0540E+00
 2.9776E+02 3.7472E+03 1.0723E+00
 2.9806E+02 3.7114E+03 1.0659E+00
 2.9836E+02 3.7520E+03 1.0837E+00
 2.9866E+02 3.6972E+03 1.0712E+00
 2.9895E+02 3.7054E+03 1.0787E+00
 2.9925E+02 3.6874E+03 1.0779E+00
 2.9955E+02 3.6861E+03 1.0824E+00
 2.9985E+02 3.7249E+03 1.1000E+00
 3.0015E+02 3.7013E+03 1.0973E+00
 3.0045E+02 3.6484E+03 1.0850E+00
 3.0075E+02 3.6342E+03 1.0853E+00
 3.0105E+02 3.6756E+03 1.1039E+00
 3.0135E+02 3.6620E+03 1.1045E+00
 3.0165E+02 3.6506E+03 1.1057E+00
