energy	step1_	g1_	g2_	g3_
279.7481	0.010318060149196655	2.9514505473330665e-60	2.1051578201720328e-19	2.1115539487793144e-36
279.8755	0.010449945328521889	1.8678146565134496e-57	1.1182532729503183e-18	2.132878124622405e-35
280.0029	0.01058524421001687	1.0127840007607218e-54	5.746588848531898e-18	2.0842236881853044e-34
280.1303	0.010724091012548556	4.7052713091503965e-52	2.856896474537326e-17	1.9703212644243e-33
280.2577	0.010866627081448437	1.8729979126627484e-49	1.374020809203881e-16	1.8019560350705853e-32
280.3851	0.011013001367634292	6.388144062603297e-47	6.393027116861889e-16	1.594284288671036e-31
280.5125	0.011163370945896273	1.8667961426633914e-44	2.8776250978305937e-15	1.3645887017273198e-30
280.64	0.011318024551327494	4.69418551634483e-42	1.2545043812818334e-14	1.1317934075048101e-29
280.7674	0.011476894761773408	1.0069301194186635e-39	5.2846644374891234e-14	9.066104735079812e-29
280.8948	0.0116402862339953	1.850645345838837e-37	2.1536596880361118e-13	7.025685956293712e-28
281.0222	0.011808394654787276	2.9142838663282454e-35	8.490850059815264e-13	5.267095148964898e-27
281.1496	0.01198142716278892	3.9321066598917066e-33	3.238468625761977e-12	3.820040997515258e-26
281.277	0.01215960319816441	4.54572870028964e-31	1.1949304982444933e-11	2.6802747389405004e-25
281.4044	0.012343155429026878	4.502632691306074e-29	4.265402578570444e-11	1.8193029844666724e-24
281.5318	0.012532330762814408	3.821327968958083e-27	1.4729630011937962e-10	1.1946623581736348e-23
281.6592	0.012727391451841211	2.778733461230094e-25	4.920826792235139e-10	7.589265694532105e-23
281.7867	0.012928776748310255	1.7367866092673157e-23	1.5918164522944868e-09	4.670701199318371e-22
282.0415	0.013350935672729157	4.239651719035112e-20	1.50534149985213e-08	1.5971319700875672e-20
282.1689	0.01357251781550979	1.6613044128658003e-18	4.404815291451978e-08	8.886726333094304e-20
282.2963	0.013801573753992345	5.577672890646457e-17	1.246909111350758e-07	4.783626231962646e-19
282.4237	0.014038487813816659	1.6045071186987032e-15	3.4147296430590527e-07	2.4910767056086902e-18
282.5511	0.014283671110241912	3.954713629169466e-14	9.046743571356867e-07	1.2549643583347599e-17
282.6785	0.014537563921852582	8.351667928654551e-13	2.3186898764426853e-06	6.116318776552629e-17
282.7285	0.014639689481626155	2.650426461941455e-12	3.3245429353916046e-06	1.128546752661143e-16
282.789	0.014765194720191846	1.0383894534264806e-11	5.106476711323048e-06	2.35208256116817e-16
282.8495	0.014892868632968098	3.9288858752492195e-11	7.785143634498625e-06	4.865656355878176e-16
