# XDI/1.0 Athena/0.9.24
# Element.edge:                  L3
# Element.symbol:                Sc
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     400.040
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.0009636
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -19.706 -2.787
# Athena.pre_edge_line:          0.005394 - 9.28432e-006 * E
# Athena.normalization_range:    19.649 49.458
# Athena.post_edge_polynomial:   0.008797 - 1.53831e-005 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 185.624
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 6.980
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 4.980
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        nbkg        flat        fbkg        nder        nsec
  400.79468       0.77343942       0.36746963       0.77821396       0.37223769       0.15252410        4.7323301
  400.89832       0.79159120       0.39918555       0.79702184       0.40460954       0.73858209        4.9513933
  401.01880       0.93897125       0.43524504       0.94516567       0.44143158        1.2622358        2.8680090
  401.12964        1.0835758       0.46765510        1.0904729       0.47454316        1.4020194       0.84027327
  401.24304        1.2533646       0.50006535        1.2609809       0.50767115        1.4506614       -2.4766614
  401.35083        1.4044496       0.53017512        1.4127494       0.53846313       0.85420320       -6.8657164
  401.46289        1.4411599       0.56076664        1.4501693       0.56976389      -0.58756752E-01   -6.9849257
  401.56348        1.3919552       0.58761377        1.4016007       0.59724764      -0.63111681       -5.2147608
  401.67419        1.3078026       0.61650236        1.3181482       0.62683698       -1.1606550       -3.9099225
  401.76489        1.1581807       0.63965474        1.1690991       0.65056340       -1.4186378       -1.3003672
  401.87598        1.0215466       0.66738792        1.0331669       0.67899965       -1.4230461       0.10976469
  401.96387       0.87503064       0.68884898       0.88720599       0.70101698       -1.3967974        1.1807318
  402.06873       0.75231534       0.71390189       0.76515331       0.72673355       -1.1954612        1.4460838
  402.16101       0.63935324       0.73545898       0.65277435       0.74887473       -1.1117114        2.3582420
  402.26733       0.53152012       0.75973006       0.54561326       0.77381874      -0.72709454        3.2258015
  402.35669       0.49707625       0.77966415       0.51173464       0.79431837      -0.48049040        2.2742250
  402.45313       0.44224933       0.80070716       0.45751761       0.81597173      -0.30456400        1.8893700
  402.54822       0.43874362       0.82098331       0.45461373       0.83684973      -0.11862258        1.5867772
  402.63904       0.42019584       0.83991329       0.43664060       0.85635452      -0.95613409E-02   0.11172240E-01
  402.72705       0.43703374       0.85785617       0.45403569       0.87485444      -0.11662462      -0.13816596
  402.82336       0.39869887       0.87704223       0.41631007       0.89465009      -0.35028947E-01    1.5594511
  402.91565       0.43042733       0.89498974       0.44862289       0.91318169       0.17748568       0.38922182
  403.00928       0.43169576       0.91276656       0.45048391       0.93155108       0.37332450E-01  -0.99506015E-01
  403.09875       0.43726311       0.92935281       0.45661762       0.94870365       0.15926558       0.77319215
  403.20557       0.46295786       0.94864237       0.48298861       0.96866923       0.18910164      -0.69068011E-01
  403.29907       0.47514346       0.96507823       0.49576612       0.98569691       0.14543006       0.16167661
  403.42957       0.49553405       0.98732042       0.51698279        1.0087650       0.22531704       0.79582580
  403.56152       0.53427816        1.0089995       0.55656240        1.0312793       0.35429542       0.84038093
  403.66663       0.57952353        1.0256898       0.60247336        1.0486348       0.42453825      -0.93786951
  403.79846       0.63486762        1.0459123       0.65865232        1.0696917       0.13207802       -1.6141863
  403.89941       0.61026972        1.0608679       0.63469316        1.0852862       0.48774876E-01   0.61074473
  404.00867       0.64512034        1.0765425       0.67023554        1.1016523       0.26045968       0.78805256
  404.11377       0.66610066        1.0911269       0.69188125        1.1169019       0.21769820      -0.15033089E-01
  404.22034       0.69120050        1.1054254       0.71765577        1.1318749       0.25727763       0.42067361
  404.31799       0.71864285        1.1181012       0.74571643        1.1451687       0.30360972       0.40647351
  404.42188       0.75238943        1.1311423       0.78012077        1.1588673       0.33919753       0.99890141
  404.50977       0.78369157        1.1418237       0.81197945        1.1701050       0.49517144      -0.65537438
  404.60498       0.84305804        1.1530354       0.87194904        1.1819193       0.21919487      -0.89479431
  404.68420       0.82192760        1.1620818       0.85131984        1.1914672       0.33908486        2.1295351
  404.77515       0.90075875        1.1721540       0.93072724        1.2021150       0.58156934        1.2987104
  404.85925       0.92373061        1.1811752       0.95423162        1.2116684       0.56642256      -0.12355772
  404.95142        1.0006018        1.1907399        1.0316867        1.2218165       0.55978988       -2.0725566
  405.03955        1.0246596        1.1995767        1.0563025        1.2312110       0.19274496       -1.0230036
  405.14307        1.0375414        1.2095735        1.0698397        1.2418631       0.36373083        1.3082837
  405.22803        1.0932143        1.2174740        1.1260507        1.2503012       0.43932569      -0.71849852
  405.33887        1.1235617        1.2273739        1.1571000        1.2609026       0.22304824      -0.99304237
  405.43115        1.1385209        1.2352696        1.1726434        1.2693824       0.23761396       0.63474281
  405.54065        1.1715080        1.2442351        1.2063237        1.2790410       0.35112804      -0.71024773
  405.64551        1.2137872        1.2524169        1.2492669        1.2878865       0.85368447E-01  -0.62691312
  405.75781        1.1900469        1.2607485        1.2262372        1.2969288       0.21498564       0.81616237
  405.86133        1.2601854        1.2680392        1.2970315        1.3048747       0.26151286      -0.72212456
  405.97498        1.2468378        1.2756211        1.2844031        1.3131759       0.58166836E-01  -0.10914099
  406.08008        1.2729094        1.2822458        1.3111401        1.3204658       0.23763826       0.94687058
  406.19214        1.2984441        1.2889063        1.3373842        1.3278356       0.26379219      -0.68072907
  406.29016        1.3283277        1.2943973        1.3678885        1.3339469       0.94628659E-01  -0.46739952
  406.39832        1.3179543        1.3000991        1.3581995        1.3403333       0.16742529        1.3007872
  406.49072        1.3619068        1.3046790        1.4027372        1.3454980       0.35551662      -0.94384887
  406.59424        1.3876082        1.3094956        1.4290940        1.3509698      -0.17496313E-01   -2.1226420
  406.68079        1.3585814        1.3132722        1.4006147        1.3552942      -0.47919938E-01   0.72501786
  406.78589        1.3784243        1.3175569        1.4211230        1.3602440       0.12145365       0.37179497
  406.86987        1.3815467        1.3207467        1.4247770        1.3639654       0.22381620E-01   -1.7987225
  406.97778        1.3827192        1.3245454        1.4266325        1.3684471      -0.22371130      -0.66090508
  407.06604        1.3376619        1.3274059        1.3821334        1.3718662      -0.10726615        1.7137021
  407.16101        1.3630651        1.3302408        1.4081379        1.3753022       0.90286058E-01    1.6625964
  407.24207        1.3535545        1.3324642        1.3991402        1.3780386       0.18539305      -0.96205939
  407.33142        1.3946580        1.3347094        1.4408096        1.3808493      -0.73658675E-01   0.24755971
  407.41943        1.3404898        1.3367134        1.3871980        1.3834103       0.22930227       0.85689377
  407.51038        1.4356928        1.3385715        1.4829773        1.3858440       0.79686835E-01   -2.0780141
  407.59436        1.3544292        1.3400990        1.4022446        1.3879031      -0.13419787      -0.14548567
  407.69067        1.4114972        1.3416320        1.4599227        1.3900457       0.53456088E-01  -0.79848260E-01
  407.78308        1.3645174        1.3428873        1.4135274        1.3918858      -0.14926690        1.4537430
  407.89551        1.3809223        1.3441360        1.4306439        1.3938461       0.35123207       0.92988025
  407.99915        1.4404062        1.3450223        1.4907843        1.3953883       0.51647119E-01   -2.4016544
  408.12415        1.3927307        1.3457617        1.4438996        1.3969189      -0.19787665      -0.31608814
  408.23633        1.3934733        1.3461263        1.4453522        1.3979935      -0.23323488E-01   0.82827468
  408.35706        1.3872985        1.3462116        1.4399414        1.3988429      -0.49630321E-02   0.71985574
  408.45081        1.3924088        1.3460639        1.4456451        1.3992885       0.13106944      -0.52127086
  408.56030        1.4139379        1.3456609        1.4678674        1.3995785      -0.11090977       -2.4698228
  408.65967        1.3692440        1.3450856        1.4238020        1.3996322      -0.38478342       0.46175311E-01
  408.76477        1.3352621        1.3442661        1.3904851        1.3994779      -0.10146841        1.5386305
  408.85999        1.3489181        1.3433414        1.4047438        1.3991557      -0.76568962E-01   0.88776644
  408.96533        1.3199053        1.3421218        1.3763975        1.3986029       0.76583364E-01  -0.18164148
  409.05041        1.3635018        1.3409902        1.4205329        1.3980098      -0.11115888      -0.28440762
  409.14429        1.3000129        1.3395939        1.3576375        1.3972077       0.25687170E-01    1.8476327
  409.22510        1.3679889        1.3382709        1.4261256        1.3963961       0.21159059       -3.1603813
  409.31763        1.3366900        1.3366223        1.3954120        1.3953331      -0.52213301       -1.3698190
  409.39709        1.2781836        1.3350953        1.3374081        1.3943091      -0.24014158E-01    5.3165381
  409.49524        1.3324248        1.3330720        1.3922709        1.3929070       0.42214954       0.79722126
  409.58606        1.3579551        1.3310684        1.4183762        1.3914782       0.12663268       -3.2329221
  409.69287        1.3574514        1.3285558        1.4185486        1.3896417      -0.21677868       -2.0378922
  409.79370        1.3129428        1.3260346        1.3746778        1.3877586      -0.29651853        1.1823187
  409.90295        1.2951579        1.3231452        1.3575842        1.3855607       0.31606380E-01    1.2659283
  410.00256        1.3195442        1.3203738        1.3826011        1.3834197      -0.32113832E-01  -0.64692886
  410.12061        1.2881683        1.3169275        1.3519721        1.3807205      -0.10919859       0.78845402
  410.23157        1.2945373        1.3135348        1.3590434        1.3780301       0.14844521       0.53707463
  410.34802        1.3219272        1.3098227        1.3871707        1.3750550       0.12941308E-01   -1.3443250
  410.45190        1.2973887        1.3063870        1.3632894        1.3722768      -0.14775918       0.14069234
  410.56250        1.2902362        1.3026072        1.3568368        1.3691970       0.43116650E-01    1.5863764
  410.66785        1.3066994        1.2988961        1.3739669        1.3661527       0.19480674       0.42772393
  410.77747        1.3321130        1.2949265        1.4000745        1.3628768       0.13506267       -1.0960660
  410.87659        1.3348924        1.2912478        1.4034813        1.3598255      -0.33986299E-01   -1.1765522
  410.98328        1.3251183        1.2871996        1.3943823        1.3564525      -0.10708424       0.48445295E-01
  411.08142        1.3129579        1.2833998        1.3828431        1.3532739      -0.24063056E-01  -0.34129321
  411.18237        1.3203274        1.2794208        1.3908515        1.3499338      -0.17503456       0.29365952
  411.26648        1.2805663        1.2760550        1.3516224        1.3471004       0.30281163E-01    2.8982446
  411.36011        1.3257094        1.2722580        1.3973585        1.3438960       0.34008320       0.85791285
  411.45703        1.3453697        1.2682760        1.4176324        1.3405274       0.19375800       -2.0584086
  411.54358        1.3612585        1.2646800        1.4340691        1.3374791      -0.37576520E-01  -0.43608531
  411.64453        1.3383242        1.2604421        1.4117735        1.3338802       0.11199205       0.38960278
  411.73254        1.3824211        1.2567133        1.4564278        1.3307084       0.36044692E-01  -0.68934405
  411.82788        1.3449329        1.2526426        1.4195428        1.3272412      -0.14398975E-01   0.12182264
  411.91748        1.3797582        1.2487910        1.4549354        1.3239566       0.58574156E-01   -1.1414228
  412.01697        1.3560085        1.2444895        1.4318152        1.3202848      -0.23022708      -0.99366351
  412.10645        1.3362534        1.2406026        1.4126262        1.3169642      -0.12919327        1.1939402
  412.20447        1.3317848        1.2363292        1.4087780        1.3133112      -0.63632900E-02    1.5706391
  412.30273        1.3350043        1.2320341        1.4126195        1.3096380       0.17910606       0.57105327
  412.42078        1.3705270        1.2268668        1.4488895        1.3052178       0.11716044       -1.4217675
  412.53162        1.3618202        1.2220142        1.4408842        1.3010668      -0.14631065      -0.54782334
  412.65955        1.3355925        1.2164222        1.4154659        1.2962845      -0.13643061E-01   0.81228696
  412.76331        1.3586592        1.2119009        1.4391896        1.2924198       0.41887705E-01  -0.13797704
  412.89282        1.3453639        1.2062844        1.4267139        1.2876231      -0.45829848E-01    1.1849807
  412.99524        1.3480298        1.2018711        1.4300280        1.2838580       0.31672455        1.2724674
  413.10339        1.4120570        1.1972404        1.4947403        1.2799118       0.22211527       -3.2756204
  413.20557        1.3947466        1.1928937        1.4780764        1.2762118      -0.37222718       -2.5763869
  413.31238        1.3342673        1.1883787        1.4182727        1.2723728      -0.31630915        1.4150186
  413.40906        1.3303805        1.1843174        1.4149977        1.2689234      -0.84283343E-01   0.83741013
  413.51575        1.3171267        1.1798637        1.4024190        1.2651449      -0.14600572      -0.70452949E-01
  413.60107        1.3023450        1.1763228        1.3881772        1.2621441      -0.97811478E-01    1.3426235
  413.69617        1.2994796        1.1723986        1.3859136        1.2588218       0.96230271E-01    1.1314227
  413.77759        1.3193309        1.1690570        1.4062805        1.2559955       0.10190012       -1.2898607
  413.87134        1.3173295        1.1652304        1.4048724        1.2527622      -0.12971580      -0.82354503
  413.95374        1.2964818        1.1618856        1.3845460        1.2499389      -0.43165277E-01    1.4030433
  414.04797        1.3097050        1.1580813        1.3983658        1.2467311       0.11811174      -0.99537720
  414.13879        1.3183394        1.1544362        1.4075751        1.2436608      -0.22736829      -0.82340766
  414.23840        1.2664073        1.1504623        1.3562730        1.2403173      -0.38689533E-01   0.71744388
  414.32788        1.3110237        1.1469139        1.4014561        1.2373352      -0.91708977E-01  -0.48043668
  414.43896        1.2480140        1.1425365        1.3391489        1.2336609      -0.13504663       0.93925020
  414.53137        1.2835429        1.1389187        1.3752630        1.2306279       0.99420173E-01   0.86679991
  414.64124        1.2681238        1.1346450        1.3605390        1.2270496       0.40281503E-01  -0.33629049
  414.74609        1.2921922        1.1305941        1.3852713        1.2236623       0.27211341E-01   -1.3637925
  414.85291        1.2738836        1.1264956        1.3676386        1.2202399      -0.24839231       -1.7423835
  414.95984        1.2390996        1.1224207        1.3335310        1.2168417      -0.34521477        1.3310868
  415.07471        1.1973144        1.1180746        1.2924725        1.2132227       0.46844999E-01    2.2553106
  415.18005        1.2494155        1.1141173        1.3452409        1.2099321       0.15143800       -1.1917437
  415.29138        1.2301272        1.1099646        1.3266570        1.2064841      -0.21137583       -1.2012870
  415.38647        1.2057831        1.1064415        1.3029146        1.2035628      -0.96532734E-01    1.2140282
  415.49463        1.2105072        1.1024610        1.3083232        1.2002669       0.35371877E-01  -0.36278584
  415.59155        1.2130371        1.0989179        1.3114666        1.1973372      -0.17093216       -1.0881109
  415.69678        1.1759535        1.0950969        1.2750487        1.1941822      -0.18458799      -0.33264181
  415.78186        1.1779086        1.0920268        1.2775423        1.1916505      -0.23423646        1.1880190
  415.88733        1.1313193        1.0882451        1.2316201        1.1885364       0.41791171E-01    2.0828873
  415.97266        1.1858822        1.0852050        1.2867235        1.1860363       0.16316989       -1.3605128
  416.07654        1.1621926        1.0815272        1.2636911        1.1830160      -0.21563009       -1.8305473
  416.16504        1.1443987        1.0784140        1.2464572        1.1804630      -0.18899592       0.51245898
  416.26038        1.1274479        1.0750812        1.2301098        1.1777335      -0.12142071        1.0492381
  416.34265        1.1228329        1.0722221        1.2260154        1.1753952      -0.26383304E-02  -0.50309811E-01
  416.43811        1.1269790        1.0689249        1.2307657        1.1727021      -0.13036250      -0.65480862
  416.52356        1.0992492        1.0659915        1.2035765        1.1703095      -0.12109858        1.0759062
  416.61609        1.1054261        1.0628342        1.2103391        1.1677379       0.61125674E-01  -0.13087907
  416.69995        1.1100313        1.0599899        1.2154751        1.1654244      -0.14418455       -1.3141450
  416.79370        1.0798171        1.0568296        1.1858540        1.1628574      -0.17228264       0.35253242
  416.89075        1.0771605        1.0535795        1.1838115        1.1602215      -0.76922809E-01   0.68687439
  417.00745        1.0633753        1.0497000        1.1707648        1.1570806      -0.25466609E-01   0.10531565
  417.10852        1.0716145        1.0463652        1.1796439        1.1543855      -0.53987862E-01  -0.21102284
  417.23376        1.0511568        1.0422653        1.1599787        1.1510784      -0.73224938E-01  -0.25579760
  417.34460        1.0543273        1.0386668        1.1638507        1.1481814      -0.11437758       0.41709508
  417.46716        1.0244613        1.0347202        1.1347601        1.1450105       0.24124429E-01   0.39431465
  417.56262        1.0595868        1.0316698        1.1704901        1.1425643      -0.28410049E-01  -0.97497436
  417.66370        1.0188777        1.0284624        1.1304204        1.1399965      -0.16749040       0.17779793
  417.77185        1.0245431        1.0250556        1.1367703        1.1372743       0.87903456E-02   0.67795240
  417.87012        1.0206923        1.0219830        1.1335414        1.1348236      -0.27546857E-01  -0.25561653
  417.97083        1.0190619        1.0188563        1.1325485        1.1323343      -0.42070852E-01  -0.16778605
  418.06799        1.0123674        1.0158609        1.1264689        1.1299538      -0.60747690E-01   0.37055297
  418.16467        1.0072861        1.0129012        1.1219995        1.1276061       0.29759989E-01   0.23708538
  418.25146        1.0178276        1.0102618        1.1330903        1.1255160      -0.17249255E-01   -2.3050330
  418.33838        1.0042898        1.0076352        1.1201025        1.1234395      -0.37063807       -2.3712512
  418.42102       0.95498376        1.0051531        1.0713191        1.1214805      -0.41930842        2.4716494
  418.50928       0.93263069        1.0025189        1.0495244        1.1194048       0.51762859E-01    2.9323801
  418.59900       0.96419643       0.99985822        1.0816583        1.1173120       0.10259219      -0.72770913
  418.69714       0.95190430       0.99696782        1.0699872        1.1150428      -0.84949163E-01  -0.86103259
  418.78540       0.94836179       0.99438639        1.0670033        1.1130199      -0.57905495E-01    1.0614344
  418.90222       0.94002915       0.99099527        1.0594100        1.1103682       0.13272778       0.54967836
  418.99915       0.97673170       0.98820397        1.0967263        1.1081903       0.59585562E-01   -1.5671035
  419.11023       0.95242342       0.98502956        1.0731208        1.1057190      -0.19324197      -0.45301050E-01
  419.21545       0.93493180       0.98204682        1.0562950        1.1034022       0.49786555E-01   0.51306877
  419.33362       0.96354517       0.97872527        1.0856565        1.1008285      -0.78628206E-01  -0.58335586
  419.44604       0.91680086       0.97559235        1.0396234        1.0984072      -0.84729939E-01   0.64286551
  419.55835       0.94450369       0.97248936        1.0680372        1.0960150       0.65843860E-01   0.93984278E-01
  419.66235       0.93104345       0.96963927        1.0552351        1.0938232      -0.64400331E-01  -0.61430614
  419.77368       0.93063624       0.96661346        1.0555325        1.0915019      -0.66435909E-01   0.16813973
  419.87622       0.91683499       0.96384929        1.0423802        1.0893868      -0.28440759E-01   0.29185946E-01
  421.17651       0.89073863       0.93065402        1.0245133        1.0644212      -0.25492926E-01   0.14741643E-02
  422.74536       0.84369220       0.89500854       0.98739590        1.0387052      -0.24211174E-01   0.59648392E-02
  424.23645       0.81665398       0.86533264       0.96979473        1.0184665      -0.72408968E-02   0.37124543E-02
  425.72180       0.82214010       0.83957771       0.98468188        1.0021126      -0.13161275E-01  -0.24035026E-02
  427.37476       0.77534987       0.81506590       0.94835300       0.98806252      -0.14783823E-01   0.36126764E-02
  429.06543       0.77270850       0.79415546       0.95641209       0.97785256      -0.10818292E-02   0.52581142E-02
  430.73389       0.77171587       0.77727352       0.96597931       0.97153048       0.28788707E-02  -0.68102086E-03
  432.49988       0.78259583       0.76305601       0.98803655       0.96849015      -0.34207601E-02  -0.31096250E-02
  434.34644       0.75935820       0.75174005       0.97648581       0.96886128      -0.83548015E-02  -0.17829097E-02
  436.21252       0.75157741       0.74348977       0.98051565       0.97242170      -0.10040074E-01   0.16856886E-02
  438.11340       0.72153757       0.73784651       0.96250646       0.97880934      -0.20048667E-02   0.39260616E-02
  440.04822       0.74388736       0.73440453       0.99710211       0.98761303       0.50190950E-02   0.50467752E-03
  442.04089       0.74125002       0.73268421        1.0070766       0.99850460      -0.22750625E-04  -0.28559210E-02
  444.05273       0.74379625       0.73219306        1.0223561        1.0107466      -0.64174879E-02  -0.18845973E-02
  446.13049       0.71500506       0.73231648        1.0067150        1.0240204      -0.77299989E-02   0.24410192E-02
  448.33057       0.71072861       0.73236313        1.0163631        1.0379916       0.40247822E-02   0.39853755E-02
  450.55872       0.73282769       0.73147368        1.0525646        1.0512044       0.99181311E-02   0.26449523E-02
